都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
352136,0000000001,山口県,美祢市,美祢市立病院,ﾐﾈｼﾘﾂﾋﾞｮｳｲﾝ,病院,山口県美祢市大嶺町東分11313-1,,34.171709,131.199828,0837-52-1700,,,,,,月火水木金,,,診療時間については、開始時間及び終了時間が診療科目によって異なるため記載していない。精神科は院内紹介患者のみの診療。透析センターは土曜日も実施。,,内科、放射線科、外科、整形外科、脳神経外科、耳鼻咽喉科、眼科、小児科、泌尿器科、皮膚科、精神科、麻酔科,138,,
352136,0000000002,山口県,美祢市,美祢市立美東病院,ﾐﾈｼﾘﾂﾐﾄｳﾋﾞｮｳｲﾝ,病院,山口県美祢市美東町大田3800,,34.220742,131.339885,08396-2-0515,,,,,,月火水木金,,,診療時間については、開始時間及び終了時間が診療科目によって異なるため記載していない,,内科、外科、整形外科、リハビリテーション科、眼科、耳鼻咽喉科、婦人科、皮膚科,100,,
352136,0000000003,山口県,美祢市,田代台病院,ﾀｼﾛﾀﾞｲﾋﾞｮｳｲﾝ,病院,山口県美祢市美東町真名2941,,34.174884,131.330199,08396-5-0301,,,,,,月火水木金土,08:30,17:00,土曜日は診療終了時間１２時００分。毎月第２土曜日休診,,精神科、神経内科、内科,302,,
352136,0000000004,山口県,美祢市,ともの園クリニック,ﾄﾓﾉｿﾉｸﾘﾆｯｸ,無床診療所,山口県美祢市於福町下3360,,34.24381,131.21489,0837-56-5000,,,,,,月火水木金,08:30,17:30,月曜日・水曜日・木曜日診療終了時間１２時３０分まで。ただし、水曜日１７時３０分から１９時３０分までの診療時間あり。,,内科、放射線科、呼吸器内科、消化器内科、外科、精神科,0,,
352136,0000000005,山口県,美祢市,中元医院,ﾅｶﾓﾄｲｲﾝ,無床診療所,山口県美祢市伊佐町伊佐4847-1,,34.166464,131.219356,0837-53-0323,,,,,,月火水木金土,08:30,18:00,午前は診療開始時間８時３０分から診療終了時間１２時００分。午後は診療開始時間１５時００分から診療終了時間１８時００分まで。木曜日土曜日は午後休診。,,内科、小児科、循環器内科、呼吸器内科、消化器内科、麻酔科,0,,
352136,0000000006,山口県,美祢市,野間クリニック,ﾉﾏｸﾘﾆｯｸ,無床診療所,山口県美祢市大嶺町東分447-2,,34.172243,131.209462,0837-54-0510,,,,,,月火水木金土,08:30,18:00,午前は診療開始時間８時３０分から診療終了時間１２時３０分。午後は診療開始時間１４時００分から診療終了時間１８時００分まで。木曜日土曜日は午後休診。,,内科、外科、小児科、漢方内科、漢方小児科,0,,
352136,0000000007,山口県,美祢市,原田外科医院,ﾊﾗﾀﾞｹﾞｶｲｲﾝ,無床診療所,山口県美祢市大嶺町東分322-1,,34.167676,131.207226,0837-52-0756,,,,,,月火水木金土,08:30,18:00,午前は診療開始時間８時３０分から診療終了時間１２時３０分。午後は診療開始時間１４時００分から診療終了時間１８時００分まで。土曜日は午後休診。,,内科、外科、整形外科、リハビリテーション科,0,,
352136,0000000008,山口県,美祢市,藤村内科クリニック,ﾌｼﾞﾑﾗﾅｲｶｸﾘﾆｯｸ,無床診療所,山口県美祢市大嶺町東分290-1,,34.166368,131.208299,0837-54-1420,,,,,,月火水木金土,08:30,18:00,午前は診療開始時間８時３０分から診療終了時間１２時３０分。午後は診療開始時間１４時３０分から診療終了時間１８時００分まで。木曜日土曜日は午後休診。,,内科、放射線科、リハビリテーション科、循環器内科、呼吸器内科、消化器内科,0,,
352136,0000000009,山口県,美祢市,札場クリニック,ﾌﾀﾞﾊﾞｸﾘﾆｯｸ,無床診療所,山口県美祢市大嶺町東分3460-2,,34.165213,131.202877,0837-52-2847,,,,,,月火水木金土,08:30,18:00,午前は診療開始時間８時３０分から診療終了時間１２時３０分。午後は診療開始時間１４時３０分から診療終了時間１８時００分まで。火曜日木曜日土曜日は午後休診。,,内科、脳神経外科、リハビリテーション科、神経内科,0,,
352136,0000000010,山口県,美祢市,三澤医院,ﾐｻﾞﾜｲｲﾝ,無床診療所,山口県美祢市西厚保町本郷412,,34.1109,131.15491,0837-58-0011,,,,,,月火水木金土,08:30,18:00,午前は診療開始時間８時３０分から診療終了時間１２時００分。午後は診療開始時間１５時３０分から診療終了時間１８時００分まで。火曜日木曜日土曜日は午後休診。,,内科、小児科,0,,
352136,0000000011,山口県,美祢市,山本医院,ﾔﾏﾓﾄｲｲﾝ,無床診療所,山口県美祢市大嶺町東分3367-1,,34.171107,131.205278,0837-52-1516,,,,,,月火水金土,08:30,19:00,午前は診療開始時間８時３０分から診療終了時間１２時３０分。午後は診療開始時間１４時００分から診療終了時間１９時００分まで。土曜日は午後休診。,,内科、整形外科、小児科、リハビリテーション科,0,,
352136,0000000012,山口県,美祢市,植田救急クリニック,ｳｴﾀﾞｷｭｳｷｭｳｸﾘﾆｯｸ,有床診療所,山口県美祢市大嶺町東分1210-1,,34.181637,131.211967,0837-52-9237,,,,,,月火水木金土,09:00,18:00,午前は診療開始時間９時００分から診療終了時間１２時３０分。午後は診療開始時間１４時３０分から診療終了時間１８時００分まで。,急患の患者については、２４時間３６５日対応。,内科、外科、整形外科、脳神経外科、小児科、リハビリテーション科、救急科,10,,
352136,0000000013,山口県,美祢市,吉崎内科医院,ﾖｼｻﾞｷﾅｲｶｲｲﾝ,無床診療所,山口県美祢市美東町大田5457-3,,34.219684,131.344452,08396-2-5066,,,,,,月火水木金土,09:00,18:00,午前は診療開始時間９時００分から診療終了時間１２時３０分。午後は診療開始時間１４時００分から診療終了時間１８時００分まで。木曜日土曜日は午後休診。,,内科、小児科、リハビリテーション科,0,,
