全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,医療機関の種類,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,災害拠点分類,状況,URL,画像,画像_ライセンス,備考
352039,II3510311271,山口県山口市,相川医院,アイカワイイン,,無床診療所,352039,96000,山口市鋳銭司5964-1,山口県,山口市,鋳銭司,5964ｰ1,,34.083932,131.443716,,,(083)986-2177,,,,,,7471221,,,3510311271,月・火・水・木・金・土,9:00,18:00,"【月・火・水・金・土】9:00～12:30/14:30～18:00
【木】9:00～12:30",,外科;整形外科;胃腸科;内科;呼吸器科;神経内科;リハビリテーション科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=1079,,,
352039,II3510313335,山口県山口市,医療法人青山胃腸科内科,アオヤマイチョウカナイカ,,無床診療所,352039,158003,山口市吉敷上東三丁目1-22,山口県,山口市,吉敷上東三丁目,1ｰ22,,34.167311,131.432903,,,(083)923-1577,,,,,,7530818,,,3510313335,月・火・水・木・金・土,9:00,18:00,"【月～水・金】9:00～12:30/14:00～18:00
【木】9:00～12:30
【土】9:00～12:30",,胃腸内科;内視鏡内科;漢方内科;内科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=1005,,,
352039,II3510312881,山口県山口市,あだち眼科,アダチガンカ,,無床診療所,352039,51000,山口市小郡明治一丁目13ｰ13,山口県,山口市,小郡明治一丁目,13-13,,34.097752,131.396085,,,(083)976-8367,,,,,,7540043,,,3510312881,月・火・水・木・金・土,8:45,17:00,"【月・金】8:45～12:30/14:00～17:00
【火・水】8:45～12:30/16:00～17:00
【木・土】8:45～12:30",,眼科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=1178,,,
352039,II3510313053,山口県山口市,阿知須共立病院,アジスキョウリツビョウイン,,病院,352039,10000,山口市阿知須4841-1,山口県,山口市,阿知須,4841ｰ1,,34.011309,131.355577,,,(0836)65-2200,,,,,,7541277,,,3510313053,月・火・水・木・金・土,9:00,17:30,"【月～金】9:00～12:30／14:00～17:30
【土】9:00～12:30",,内科;消化器内科;循環器内科;内視鏡内科;腎臓内科;糖尿病内科;内分泌内;肝内;呼吸器内科;外科;消化器科外科;乳腺外科;血管外;呼吸器外科;整形外科;脳神経外科;放射線科;リハビリテーション科;,135,,,http://info.pasola.net/mnavi/page/detail.jsp?id=1113,,,
352039,II3517610188,山口県山口市,阿知須同仁病院,アジスドウジンビョウイン,,病院,352039,10000,山口市阿知須4241-4,山口県,山口市,阿知須,4241ｰ4,,34.010014,131.360448,,,(0836)65-5555,,,,,,7541277,,医療法人社団向陽会,3517610188,月・火・水・木・金・土,8:30,17:30,"【月～金】8:30～17:30
【土】8:30～12:30",,外科;内科;整形外科;呼吸器内科;循環器内科;消化器内科(胃腸内科);脳神経外科;リハビリテーション科;放射線科;麻酔科,78,,,http://info.pasola.net/mnavi/page/detail.jsp?id=1114,,,
352039,II3510313194,山口県山口市,中央クリニック,チュウオウクリニック,,無床診療所,352039,103003,山口市中央三丁目2-43,山口県,山口市,中央三丁目,2ｰ43,,34.174795,131.472384,,,(083)922-1771,,,,,,7530074,,,3510313194,月・火・水・木・金・土,9:00,18:00,"【月・火・水・金】　9:00～12:30／14:30～18:00
【木・土】　9:00～12:30",,内科;放射線科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=1009,,,
352039,II3510312519,山口県山口市,あゆかわこどもクリニック,アユカワコドモクリニック,,無床診療所,352039,139000,山口市平井1439-15,山口県,山口市,平井,1439ｰ15,,34.145219,131.458784,,,(083)924-1234,,,,,,7530831,,,3510312519,月・火・水・木・金・土,8:30,18:00,"【月・火・水・金】8:30～12:00/15:00～18:00
【木・土】8:30～12:00",,小児科;アレルギー科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=1159,,,
352039,II3510313087,山口県山口市,いがた眼科,イガタガンカ,,無床診療所,352039,178001,山口市大内御堀一丁目6-1　大内ビル2F,山口県,山口市,大内御堀一丁目,6ｰ1,大内ビル2F,34.166756,131.483593,,,(083)920-8000,,,,,,7530214,,,3510313087,月・火・水・木・金・土,9:00,17:30,"【月・水・金】9:00～12:30/14:30～17:30
【火】9:00～11:30
【木】9:00～12:30
【土】9:00～12:30",,眼科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=1195,,,
352039,II3510311719,山口県山口市,安藤消化器内科,アンドウショウカキナイカ,,無床診療所,352039,139000,山口市平井1497-1,山口県,山口市,平井,1497ｰ1,,34.144737,131.455818,,,(083)933-0500,,,,,,7530831,,,3510311719,月・火・水・木・金・土,8:30,18:00,"【月・火・水・金】8:30～12:30/14:00～18:00
【木・土】8:30～12:30",,内科;消化器内科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=1020,,,
352039,II3510311727,山口県山口市,安藤内科医院,アンドウナイカイイン,,無床診療所,352039,136000,山口市仁保中郷700,山口県,山口市,仁保中郷,700,,34.212622,131.560173,,,(083)929-0026,,,,,,7530302,,,3510311727,月・火・水・木・金・土,8:30,18:00,"【月・火・水・金】8:30～12:30/14:00～18:00
【木・土】8:30～12:30
",,内科;リハビリテーション科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=1019,,,
