全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,医療機関の種類,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,災害拠点分類,状況,URL,画像,画像_ライセンス,備考
352039,II3530331101,山口県山口市,アイベックスデンタルクリニック,アイベックスデンタルクリニック,,,352039,48000,山口県山口市小郡黄金町14ｰ8,山口県,山口市,小郡黄金町,14ｰ8,,34.088651,131.398689,,,(083)973-0648,,,,,,7540021,,,3530331101,月・火・水・木・金・土,10:00,18:00,"【月・火・水・金】10:00～12:30/14:30～18:00
【木】10:00～12:00
【土】10:00～12:00",,歯科;小児歯科;歯科口腔外科;歯科矯正科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=2042,,,
352039,II3537630380,山口県山口市,秋満歯科医院,アキミツシカイイン,,,352039,51000,山口県山口市小郡下郷1406,山口県,山口市,小郡下郷,1406,,34.09781,131.39906,,,(083)972-0228,,,,,,7540044,,,3537630380,月・火・水・木・金・土,9:00,19:00,"【月・水・金】9:00～12:30/14:00～19:00
【火】9:00～12:30/14:00～18:00
【木】9:00～12:30/14:00～17:00
【土】9:00～12:00/12:00～15:00",,歯科;小児歯科;歯科矯正科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=2043,,,
352039,II3530330947,山口県山口市,アップル歯科医院,アップルシカイイン,,,352039,139000,山口県山口市平井1671ｰ1,山口県,山口市,平井,1671ｰ1,,34.142497,131.453797,,,(083)921-1303,,,,,,7530831,,,3530330947,月・火・水・木・金・土,9:00,18:30,"【月～金】9:00～12:00/14:00～18:30
【土】9:00～12:00",,歯科;小児歯科;歯科矯正科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=2013,,,
352039,II3530330566,山口県山口市,池田歯科,イケダシカ,,,352039,91000,山口県山口市下竪小路24番地,山口県,山口市,下竪小路,24,,34.182854,131.478888,,,(083)922-1225,,,,,,7530214,,,3530330566,月・火・水・木・金・土,8:30,18:00,"【月～金】8:30～12:30/14:00～19:00
【土】8:30～12:30/14:00～15:30",,歯科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=2002,,,
352039,II3537630455,山口県山口市,いけだ歯科クリニック,イケダシカクリニック,,,352039,51000,山口県山口市小郡下郷2271ｰ4,山口県,山口市,小郡下郷,2271ｰ4,,34.095788,131.391874,,,(083)974-4649,,,,,,7540042,,,3537630455,月・火・水・木・金・土・日,9:00,18:30,"【月～金】9:00～12:30/14:30～18:30
【土】9:00～12:30
【日】9:00～12:00/14:00～17:00",,歯科;小児歯科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=2044,,,
352039,II3537630489,山口県山口市,戸井歯科クリニック,トイシカクリニック,,,352039,10000,山口県山口市阿知須4839ｰ2,山口県,山口市,阿知須,4839ｰ2,,34.011193,131.354422,,,(0836)65-2021,,,,,,7541277,,,3537630489,月・火・水・金・土,9:00,18:00,"【月・火・水・金】9:00～12:30/14:00～18:00
【土】9:00～12:30/14:00～17:00",,歯科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=2064,,,
352039,II3530331184,山口県山口市,石原まごころ歯科,イシハラマゴコロシカ,,,352039,36002,山口県山口市大内矢田北二丁目1ｰ2,山口県,山口市,大内矢田北二丁目,1ｰ2,,34.160319,131.501854,,,(083)927-8018,,,,,,7530221,,,3530331184,月・火・水・木・金・土,9:00,19:30,"【月～金】9:00～13:00/14:30～19:30
【土】9:00～13:00　",,歯科;小児歯科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=2081,,,
352039,II3530330921,山口県山口市,市川歯科小児歯科,イチカワシカショウニシカ,,,352039,161003,山口県山口市吉敷中東三丁目13ｰ11,山口県,山口市,吉敷中東三丁目,13ｰ11,,34.16488,131.439704,,,(083)921-6200,,,,,,7530813,,,3530330921,月・火・水・木・金・土,9:00,18:00,"【月～金】9:00～12:00/14:00～18:00
【土】9:00～12:00",,歯科;小児歯科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=2004,,,
352039,II3530331069,山口県山口市,いとう歯科クリニック,イトウシカクリニック,,,352039,29000,山口県山口市江崎2224ｰ5,山口県,山口市,江崎,2224ｰ5,,34.054657,131.367598,,,(083)989-6480,,,,,,7540896,,,3530331069,月・火・水・木・金・土,10:00,20:00,"【月・火・水・金】10:00～20:00
【木・土】10:00～16:00",,歯科;小児歯科;歯科口腔外科;歯科矯正科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=2077,,,
352039,II3530330426,山口県山口市,稲光歯科医院,イナミツシカイイン,,,352039,104001,山口県山口市天花一丁目3ｰ22,山口県,山口市,天花一丁目,3ｰ22,,34.187472,131.479114,,,(083)923-0919,,,,,,7530091,,,3530330426,月・火・木・金・土,9:00,18:30,"【月・火・木・金】9:00～12:30/15:00～18:30
【土】9:00～12:30",,歯科;小児歯科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=2006,,,
352039,II3530331655,山口県山口市,いのうえデンタルクリニック,イノウエデンタルクリニック,,,352039,139000,山口県山口市平井622 ,山口県,山口市,平井,622,,34.15658,131.461196,,,(083)902-3314,,,,,,7530831,,,3530331655,月・火・水・木・金・土,9:00,19:30,"【月・火・水・金】9:00～13:00/15:00～19:30
【木・土】9:00～13:00",,歯科;小児歯科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=2079,,,
352039,II3530330525,山口県山口市,上田歯科医院,ウエダシカイイン,,,352039,8000,山口県山口市朝田902ｰ7,山口県,山口市,朝田,902ｰ7,,34.148426,131.43293,,,(083)923-3345,,,,,,7530871,,,3530330525,月・火・水・金・土,8:30,18:00,"【月・火・水・金】8:30～12:00/13:30～18:00
【土】8:30～12:00",,歯科;小児歯科;歯科矯正科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=2007,,,
352039,II3530330988,山口県山口市,うえだ歯科・小児歯科医院,ウエダシカ・ショウニシカイイン,,,352039,168000,山口県山口市佐山産業団地南1200ｰ10,山口県,山口市,佐山産業団地南,1200ｰ10,,34.04332,131.364897,,,(083)988-0833,,,,,,7540894,,,3530330988,月・火・水・木・金・土,9:00,18:30,"【月・火・水・木・金】9:00～13:00/14:30～18:30
【土】9:00～13:00/14:30～16:30",,歯科;小児歯科;歯科矯正科,0,,,http://info.pasola.net/mnavi/page/detail.jsp?id=2068,,,
