都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
350001,,山口県,,国立病院機構　岩国医療センター,コクリツビョウインキコウ　イワクニイリョウセンター,病院,岩国市愛宕町1－1－1,,34.143982,132.203644,0827-34-1000,,,,,,,,,,,リハビリテーション科;外科;肝臓内科;眼科;救急科;胸部外科;形成外科;血液内科;呼吸器内科;産科;耳鼻いんこう科;循環器内科;小児科;小児外科;小児循環器科;消化器外科;消化器内科;心臓血管外科;神経内科;腎臓内科;整形外科;精神科;糖尿病・内分泌内科;内科;乳腺外科;脳神経外科;泌尿器科;皮膚科;病理診断科;婦人科;放射線科;麻酔科,530,,
350001,,山口県,,岩国病院,イワクニビョウイン,病院,岩国市岩国３－２－７,,34.163551,132.184036,0827-41-0850,,,,,,,,,,,産婦人科;小児科;消化器内科;神経内科;整形外科;内科,60,,
350001,,山口県,,錦病院,ニシキビョウイン,病院,岩国市錦見７－１５－７,,34.15992,132.186996,0827-41-0177,,,,,,,,,,,外科;消化器外科（胃腸外科）;整形外科;内科;乳腺外科;肛門外科,40,,
350001,,山口県,,岩国第一病院,イワクニダイイチビョウイン,病院,岩国市岩国１－２０－４９,,34.166977,132.180603,0827-41-0019,,,,,,,,,,,リハビリテーション科;漢方内科;呼吸器科;心療内科;内科;皮膚科,47,,
350001,,山口県,,岩国中央病院,イワクニチュウオウビョウイン,病院,岩国市今津町４－１５－３,,34.163998,132.21434,0827-23-1600,,,,,,,,,,,血管外科;呼吸器内科;腫瘍外科;消化器外科;消化器内科;腎臓内科;整形外科;糖尿病内科;透析内科;内視鏡外科;乳腺外科;放射線診断科;麻酔科;臨床検査科;肛門外科,22,,
350001,,山口県,,千鳥ヶ丘病院,チドリガオカビョウイン,病院,岩国市由宇町千鳥ヶ丘１－１－１,,34.037174,132.213593,0827-63-0231,,,,,,,,,,,歯科;神経内科;精神科,270,,
350001,,山口県,,岩国市立錦中央病院,イワクニシリツニシキチュウオウビョウイン,病院,岩国市錦町広瀬１０７２－１,,34.274345,131.921814,0827-72-2321,,,,,,,,,,,外科;眼科;耳鼻咽喉科;整形外科;内科;脳神経外科;泌尿器科;皮膚科,53,,
350001,,山口県,,岩国市立美和病院,イワクニシリツミワビョウイン,病院,岩国市美和町渋前１７７６,,34.218582,132.093811,0827-96-1155,,,,,,,,,,,外科;眼科;小児科;神経内科;整形外科;内科,60,,
350001,,山口県,,岩国みなみ病院,イワクニミナミビョウイン,病院,岩国市南岩国町２－７７－２３,,34.138248,132.19252,0827-32-4100,,,,,,,,,,,リハビリテーション科;外科;呼吸器外科;呼吸器内科;消化器外科（胃腸外科）;消化器内科（胃腸内科）,60,,
350001,,山口県,,みどり病院,ミドリビョウイン,病院,岩国市由宇町３５９－１,,34.035919,132.176926,0827-63-0111,,,,,,,,,,,リハビリテーション科;内科,120,,
350001,,山口県,,岩国市医療センター医師会病院,イワクニシイリョウセンターイシカイビョウイン,病院,岩国市室の木町３－６－１２,,34.170864,132.206497,0827-21-3211,,,,,,,,,,,外科;眼科;耳鼻咽喉科;整形外科;内科;脳神経外科;泌尿器科;皮膚科,181,,
350001,,山口県,,いしい記念病院,イシイキネンビョウイン,病院,岩国市多田３－１０２－１,,34.181664,132.166824,0827-41-0114,,,,,,,,,,,リハビリテーション科;呼吸器内科;循環器内科;消化器内科（胃腸内科）;精神科;内科;放射線科,207,,
350001,,山口県,,リフレまえだ病院,リフレマエダビョウイン,病院,岩国市玖珂町１８８７,,34.100464,132.092773,0827-82-3521,,,,,,,,,,,心療内科;精神科;内科,108,,
350001,,山口県,,玖珂中央病院,クガチュウオウビョウイン,病院,岩国市玖珂町１４４８,,34.100464,132.092773,0827-82-5123,,,,,,,,,,,リハビリテーション科;循環器科;消化器科;内科,148,,
350001,,山口県,,山口平成病院,ヤマグチヘイセイビョウイン,病院,岩国市玖珂町臼田１１３４０,,34.097664,132.05542,0827-82-6111,,,,,,,,,,,リウマチ科;リハビリテーション科;呼吸器内科;循環器内科;消化器内科（胃腸内科）;内科,150,,
350001,,山口県,,周防病院,スオウビョウイン,病院,岩国市周東町上久原１２３,,34.076614,132.071854,0827-84-1223,,,,,,,,,,,リハビリテーション科;呼吸器内科;循環器内科;消化器内科（胃腸内科）;神経内科;内科;放射線科,150,,
350001,,山口県,,藤政病院,フジマサビョウイン,病院,岩国市周東町下久原２４０３－１,,34.09428,132.049957,0827-84-0037,,,,,,,,,,,外科;矯正歯科;歯科;歯科口腔外科;小児歯科;整形外科;内科,40,,
350001,,山口県,,柳井病院,ヤナイビョウイン,病院,柳井市柳井１９１０－１,,33.993694,132.103455,0820-22-1002,,,,,,,,,,,小児神経発達外来;精神科;内科,298,,
350001,,山口県,,国立病院機構　柳井医療センター,コクリツビョウインキコウ　ヤナイイリョウセンター,病院,柳井市伊保庄９５,,33.915909,132.127487,0820-27-0211,,,,,,,,,,,外科;呼吸器内科;循環器科;整形外科;内科;脳神経内科;泌尿器科;皮膚科,280,,
350001,,山口県,,周東総合病院,シュウトウソウゴウビョウイン,病院,柳井市古開作１０００－１,,33.959858,132.095093,0820-22-3456,,,,,,,,,,,リハビリテーション科;外科;眼科;血液内科;産婦人科;歯科口腔外科;耳鼻いんこう科;循環器内科;小児科;消化器内科;心臓血管外科;整形外科;精神科;内科;乳腺外科;脳神経外科;脳神経内科;泌尿器科;皮膚科;放射線科;麻酔科,360,,
350001,,山口県,,坂本病院,サカモトビョウイン,病院,柳井市余田３６２６－２,,33.958447,132.067291,0820-23-6800,,,,,,,,,,,呼吸器内科;循環器内科;消化器内科（胃腸内科）;内科,100,,
350001,,山口県,,周防大島町立大島病院,スオウオオシマチョウリツ　オオシマビョウイン,病院,大島郡周防大島町大字小松１４１５－１,,33.941822,132.187759,0820-74-2580,,,,,,,,,,,リハビリテーション科;外科;眼科;耳鼻いんこう科;整形外科;内科;脳神経外科;発達小児科;泌尿器科;皮膚科,99,,
350001,,山口県,,周防大島町立東和病院,スオウオオシマチョウリツトウワビョウイン,病院,大島郡周防大島町大字西方５７１－１,,33.885509,132.357452,0820-78-0310,,,,,,,,,,,リハビリテーション科;外科;眼科;耳鼻いんこう科;循環器科;整形外科;内科;発達小児科;泌尿器科;皮膚科;病理診断科;放射線科,99,,
350001,,山口県,,日良居病院,ヒライビョウイン,病院,大島郡周防大島町大字土居１４２６－１,,33.913338,132.308136,0820-73-0527,,,,,,,,,,,歯科;精神科,132,,
350001,,山口県,,光輝病院,コウキビョウイン,病院,熊毛郡平生町大字佐賀１０００２－７７,,33.8988,132.092407,0820-58-1111,,,,,,,,,,,外科;眼科;歯科;耳鼻いんこう科;整形外科;精神科;内科;脳神経外科;泌尿器科;皮膚科,476,,
350001,,山口県,,泉原病院,イズミハラビョウイン,病院,周南市泉原町１０－１,,34.052765,131.820343,0834-21-4511,,,,,,,,,,,精神科,265,,
350001,,山口県,,徳山静養院,トクヤマセイヨウイン,病院,周南市五月町１３－１,,34.038719,131.829895,0834-31-1734,,,,,,,,,,,心療内科;精神科,140,,
350001,,山口県,,地域医療支援病院オープンシステム徳山医師会病院,チイキイリョウシエンビョウインオープンシステムトクヤマイシカイビョウイン,病院,周南市東山町６－２８,,34.049595,131.816147,0834-31-2350,,,,,,,,,,,リハビリテーション科;外科;呼吸器内科;循環器内科;消化器内科（胃腸内科）;神経内科;脳神経外科;泌尿器科,330,,
350001,,山口県,,周南病院,シュウナンビョウイン,病院,周南市御幸通２－８,,34.052513,131.805191,0834-21-0357,,,,,,,,,,,アレルギー科;リウマチ科;リハビリテーション科;外科;神経内科;内科;脳神経外科,56,,
350001,,山口県,,徳山病院,トクヤマビョウイン,病院,周南市南浦山町５番14号,,34.069366,131.788071,0834-21-3750,,,,,,,,,,,リウマチ科;リハビリテーション科;循環器内科;消化器内科（胃腸内科）;内科;放射線科,78,,
350001,,山口県,,鼓ケ浦こども医療福祉センター,ツヅミガウラコドモイリョウフクシセンター,病院,周南市大字久米字西殿山７５２－４,,34.051853,131.85611,0834-29-1430,,,,,,,,,,,リハビリテーション科;歯科;耳鼻いんこう科;小児科;小児神経科;小児脳神経外科;神経内科;整形外科,100,,
350001,,山口県,,田中病院,タナカビョウイン,病院,周南市三番町１－１２,,34.053665,131.810913,0834-32-2000,,,,,,,,,,,産婦人科,52,,
