市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数
352063,,山口県,防府市,2025/4/1,牟礼,15504,7404,8100,262,222,305,305,350,299,371,348,336,414,334,338,356,362,383,372,451,418,510,510,617,617,458,457,441,443,447,506,506,606,581,666,380,545,316,672,7761
352063,,山口県,防府市,2025/4/1,松崎,10862,5181,5681,214,190,259,239,265,216,239,245,242,236,243,209,252,235,296,297,333,325,366,396,442,439,378,404,318,327,285,290,266,357,350,437,218,355,215,484,5512
352063,,山口県,防府市,2025/4/1,佐波,9119,4466,4653,177,172,196,172,203,179,190,183,212,217,248,230,264,239,257,252,297,258,326,291,368,341,300,312,282,274,252,271,292,317,264,361,178,246,160,338,4773
352063,,山口県,防府市,2025/4/1,勝間,5457,2652,2805,127,116,146,123,135,124,108,127,138,110,160,135,186,160,184,169,181,150,186,181,210,194,175,189,154,130,115,137,133,166,131,197,90,172,93,225,2840
352063,,山口県,防府市,2025/4/1,華浦,8794,4247,4547,161,142,186,179,224,233,231,220,187,185,198,170,221,174,260,248,263,261,313,269,316,331,255,259,251,256,269,286,283,308,286,351,184,288,159,387,4454
352063,,山口県,防府市,2025/4/1,新田,8791,4399,4392,150,155,203,195,195,218,201,206,284,208,270,205,254,220,331,259,309,280,302,291,385,340,252,249,240,247,231,243,269,271,237,283,157,221,129,301,4497
352063,,山口県,防府市,2025/4/1,野島,59,26,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,2,4,1,0,3,2,3,3,2,3,7,7,15,41
352063,,山口県,防府市,2025/4/1,向島,1030,492,538,7,8,9,5,9,7,18,9,14,12,13,18,16,7,12,14,25,22,27,23,41,29,39,35,36,29,50,46,46,62,55,58,41,49,34,105,616
352063,,山口県,防府市,2025/4/1,中関,12012,6085,5927,234,210,258,285,323,297,356,254,491,420,365,264,352,336,432,378,426,355,416,364,478,404,312,314,338,308,273,307,342,393,334,423,191,286,164,329,6219
352063,,山口県,防府市,2025/4/1,華城,14842,7351,7491,315,314,370,342,393,356,372,333,346,334,405,380,450,382,461,425,516,484,543,533,632,517,471,468,410,407,370,410,409,469,397,467,272,386,219,484,7186
352063,,山口県,防府市,2025/4/1,西浦,3324,1800,1524,32,26,52,44,56,68,168,58,230,48,58,31,60,39,90,59,113,93,105,80,130,95,91,74,87,86,84,127,135,159,159,167,89,100,61,170,1876
352063,,山口県,防府市,2025/4/1,右田,8541,4031,4510,229,192,251,239,241,218,193,238,143,174,188,196,222,250,270,286,290,272,273,269,318,338,207,224,189,196,203,237,227,263,262,335,168,280,157,303,3963
352063,,山口県,防府市,2025/4/1,玉祖,5021,2430,2591,49,52,73,59,125,95,120,115,97,143,91,74,79,87,109,112,139,131,158,151,198,175,176,186,204,223,233,260,214,241,195,179,97,130,73,178,2454
352063,,山口県,防府市,2025/4/1,富海,1716,790,926,11,12,24,14,28,26,24,30,19,13,13,20,24,10,28,22,37,39,51,43,60,49,42,59,46,41,68,80,86,84,90,134,80,115,59,135,939
352063,,山口県,防府市,2025/4/1,小野,2807,1347,1460,11,10,20,23,43,43,49,50,45,33,36,32,21,33,47,33,71,64,95,69,135,97,77,83,87,94,124,130,152,190,165,190,80,124,89,162,1485
352063,,山口県,防府市,2025/4/1,大道,4400,2060,2340,40,50,66,50,74,76,84,87,79,86,61,60,70,65,77,74,117,93,129,134,166,158,149,153,150,146,152,147,189,207,198,251,132,182,127,321,2358
