都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
352080,,山口県,岩国市,2024-04-01,岩国出張所管内,10342,4840,5502,167,131,241,205,295,295,281,279,181,225,142,153,167,171,253,266,285,293,332,416,372,358,315,334,302,278,306,334,366,415,324,412,264,372,247,565,5051,
352080,,山口県,岩国市,2024-04-01,平田出張所管内,9527,4438,5089,129,111,212,178,232,247,238,224,203,205,184,204,186,189,181,216,237,250,302,351,316,372,322,349,268,290,293,321,320,376,317,440,253,367,245,399,4666,
352080,,山口県,岩国市,2024-04-01,本庁管内,23739,11415,12324,393,376,456,448,493,486,509,509,495,500,555,504,512,518,658,578,700,685,850,854,981,941,812,867,765,787,787,811,867,879,681,841,440,688,461,1052,12621,
352080,,山口県,岩国市,2024-04-01,装港出張所管内,1924,988,936,31,41,28,28,45,30,38,22,38,36,82,50,70,42,61,40,45,42,60,52,60,54,61,47,52,50,69,64,77,81,71,88,47,70,53,99,1048,
352080,,山口県,岩国市,2024-04-01,川下出張所管内,8694,4287,4407,186,176,188,184,206,202,193,184,285,220,273,221,256,203,261,223,253,247,290,283,354,321,261,274,229,252,246,222,260,283,222,292,163,260,161,360,4662,
352080,,山口県,岩国市,2024-04-01,愛宕出張所管内,11358,5341,6017,234,227,221,218,244,254,258,256,233,311,300,284,267,271,281,295,297,321,402,381,424,430,305,341,294,321,316,377,424,452,340,418,237,353,264,507,5794,
352080,,山口県,岩国市,2024-04-01,灘出張所管内,11535,5472,6063,169,158,209,190,230,233,241,254,241,231,241,199,222,208,227,252,287,309,392,384,379,386,374,387,349,415,403,426,508,558,417,489,289,425,294,559,5775,
352080,,山口県,岩国市,2024-04-01,柱島出張所管内,137,59,78,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,1,1,0,6,0,9,5,2,1,11,4,5,10,6,20,14,36,108,
352080,,山口県,岩国市,2024-04-01,小瀬出張所管内,701,304,397,4,2,1,6,7,3,9,12,8,31,4,18,7,11,12,7,10,10,20,13,16,25,23,18,24,28,27,28,40,51,44,47,24,35,24,52,407,
352080,,山口県,岩国市,2024-04-01,藤河出張所管内,2241,1128,1113,56,35,51,56,54,66,51,49,50,51,66,35,56,57,76,63,62,68,98,79,84,87,78,57,71,59,69,68,74,70,55,72,43,59,34,82,1098,
