都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2020-05-31,上関,829,402,427,8,4,11,13,11,12,20,14,12,8,16,11,19,14,13,7,21,14,24,27,25,22,31,23,29,28,41,48,44,46,33,42,25,38,19,56,428,
353418,,山口県,上関町,2020-05-31,蒲井,57,14,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,1,2,2,6,2,6,3,29,51,
353418,,山口県,上関町,2020-05-31,四代,99,45,54,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,2,0,1,1,6,8,3,3,11,4,7,4,3,6,1,5,6,20,58,
353418,,山口県,上関町,2020-05-31,白井田,188,78,110,1,1,0,0,0,1,1,2,1,1,2,1,0,1,1,0,2,3,5,3,4,2,4,4,6,4,12,3,8,10,13,14,11,27,7,33,131,
353418,,山口県,上関町,2020-05-31,戸津,206,93,113,2,1,0,3,0,2,0,0,1,1,1,5,1,4,5,1,2,1,3,1,2,7,10,7,12,7,9,11,12,13,13,16,12,16,8,17,110,
353418,,山口県,上関町,2020-05-31,室津,878,418,460,12,8,10,13,11,13,10,7,12,4,16,9,21,13,18,16,25,16,28,17,23,19,28,28,38,41,32,44,51,50,33,37,21,46,29,79,472,
353418,,山口県,上関町,2020-05-31,祝島,349,164,185,1,4,2,2,0,0,3,0,2,2,3,1,2,2,3,2,2,2,7,0,6,4,8,5,13,4,17,16,28,22,15,33,25,26,27,60,241,
353418,,山口県,上関町,2020-05-31,八島,21,7,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,7,2,5,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
