都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2023-12-31,上関,709,340,369,8,3,7,4,11,15,12,9,14,13,8,2,12,8,13,12,14,9,18,15,23,20,23,18,25,27,33,31,51,49,26,39,21,38,21,57,389,
353418,,山口県,上関町,2023-12-31,蒲井,54,17,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,0,1,5,3,6,4,26,49,
353418,,山口県,上関町,2023-12-31,四代,75,42,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,2,3,6,5,8,4,9,4,4,3,3,5,5,8,43,
353418,,山口県,上関町,2023-12-31,白井田,150,64,86,0,0,0,0,0,0,1,2,1,1,0,1,2,1,0,0,1,1,3,2,4,2,5,2,4,2,5,4,11,5,6,10,9,13,12,40,109,
353418,,山口県,上関町,2023-12-31,戸津,198,89,109,2,3,2,3,0,4,0,1,0,1,2,0,2,2,3,6,5,1,2,0,3,4,3,6,9,7,11,7,10,15,13,12,13,14,9,23,108,
353418,,山口県,上関町,2023-12-31,室津,783,378,405,9,5,10,12,12,10,10,9,9,5,12,5,14,11,21,14,16,12,22,16,30,16,27,24,31,34,36,33,44,54,30,40,25,38,20,67,433,
353418,,山口県,上関町,2023-12-31,祝島,281,136,145,2,2,2,3,0,0,0,1,2,0,3,1,3,1,2,3,2,2,4,2,7,0,7,5,7,4,15,8,23,16,17,22,16,29,24,46,203,
353418,,山口県,上関町,2023-12-31,八島,19,7,12,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,8,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
