都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2020-11-30,上関,817,398,419,10,6,10,10,11,13,19,14,10,8,18,8,19,11,12,11,24,13,19,24,27,20,30,21,26,26,40,50,49,48,29,35,24,43,21,58,424,
353418,,山口県,上関町,2020-11-30,蒲井,58,14,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,2,2,6,3,6,3,30,52,
353418,,山口県,上関町,2020-11-30,四代,97,46,51,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,2,1,0,2,0,0,0,6,8,4,3,12,4,7,5,3,6,1,5,6,17,56,
353418,,山口県,上関町,2020-11-30,白井田,185,78,107,1,1,1,0,0,1,1,2,1,0,2,2,0,1,0,0,2,2,5,4,5,2,4,3,5,4,11,2,9,11,12,13,11,25,8,34,126,
353418,,山口県,上関町,2020-11-30,戸津,202,92,110,2,1,0,2,0,3,0,0,1,1,2,5,1,4,5,1,2,0,3,1,1,7,9,6,10,9,11,11,11,12,13,15,13,11,8,21,109,
353418,,山口県,上関町,2020-11-30,室津,878,419,459,10,9,11,11,13,15,10,8,13,5,17,5,18,13,22,18,19,16,32,18,26,20,25,25,37,43,35,41,50,54,30,33,23,48,28,77,470,
353418,,山口県,上関町,2020-11-30,祝島,337,158,179,2,4,2,2,0,0,1,0,3,2,3,0,3,4,2,2,2,2,7,0,6,2,8,7,9,3,18,14,28,23,16,33,24,25,24,56,231,
353418,,山口県,上関町,2020-11-30,八島,23,8,15,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,6,2,5,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
