都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2021-02-28,上関,808,394,414,9,6,11,9,11,13,17,14,12,9,14,7,16,11,17,11,25,12,18,23,26,21,27,21,25,24,43,49,49,49,28,35,24,41,22,59,422,
353418,,山口県,上関町,2021-02-28,蒲井,58,13,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,4,2,5,3,5,2,31,52,
353418,,山口県,上関町,2021-02-28,四代,96,46,50,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,2,1,0,2,0,0,0,6,7,4,4,12,4,7,5,3,5,1,6,6,16,55,
353418,,山口県,上関町,2021-02-28,白井田,180,77,103,1,1,1,0,0,1,1,2,1,0,1,2,0,1,0,0,2,2,5,4,4,2,5,3,5,2,10,4,10,11,11,11,11,23,9,34,125,
353418,,山口県,上関町,2021-02-28,戸津,199,91,108,2,1,0,2,0,3,0,0,1,1,2,4,1,4,4,0,3,1,3,1,1,4,6,9,12,8,12,11,9,13,13,15,13,9,9,22,107,
353418,,山口県,上関町,2021-02-28,室津,876,420,456,14,9,12,11,13,15,10,8,11,4,17,6,19,14,20,15,19,19,30,18,29,20,26,22,37,42,31,42,53,55,27,33,24,46,28,77,467,
353418,,山口県,上関町,2021-02-28,祝島,332,157,175,2,4,2,2,0,0,2,0,4,0,1,1,5,3,1,3,2,2,8,0,5,2,9,6,9,3,18,14,28,22,15,30,23,25,23,58,229,
353418,,山口県,上関町,2021-02-28,八島,23,8,15,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,7,2,5,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
