都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85-89歳の男性,85-89歳の女性,90-94歳の男性,90-94歳の女性,95-99歳の男性,95-99歳の女性,100歳以上の男性,100歳以上の女性,世帯数,備考
350001,350001,山口県,,2021.1.1,県総数,1356144,645033,711111,23230,22111,27589,25895,29501,28358,31101,29642,30926,28657,29134,26072,31122,28872,35871,35039,41015,40314,49806,48148,40900,42780,38441,40823,40894,44089,48362,51603,56248,64930,37706,49564,27277,42020,17478,34699,6850,19355,1416,6891,159,1222,660853,
350001,352012,山口県,,2021.1.1,下関市,257553,120008,137545,4098,3943,5027,4781,5455,5217,5603,5392,5740,5555,5252,4998,5526,5310,6637,6648,7552,7544,9000,8994,7567,8295,7218,8052,7832,8719,9254,10305,10804,12988,7060,9859,5275,8621,3506,6993,1301,3752,276,1324,25,255,129927,
350001,352021,山口県,,2021.1.1,宇部市,163112,77937,85175,2978,2783,3417,3132,3462,3339,3716,3549,4089,3630,3686,3287,3861,3736,4519,4351,5101,5081,6018,5767,4967,5215,4574,4831,4753,5004,5666,6182,6909,7866,4357,5602,3155,4750,1782,4007,744,2164,166,771,17,128,79744,
350001,352039,山口県,,2021.1.1,山口市,190663,90851,99812,3697,3596,4390,4037,4464,4379,4851,4617,4631,4691,4244,4082,4704,4613,5454,5557,6252,6215,7290,7225,5918,6184,5484,5892,5683,6174,6121,6414,6958,7847,4288,5741,3130,4939,2174,4213,917,2437,185,794,16,165,89739,
350001,352047,山口県,,2021.1.1,萩市,45508,21044,24464,502,485,667,663,812,792,864,860,757,769,669,581,742,731,970,926,1240,1189,1483,1386,1219,1290,1328,1460,1632,1690,2071,2269,2345,2626,1448,2042,1157,1904,792,1579,285,888,52,298,9,36,23100,
350001,352063,山口県,,2021.1.1,防府市,115405,55890,59515,2357,2209,2671,2432,2618,2541,2685,2645,2780,2539,2791,2571,3213,2900,3433,3279,3791,3509,4496,4063,3519,3594,3315,3308,3201,3465,3693,4055,4443,5043,2879,3794,2115,3111,1343,2529,450,1309,85,509,12,110,56298,
350001,352071,山口県,,2021.1.1,下松市,57358,28175,29183,1321,1214,1362,1305,1399,1373,1371,1320,1365,1108,1585,1256,1705,1448,1858,1713,1922,1899,2355,2219,1786,1762,1487,1511,1462,1524,1722,1865,2074,2425,1571,1913,1024,1442,531,1064,230,592,41,200,4,30,26410,
350001,352080,山口県,,2021.1.1,岩国市,132187,62847,69340,2196,2111,2554,2527,2871,2745,2977,2875,2865,2776,2746,2571,2895,2661,3153,3260,3743,3734,4743,4697,4060,4170,3943,4031,4160,4316,4892,4907,5527,6147,3753,4977,2851,4280,1969,3684,762,2015,164,731,23,125,65669,
350001,352101,山口県,,2021.1.1,光市,50431,24117,26314,860,792,962,899,1118,1052,1212,1143,1112,985,1146,934,1103,958,1180,1141,1475,1485,1957,1934,1556,1700,1403,1434,1420,1558,1645,1837,2005,2575,1947,2233,1184,1549,552,1167,224,648,52,252,4,38,23434,
350001,352110,山口県,,2021.1.1,長門市,33094,15331,17763,425,368,532,517,627,593,655,561,527,576,515,472,548,551,771,718,906,826,986,978,847,912,916,1025,1146,1270,1562,1659,1698,1922,980,1405,826,1367,600,1150,220,655,35,205,9,33,15892,
