都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
352012,,山口県,下関市,2020-09-30,本庁_みもすそ川町,574,242,332,5,4,7,6,6,2,8,11,7,7,5,10,4,8,11,8,14,13,17,23,13,19,14,24,19,23,25,26,35,44,21,25,11,33,20,46,350,
352012,,山口県,下関市,2020-09-30,本庁_壇之浦町,235,103,132,0,2,2,3,2,1,4,5,3,4,2,1,3,4,2,7,2,2,11,7,10,7,5,6,10,10,7,16,12,9,9,18,10,11,9,19,138,
352012,,山口県,下関市,2020-09-30,本庁_本町一丁目,264,118,146,1,2,1,2,2,4,3,3,8,4,4,9,6,7,7,5,9,8,9,5,8,8,5,11,13,14,8,7,15,12,7,10,8,13,4,22,173,
352012,,山口県,下関市,2020-09-30,本庁_本町二丁目,312,136,176,1,0,1,2,4,3,5,2,2,6,3,2,3,3,5,5,8,6,5,8,8,9,14,6,9,23,20,12,17,24,13,20,10,23,8,22,183,
352012,,山口県,下関市,2020-09-30,本庁_本町三丁目,211,92,119,2,1,1,2,5,1,2,3,2,3,0,3,6,3,4,6,4,3,2,6,11,0,8,6,8,12,11,14,9,15,9,11,5,11,3,19,124,
352012,,山口県,下関市,2020-09-30,本庁_本町四丁目,220,99,121,2,2,5,4,4,7,4,1,4,4,0,3,5,2,4,4,7,7,7,10,6,3,4,4,3,4,8,12,17,16,6,12,8,12,5,14,120,
352012,,山口県,下関市,2020-09-30,本庁_阿弥陀寺町,696,335,361,18,8,13,9,13,10,14,15,9,5,5,4,12,10,19,23,23,25,16,21,25,28,28,25,37,26,28,36,27,33,22,20,9,31,17,32,371,
352012,,山口県,下関市,2020-09-30,本庁_中之町,381,165,216,6,1,4,4,10,6,8,4,2,5,4,3,4,6,5,9,10,12,12,13,13,10,10,15,14,17,15,11,14,19,11,34,13,23,10,24,227,
352012,,山口県,下関市,2020-09-30,本庁_唐戸町,273,115,158,3,2,7,2,3,3,1,3,5,10,3,8,3,1,6,5,6,6,9,6,8,9,9,16,7,5,9,18,13,18,7,16,8,17,8,13,157,
352012,,山口県,下関市,2020-09-30,本庁_赤間町,395,187,208,3,4,3,3,12,5,7,7,3,4,6,1,4,8,10,5,14,8,19,10,16,19,14,17,17,16,15,22,17,25,10,9,6,16,11,29,232,
