都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
352080,,山口県,岩国市,2022-04-01,岩国出張所管内,10609,4939,5670,167,158,264,237,321,288,283,290,170,204,142,167,181,176,254,295,304,327,374,418,349,361,290,291,308,323,344,339,405,478,288,398,257,357,238,563,5114,
352080,,山口県,岩国市,2022-04-01,平田出張所管内,9821,4577,5244,166,142,219,212,242,250,252,229,199,212,197,203,177,206,195,244,279,297,304,348,326,394,300,320,262,315,312,312,371,459,304,392,256,344,216,365,4684,
352080,,山口県,岩国市,2022-04-01,本庁管内,24381,11761,12620,450,419,459,473,517,499,518,525,554,518,589,511,586,536,662,635,747,718,970,956,904,943,778,797,782,793,819,820,938,1016,586,733,433,730,469,998,12665,
352080,,山口県,岩国市,2022-04-01,装港出張所管内,1922,990,932,29,36,29,27,43,26,26,27,48,37,71,46,74,28,53,45,52,42,58,44,61,55,57,45,62,52,70,70,93,100,64,74,55,64,45,114,1051,
352080,,山口県,岩国市,2022-04-01,川下出張所管内,8856,4368,4488,194,198,196,180,217,206,192,192,308,211,277,206,240,221,292,241,234,258,332,296,331,317,240,252,251,244,254,245,294,331,199,267,153,259,164,364,4673,
352080,,山口県,岩国市,2022-04-01,愛宕出張所管内,11608,5461,6147,238,225,218,251,269,255,246,243,246,324,288,261,279,291,309,324,307,316,487,434,374,404,303,313,287,348,394,408,455,490,292,378,221,362,248,520,5856,
352080,,山口県,岩国市,2022-04-01,灘出張所管内,11862,5635,6227,159,158,243,216,244,238,256,289,254,245,238,203,246,228,236,276,334,302,431,409,348,401,348,394,398,416,432,437,527,625,373,425,272,435,296,530,5815,
352080,,山口県,岩国市,2022-04-01,柱島出張所管内,148,60,88,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,5,0,4,0,6,6,7,2,7,5,4,16,6,23,18,34,117,
352080,,山口県,岩国市,2022-04-01,小瀬出張所管内,724,321,403,2,3,3,5,6,5,12,9,8,28,6,21,10,9,10,5,14,10,20,14,21,26,26,18,23,31,36,34,43,59,34,41,23,29,24,56,411,
352080,,山口県,岩国市,2022-04-01,藤河出張所管内,2233,1103,1130,60,49,53,66,56,57,57,53,39,43,61,42,66,61,69,72,76,65,87,90,85,74,59,53,71,51,72,81,72,78,52,70,38,47,30,78,1053,
352080,,山口県,岩国市,2022-04-01,御庄出張所管内,2491,1217,1274,69,52,47,67,52,63,46,49,62,60,63,66,74,74,90,71,95,99,110,89,76,81,69,63,72,77,74,72,90,80,50,59,41,55,37,97,1191,
352080,,山口県,岩国市,2022-04-01,北河内出張所管内,1123,539,584,4,9,13,8,9,8,23,17,22,21,14,8,8,2,22,18,23,16,33,29,49,34,36,38,46,49,54,49,67,70,49,51,33,61,34,96,604,
352080,,山口県,岩国市,2022-04-01,南河内出張所管内,1200,578,622,3,6,16,8,11,10,17,12,13,18,20,9,24,9,20,16,24,22,42,29,33,36,38,49,47,39,56,60,72,81,52,57,46,57,44,104,629,
352080,,山口県,岩国市,2022-04-01,師木野出張所管内,510,238,272,2,2,1,4,8,9,10,7,4,6,9,4,4,4,9,4,9,7,10,13,13,6,22,28,17,14,27,32,36,34,23,25,19,26,15,47,288,
352080,,山口県,岩国市,2022-04-01,通津出張所管内,4150,1953,2197,44,40,78,82,90,85,87,92,90,79,60,64,58,57,59,86,119,110,144,157,145,142,150,140,118,110,145,179,234,210,133,185,100,157,99,222,2024,
