都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数
352161,1,山口県,山陽小野田市,2021/2/28,本山小学校区,2998.00,1414.00,1584.00,31.00,40.00,67.00,48.00,76.00,67.00,93.00,71.00,91.00,86.00,52.00,35.00,59.00,56.00,57.00,72.00,87.00,98.00,101.00,115.00,85.00,88.00,69.00,69.00,99.00,102.00,118.00,137.00,144.00,169.00,88.00,121.00,48.00,79.00,49.00,131.00,1400.00
352161,2,山口県,山陽小野田市,2021/2/28,赤崎小学校区,5084.00,2558.00,2526.00,69.00,81.00,108.00,83.00,108.00,104.00,182.00,150.00,362.00,208.00,142.00,85.00,100.00,70.00,125.00,114.00,154.00,145.00,183.00,169.00,118.00,171.00,120.00,134.00,154.00,136.00,159.00,159.00,186.00,198.00,120.00,155.00,92.00,135.00,76.00,229.00,2572.00
352161,3,山口県,山陽小野田市,2021/2/28,須恵小学校区,8241.00,3868.00,4373.00,122.00,140.00,179.00,195.00,201.00,181.00,186.00,180.00,199.00,170.00,170.00,156.00,185.00,172.00,218.00,219.00,255.00,237.00,292.00,288.00,236.00,251.00,226.00,241.00,241.00,282.00,312.00,299.00,342.00,424.00,222.00,300.00,138.00,259.00,144.00,379.00,4024.00
352161,4,山口県,山陽小野田市,2021/2/28,小野田小学校区,5976.00,2810.00,3166.00,106.00,72.00,146.00,134.00,138.00,134.00,155.00,129.00,110.00,119.00,101.00,104.00,115.00,120.00,157.00,180.00,202.00,184.00,234.00,203.00,190.00,208.00,164.00,198.00,192.00,209.00,220.00,220.00,233.00,276.00,156.00,189.00,97.00,182.00,94.00,305.00,2898.00
352161,5,山口県,山陽小野田市,2021/2/28,高泊小学校区,4255.00,1979.00,2276.00,49.00,64.00,107.00,83.00,102.00,98.00,111.00,104.00,83.00,99.00,73.00,73.00,92.00,109.00,101.00,96.00,117.00,139.00,158.00,167.00,126.00,139.00,117.00,98.00,100.00,137.00,150.00,170.00,209.00,213.00,127.00,152.00,79.00,118.00,78.00,217.00,1982.00
352161,6,山口県,山陽小野田市,2021/2/28,高千帆小学校区,11204.00,5397.00,5807.00,248.00,232.00,296.00,254.00,249.00,248.00,280.00,247.00,250.00,236.00,250.00,194.00,308.00,291.00,356.00,372.00,369.00,366.00,406.00,413.00,320.00,344.00,295.00,290.00,301.00,333.00,378.00,411.00,425.00,490.00,287.00,356.00,193.00,328.00,186.00,402.00,5089.00
352161,7,山口県,山陽小野田市,2021/2/28,有帆小学校区,3701.00,1796.00,1905.00,51.00,36.00,59.00,38.00,76.00,61.00,71.00,68.00,85.00,68.00,65.00,45.00,63.00,60.00,76.00,72.00,112.00,96.00,125.00,122.00,120.00,111.00,101.00,124.00,126.00,137.00,167.00,189.00,218.00,237.00,121.00,152.00,87.00,123.00,73.00,166.00,1694.00
352161,8,山口県,山陽小野田市,2021/2/28,厚狭小学校区,10329.00,4891.00,5438.00,195.00,217.00,254.00,235.00,267.00,259.00,261.00,242.00,190.00,189.00,200.00,178.00,256.00,234.00,317.00,312.00,324.00,339.00,375.00,366.00,287.00,291.00,250.00,323.00,305.00,305.00,352.00,402.00,403.00,493.00,273.00,284.00,183.00,305.00,199.00,464.00,4545.00
352161,9,山口県,山陽小野田市,2021/2/28,出合小学校区,2708.00,1313.00,1395.00,39.00,38.00,60.00,57.00,49.00,57.00,58.00,68.00,96.00,59.00,94.00,57.00,56.00,53.00,63.00,57.00,71.00,62.00,76.00,90.00,77.00,73.00,87.00,92.00,86.00,106.00,104.00,113.00,137.00,126.00,65.00,94.00,46.00,73.00,49.00,120.00,1283.00
352161,10,山口県,山陽小野田市,2021/2/28,厚陽小学校区,1894.00,857.00,1037.00,21.00,19.00,15.00,25.00,23.00,38.00,53.00,41.00,30.00,27.00,25.00,18.00,33.00,33.00,34.00,33.00,40.00,39.00,56.00,51.00,56.00,55.00,58.00,58.00,62.00,88.00,92.00,99.00,102.00,101.00,75.00,87.00,42.00,89.00,40.00,136.00,933.00
352161,11,山口県,山陽小野田市,2021/2/28,埴生小学校区,3911.00,1861.00,2050.00,46.00,50.00,67.00,61.00,74.00,64.00,71.00,65.00,71.00,80.00,89.00,79.00,75.00,66.00,84.00,81.00,112.00,121.00,157.00,124.00,135.00,104.00,103.00,110.00,105.00,116.00,181.00,179.00,171.00,226.00,140.00,171.00,103.00,146.00,77.00,207.00,1961.00
352161,12,山口県,山陽小野田市,2021/2/28,津布田小学校区,1098.00,515.00,583.00,7.00,9.00,19.00,13.00,17.00,18.00,23.00,22.00,15.00,25.00,34.00,27.00,22.00,20.00,29.00,24.00,29.00,23.00,37.00,29.00,25.00,37.00,38.00,39.00,42.00,34.00,50.00,55.00,49.00,60.00,44.00,33.00,13.00,42.00,22.00,73.00,553.00
