"都道府県コード又は市区町村コード","地域コード","都道府県名","市区町村名","調査年月日","地域名","総人口","男性","女性","0-4歳の男性","0-4歳の女性","5-9歳の男性","5-9歳の女性","10-14歳の男性","10-14歳の女性","15-19歳の男性","15-19歳の女性","20-24歳の男性","20-24歳の女性","25-29歳の男性","25-29歳の女性","30-34歳の男性","30-34歳の女性","35-39歳の男性","35-39歳の女性","40-44歳の男性","40-44歳の女性","45-49歳の男性","45-49歳の女性","50-54歳の男性","50-54歳の女性","55-59歳の男性","55-59歳の女性","60-64歳の男性","60-64歳の女性","65-69歳の男性","65-69歳の女性","70-74歳の男性","70-74歳の女性","75-79歳の男性","75-79歳の女性","80-84歳の男性","80-84歳の女性","85歳以上の男性","85歳以上の女性","世帯数"
352161,1,"山口県","山陽小野田市","2021/10/31","本山小学校区",2909.00,1378.00,1531.00,33.00,35.00,54.00,43.00,75.00,68.00,89.00,61.00,80.00,81.00,66.00,40.00,51.00,39.00,56.00,77.00,68.00,94.00,104.00,115.00,104.00,97.00,58.00,66.00,105.00,91.00,103.00,122.00,131.00,179.00,96.00,115.00,56.00,83.00,49.00,125.00,1373.00
352161,2,"山口県","山陽小野田市","2021/10/31","赤崎小学校区",5039.00,2510.00,2529.00,65.00,76.00,95.00,82.00,108.00,100.00,170.00,149.00,356.00,221.00,148.00,97.00,101.00,74.00,125.00,109.00,138.00,141.00,181.00,163.00,139.00,176.00,117.00,136.00,141.00,136.00,151.00,155.00,183.00,194.00,120.00,146.00,99.00,144.00,73.00,230.00,2572.00
352161,3,"山口県","山陽小野田市","2021/10/31","須恵小学校区",8193.00,3848.00,4345.00,134.00,123.00,164.00,200.00,183.00,189.00,207.00,165.00,184.00,179.00,156.00,148.00,207.00,194.00,222.00,209.00,249.00,229.00,280.00,282.00,248.00,257.00,212.00,245.00,245.00,264.00,291.00,300.00,344.00,416.00,231.00,285.00,145.00,267.00,146.00,393.00,4033.00
352161,4,"山口県","山陽小野田市","2021/10/31","小野田小学校区",5975.00,2801.00,3174.00,101.00,84.00,147.00,119.00,134.00,140.00,154.00,135.00,110.00,111.00,118.00,119.00,120.00,111.00,155.00,173.00,196.00,183.00,214.00,203.00,206.00,218.00,158.00,184.00,189.00,218.00,203.00,213.00,244.00,282.00,152.00,180.00,105.00,189.00,95.00,312.00,2929.00
352161,5,"山口県","山陽小野田市","2021/10/31","高泊小学校区",4162.00,1943.00,2219.00,49.00,48.00,87.00,84.00,100.00,100.00,103.00,104.00,106.00,79.00,63.00,75.00,75.00,102.00,112.00,95.00,113.00,131.00,158.00,161.00,128.00,160.00,123.00,95.00,82.00,118.00,143.00,156.00,207.00,225.00,133.00,149.00,81.00,118.00,80.00,219.00,1942.00
352161,6,"山口県","山陽小野田市","2021/10/31","高千帆小学校区",11126.00,5364.00,5762.00,224.00,220.00,297.00,258.00,267.00,239.00,277.00,238.00,242.00,233.00,253.00,190.00,290.00,256.00,355.00,365.00,368.00,364.00,402.00,416.00,341.00,374.00,294.00,285.00,303.00,328.00,362.00,387.00,406.00,496.00,298.00,360.00,198.00,328.00,187.00,425.00,5106.00
352161,7,"山口県","山陽小野田市","2021/10/31","有帆小学校区",3633.00,1756.00,1877.00,42.00,37.00,66.00,30.00,71.00,63.00,74.00,63.00,72.00,68.00,56.00,48.00,62.00,58.00,74.00,71.00,101.00,85.00,122.00,124.00,120.00,120.00,109.00,105.00,117.00,138.00,155.00,173.00,218.00,254.00,129.00,149.00,89.00,127.00,79.00,164.00,1691.00
352161,8,"山口県","山陽小野田市","2021/10/31","厚狭小学校区",10249.00,4890.00,5359.00,195.00,201.00,235.00,236.00,285.00,258.00,260.00,248.00,208.00,172.00,192.00,173.00,241.00,225.00,320.00,292.00,328.00,341.00,384.00,354.00,279.00,312.00,261.00,303.00,287.00,303.00,328.00,379.00,414.00,502.00,280.00,291.00,195.00,312.00,198.00,457.00,4534.00
352161,9,"山口県","山陽小野田市","2021/10/31","出合小学校区",2597.00,1244.00,1353.00,30.00,29.00,53.00,54.00,47.00,63.00,61.00,63.00,75.00,56.00,75.00,50.00,51.00,47.00,56.00,55.00,78.00,61.00,74.00,83.00,77.00,77.00,83.00,92.00,87.00,98.00,95.00,115.00,135.00,125.00,74.00,90.00,46.00,79.00,47.00,116.00,1241.00
352161,10,"山口県","山陽小野田市","2021/10/31","厚陽小学校区",1836.00,829.00,1007.00,14.00,20.00,16.00,25.00,24.00,36.00,45.00,41.00,32.00,28.00,24.00,17.00,31.00,21.00,35.00,41.00,39.00,34.00,53.00,43.00,57.00,63.00,56.00,51.00,56.00,79.00,84.00,99.00,106.00,106.00,68.00,85.00,44.00,75.00,45.00,143.00,914.00
352161,11,"山口県","山陽小野田市","2021/10/31","埴生小学校区",3892.00,1854.00,2038.00,46.00,48.00,65.00,62.00,70.00,56.00,73.00,73.00,76.00,68.00,87.00,86.00,83.00,65.00,82.00,77.00,95.00,105.00,153.00,120.00,141.00,129.00,107.00,93.00,114.00,118.00,156.00,161.00,184.00,235.00,137.00,169.00,109.00,152.00,76.00,221.00,1970.00
352161,12,"山口県","山陽小野田市","2021/10/31","津布田小学校区",1075.00,504.00,571.00,12.00,10.00,12.00,11.00,22.00,17.00,21.00,25.00,19.00,29.00,26.00,21.00,18.00,17.00,26.00,27.00,30.00,23.00,36.00,26.00,26.00,39.00,34.00,33.00,38.00,38.00,53.00,46.00,46.00,66.00,49.00,35.00,15.00,37.00,21.00,71.00,537.00
