"都道府県コード又は市区町村コード","地域コード","都道府県名","市区町村名","調査年月日","地域名","総人口","男性","女性","0[sanitize]4歳の男性","0[sanitize]4歳の女性","5[sanitize]9歳の男性","5[sanitize]9歳の女性","10[sanitize]14歳の男性","10[sanitize]14歳の女性","15[sanitize]19歳の男性","15[sanitize]19歳の女性","20[sanitize]24歳の男性","20[sanitize]24歳の女性","25[sanitize]29歳の男性","25[sanitize]29歳の女性","30[sanitize]34歳の男性","30[sanitize]34歳の女性","35[sanitize]39歳の男性","35[sanitize]39歳の女性","40[sanitize]44歳の男性","40[sanitize]44歳の女性","45[sanitize]49歳の男性","45[sanitize]49歳の女性","50[sanitize]54歳の男性","50[sanitize]54歳の女性","55[sanitize]59歳の男性","55[sanitize]59歳の女性","60[sanitize]64歳の男性","60[sanitize]64歳の女性","65[sanitize]69歳の男性","65[sanitize]69歳の女性","70[sanitize]74歳の男性","70[sanitize]74歳の女性","75[sanitize]79歳の男性","75[sanitize]79歳の女性","80[sanitize]84歳の男性","80[sanitize]84歳の女性","85歳以上の男性","85歳以上の女性","世帯数"
352161,1,"山口県","山陽小野田市","2024/09/30","本山小学校",2810.00,1351.00,1459.00,36.00,33.00,42.00,38.00,71.00,53.00,107.00,83.00,87.00,58.00,68.00,48.00,48.00,28.00,54.00,63.00,68.00,76.00,85.00,114.00,100.00,100.00,72.00,84.00,82.00,72.00,93.00,114.00,119.00,143.00,107.00,131.00,65.00,109.00,47.00,112.00,1415.00
352161,2,"山口県","山陽小野田市","2024/09/30","赤崎小学校",4958.00,2484.00,2474.00,53.00,61.00,74.00,83.00,119.00,92.00,218.00,179.00,386.00,219.00,119.00,90.00,105.00,85.00,116.00,88.00,120.00,127.00,149.00,157.00,168.00,168.00,113.00,154.00,127.00,135.00,153.00,141.00,141.00,165.00,147.00,163.00,100.00,149.00,76.00,218.00,2695.00
352161,3,"山口県","山陽小野田市","2024/09/30","須恵小学校",7913.00,3725.00,4188.00,104.00,111.00,149.00,159.00,177.00,196.00,233.00,190.00,197.00,179.00,145.00,135.00,182.00,161.00,204.00,193.00,221.00,220.00,260.00,258.00,276.00,258.00,216.00,246.00,221.00,257.00,254.00,297.00,306.00,323.00,268.00,354.00,186.00,288.00,126.00,363.00,4066.00
352161,4,"山口県","山陽小野田市","2024/09/30","小野田小学校",5837.00,2741.00,3096.00,91.00,85.00,124.00,103.00,143.00,123.00,121.00,135.00,141.00,124.00,113.00,120.00,122.00,110.00,124.00,153.00,172.00,170.00,201.00,190.00,237.00,228.00,186.00,196.00,152.00,185.00,194.00,216.00,204.00,215.00,191.00,247.00,122.00,199.00,103.00,297.00,2954.00
352161,5,"山口県","山陽小野田市","2024/09/30","高泊小学校",4034.00,1872.00,2162.00,47.00,44.00,69.00,66.00,96.00,88.00,95.00,103.00,88.00,100.00,70.00,70.00,70.00,84.00,113.00,97.00,109.00,118.00,122.00,133.00,151.00,181.00,119.00,117.00,117.00,99.00,108.00,139.00,159.00,199.00,176.00,171.00,92.00,144.00,71.00,209.00,1963.00
352161,6,"山口県","山陽小野田市","2024/09/30","高千帆小学校",10836.00,5209.00,5627.00,176.00,182.00,267.00,261.00,279.00,242.00,264.00,239.00,255.00,215.00,237.00,205.00,245.00,229.00,311.00,314.00,362.00,368.00,392.00,361.00,394.00,391.00,294.00,329.00,282.00,312.00,326.00,330.00,359.00,425.00,337.00,439.00,244.00,338.00,185.00,447.00,5115.00
352161,7,"山口県","山陽小野田市","2024/09/30","有帆小学校",3557.00,1722.00,1835.00,39.00,34.00,59.00,40.00,61.00,47.00,78.00,63.00,74.00,66.00,50.00,48.00,76.00,58.00,72.00,66.00,86.00,84.00,123.00,102.00,120.00,122.00,117.00,111.00,105.00,124.00,145.00,151.00,160.00,218.00,171.00,192.00,104.00,132.00,82.00,177.00,1729.00
352161,8,"山口県","山陽小野田市","2024/09/30","厚狭小学校",10106.00,4807.00,5299.00,168.00,185.00,212.00,227.00,272.00,239.00,245.00,257.00,217.00,215.00,198.00,176.00,223.00,211.00,280.00,275.00,337.00,315.00,352.00,341.00,346.00,337.00,276.00,312.00,271.00,317.00,272.00,320.00,370.00,435.00,338.00,395.00,236.00,282.00,194.00,460.00,4630.00
352161,9,"山口県","山陽小野田市","2024/09/30","厚陽小学校",1750.00,797.00,953.00,14.00,17.00,19.00,26.00,23.00,23.00,27.00,33.00,38.00,31.00,18.00,19.00,31.00,19.00,30.00,37.00,38.00,33.00,41.00,44.00,52.00,48.00,63.00,61.00,52.00,56.00,72.00,91.00,94.00,103.00,79.00,88.00,62.00,85.00,44.00,139.00,910.00
352161,10,"山口県","山陽小野田市","2024/09/30","出合小学校",2485.00,1197.00,1288.00,21.00,21.00,43.00,43.00,54.00,59.00,62.00,60.00,66.00,57.00,66.00,52.00,52.00,39.00,54.00,44.00,72.00,56.00,63.00,75.00,84.00,82.00,78.00,89.00,77.00,91.00,87.00,103.00,103.00,116.00,109.00,103.00,57.00,90.00,49.00,108.00,1234.00
352161,11,"山口県","山陽小野田市","2024/09/30","埴生小学校",4731.00,2296.00,2435.00,46.00,52.00,70.00,69.00,84.00,72.00,97.00,88.00,93.00,83.00,98.00,75.00,119.00,79.00,94.00,88.00,123.00,105.00,166.00,146.00,196.00,168.00,148.00,133.00,141.00,132.00,179.00,177.00,205.00,256.00,187.00,228.00,152.00,188.00,98.00,296.00,2470.00
