No,管轄コード,管轄名,行政区コード,行政区名,大字コード,大字名,小字コード,小字名,年齢,男,女,計
1,0,,,,1,大字久賀,,,0,3,4,7
2,0,,,,1,大字久賀,,,1,6,2,8
3,0,,,,1,大字久賀,,,2,1,3,4
4,0,,,,1,大字久賀,,,3,10,2,12
5,0,,,,1,大字久賀,,,4,3,4,7
6,0,,,,1,大字久賀,,,5,3,6,9
7,0,,,,1,大字久賀,,,6,7,4,11
8,0,,,,1,大字久賀,,,7,7,5,12
9,0,,,,1,大字久賀,,,8,4,7,11
10,0,,,,1,大字久賀,,,9,8,9,17
11,0,,,,1,大字久賀,,,10,9,8,17
12,0,,,,1,大字久賀,,,11,9,3,12
13,0,,,,1,大字久賀,,,12,14,4,18
14,0,,,,1,大字久賀,,,13,4,7,11
15,0,,,,1,大字久賀,,,14,12,12,24
16,0,,,,1,大字久賀,,,15,7,6,13
17,0,,,,1,大字久賀,,,16,7,4,11
18,0,,,,1,大字久賀,,,17,10,12,22
19,0,,,,1,大字久賀,,,18,5,4,9
20,0,,,,1,大字久賀,,,19,10,5,15
21,0,,,,1,大字久賀,,,20,6,6,12
22,0,,,,1,大字久賀,,,21,1,3,4
23,0,,,,1,大字久賀,,,22,4,3,7
24,0,,,,1,大字久賀,,,23,6,6,12
25,0,,,,1,大字久賀,,,24,1,4,5
26,0,,,,1,大字久賀,,,25,9,3,12
27,0,,,,1,大字久賀,,,26,6,5,11
28,0,,,,1,大字久賀,,,27,2,5,7
29,0,,,,1,大字久賀,,,28,6,3,9
30,0,,,,1,大字久賀,,,29,4,5,9
31,0,,,,1,大字久賀,,,30,4,6,10
32,0,,,,1,大字久賀,,,31,7,3,10
33,0,,,,1,大字久賀,,,32,5,5,10
34,0,,,,1,大字久賀,,,33,5,3,8
35,0,,,,1,大字久賀,,,34,7,4,11
36,0,,,,1,大字久賀,,,35,8,8,16
37,0,,,,1,大字久賀,,,36,4,4,8
38,0,,,,1,大字久賀,,,37,7,10,17
39,0,,,,1,大字久賀,,,38,11,12,23
40,0,,,,1,大字久賀,,,39,9,8,17
41,0,,,,1,大字久賀,,,40,7,9,16
42,0,,,,1,大字久賀,,,41,9,7,16
43,0,,,,1,大字久賀,,,42,12,12,24
44,0,,,,1,大字久賀,,,43,17,11,28
45,0,,,,1,大字久賀,,,44,7,14,21
46,0,,,,1,大字久賀,,,45,17,12,29
47,0,,,,1,大字久賀,,,46,21,11,32
48,0,,,,1,大字久賀,,,47,13,10,23
49,0,,,,1,大字久賀,,,48,10,14,24
50,0,,,,1,大字久賀,,,49,15,14,29
51,0,,,,1,大字久賀,,,50,14,12,26
52,0,,,,1,大字久賀,,,51,12,10,22
53,0,,,,1,大字久賀,,,52,15,6,21
54,0,,,,1,大字久賀,,,53,15,18,33
55,0,,,,1,大字久賀,,,54,12,19,31
56,0,,,,1,大字久賀,,,55,17,15,32
57,0,,,,1,大字久賀,,,56,20,15,35
58,0,,,,1,大字久賀,,,57,6,23,29
59,0,,,,1,大字久賀,,,58,11,16,27
60,0,,,,1,大字久賀,,,59,13,14,27
61,0,,,,1,大字久賀,,,60,14,16,30
62,0,,,,1,大字久賀,,,61,12,23,35
63,0,,,,1,大字久賀,,,62,15,17,32
64,0,,,,1,大字久賀,,,63,19,17,36
65,0,,,,1,大字久賀,,,64,18,18,36
66,0,,,,1,大字久賀,,,65,25,20,45
67,0,,,,1,大字久賀,,,66,17,12,29
68,0,,,,1,大字久賀,,,67,25,27,52
69,0,,,,1,大字久賀,,,68,17,23,40
70,0,,,,1,大字久賀,,,69,25,24,49
71,0,,,,1,大字久賀,,,70,26,24,50
72,0,,,,1,大字久賀,,,71,28,28,56
73,0,,,,1,大字久賀,,,72,20,25,45
74,0,,,,1,大字久賀,,,73,30,26,56
75,0,,,,1,大字久賀,,,74,28,29,57
76,0,,,,1,大字久賀,,,75,35,28,63
77,0,,,,1,大字久賀,,,76,25,44,69
78,0,,,,1,大字久賀,,,77,31,34,65
79,0,,,,1,大字久賀,,,78,18,28,46
80,0,,,,1,大字久賀,,,79,13,17,30
81,0,,,,1,大字久賀,,,80,20,26,46
82,0,,,,1,大字久賀,,,81,16,33,49
83,0,,,,1,大字久賀,,,82,19,28,47
84,0,,,,1,大字久賀,,,83,19,27,46
85,0,,,,1,大字久賀,,,84,8,14,22
86,0,,,,1,大字久賀,,,85,15,20,35
87,0,,,,1,大字久賀,,,86,14,26,40
88,0,,,,1,大字久賀,,,87,11,25,36
89,0,,,,1,大字久賀,,,88,11,16,27
90,0,,,,1,大字久賀,,,89,6,18,24
91,0,,,,1,大字久賀,,,90,7,18,25
92,0,,,,1,大字久賀,,,91,7,11,18
93,0,,,,1,大字久賀,,,92,5,14,19
94,0,,,,1,大字久賀,,,93,3,7,10
95,0,,,,1,大字久賀,,,94,1,10,11
96,0,,,,1,大字久賀,,,95,1,7,8
97,0,,,,1,大字久賀,,,96,2,7,9
98,0,,,,1,大字久賀,,,97,3,6,9
99,0,,,,1,大字久賀,,,98,1,4,5
100,0,,,,1,大字久賀,,,99,0,4,4
101,0,,,,1,大字久賀,,,100,1,3,4
102,0,,,,1,大字久賀,,,102,0,2,2
103,0,,,,1,大字久賀,,,103,0,1,1
104,0,,,,2,大字椋野,,,0,0,1,1
105,0,,,,2,大字椋野,,,3,1,0,1
106,0,,,,2,大字椋野,,,5,0,1,1
107,0,,,,2,大字椋野,,,7,0,3,3
108,0,,,,2,大字椋野,,,8,1,0,1
109,0,,,,2,大字椋野,,,9,1,0,1
110,0,,,,2,大字椋野,,,11,0,1,1
111,0,,,,2,大字椋野,,,13,1,0,1
112,0,,,,2,大字椋野,,,14,0,1,1
113,0,,,,2,大字椋野,,,15,3,0,3
114,0,,,,2,大字椋野,,,16,2,3,5
115,0,,,,2,大字椋野,,,17,1,1,2
116,0,,,,2,大字椋野,,,18,0,1,1
117,0,,,,2,大字椋野,,,19,1,1,2
118,0,,,,2,大字椋野,,,20,1,1,2
119,0,,,,2,大字椋野,,,21,0,1,1
120,0,,,,2,大字椋野,,,24,1,0,1
121,0,,,,2,大字椋野,,,25,0,1,1
122,0,,,,2,大字椋野,,,26,0,1,1
123,0,,,,2,大字椋野,,,27,1,1,2
124,0,,,,2,大字椋野,,,28,0,1,1
125,0,,,,2,大字椋野,,,29,2,1,3
126,0,,,,2,大字椋野,,,30,0,1,1
127,0,,,,2,大字椋野,,,31,0,4,4
128,0,,,,2,大字椋野,,,33,1,1,2
129,0,,,,2,大字椋野,,,35,1,0,1
130,0,,,,2,大字椋野,,,36,1,0,1
131,0,,,,2,大字椋野,,,37,1,0,1
132,0,,,,2,大字椋野,,,38,0,1,1
133,0,,,,2,大字椋野,,,39,0,2,2
134,0,,,,2,大字椋野,,,40,0,2,2
135,0,,,,2,大字椋野,,,41,1,0,1
136,0,,,,2,大字椋野,,,42,1,0,1
137,0,,,,2,大字椋野,,,43,0,2,2
138,0,,,,2,大字椋野,,,44,0,1,1
139,0,,,,2,大字椋野,,,45,2,1,3
140,0,,,,2,大字椋野,,,46,4,1,5
141,0,,,,2,大字椋野,,,47,3,3,6
142,0,,,,2,大字椋野,,,48,2,1,3
143,0,,,,2,大字椋野,,,49,3,5,8
144,0,,,,2,大字椋野,,,50,7,4,11
145,0,,,,2,大字椋野,,,51,3,1,4
146,0,,,,2,大字椋野,,,52,2,2,4
147,0,,,,2,大字椋野,,,53,0,4,4
148,0,,,,2,大字椋野,,,54,5,1,6
149,0,,,,2,大字椋野,,,55,2,2,4
150,0,,,,2,大字椋野,,,56,3,4,7
151,0,,,,2,大字椋野,,,57,2,1,3
152,0,,,,2,大字椋野,,,58,1,3,4
153,0,,,,2,大字椋野,,,59,4,2,6
154,0,,,,2,大字椋野,,,60,3,2,5
155,0,,,,2,大字椋野,,,61,4,5,9
156,0,,,,2,大字椋野,,,62,4,2,6
157,0,,,,2,大字椋野,,,63,2,0,2
158,0,,,,2,大字椋野,,,64,3,1,4
159,0,,,,2,大字椋野,,,65,3,2,5
160,0,,,,2,大字椋野,,,66,3,2,5
161,0,,,,2,大字椋野,,,67,6,4,10
162,0,,,,2,大字椋野,,,68,3,1,4
163,0,,,,2,大字椋野,,,69,4,4,8
164,0,,,,2,大字椋野,,,70,2,2,4
165,0,,,,2,大字椋野,,,71,3,8,11
166,0,,,,2,大字椋野,,,72,1,3,4
167,0,,,,2,大字椋野,,,73,2,10,12
168,0,,,,2,大字椋野,,,74,8,5,13
169,0,,,,2,大字椋野,,,75,6,6,12
170,0,,,,2,大字椋野,,,76,4,6,10
171,0,,,,2,大字椋野,,,77,4,7,11
172,0,,,,2,大字椋野,,,78,3,4,7
173,0,,,,2,大字椋野,,,79,3,3,6
174,0,,,,2,大字椋野,,,80,1,5,6
175,0,,,,2,大字椋野,,,81,4,3,7
176,0,,,,2,大字椋野,,,82,4,3,7
177,0,,,,2,大字椋野,,,83,6,2,8
178,0,,,,2,大字椋野,,,84,0,7,7
179,0,,,,2,大字椋野,,,85,2,3,5
180,0,,,,2,大字椋野,,,86,0,6,6
181,0,,,,2,大字椋野,,,87,0,7,7
182,0,,,,2,大字椋野,,,88,7,3,10
183,0,,,,2,大字椋野,,,89,0,3,3
184,0,,,,2,大字椋野,,,90,2,2,4
185,0,,,,2,大字椋野,,,91,1,4,5
186,0,,,,2,大字椋野,,,92,1,1,2
187,0,,,,2,大字椋野,,,93,1,0,1
188,0,,,,2,大字椋野,,,94,1,2,3
189,0,,,,2,大字椋野,,,96,0,2,2
190,0,,,,2,大字椋野,,,101,0,1,1
191,0,,,,3,大字東三蒲,,,0,0,1,1
192,0,,,,3,大字東三蒲,,,1,0,1,1
193,0,,,,3,大字東三蒲,,,3,0,2,2
194,0,,,,3,大字東三蒲,,,4,0,2,2
195,0,,,,3,大字東三蒲,,,5,1,2,3
196,0,,,,3,大字東三蒲,,,6,1,1,2
197,0,,,,3,大字東三蒲,,,7,3,0,3
198,0,,,,3,大字東三蒲,,,8,0,3,3
199,0,,,,3,大字東三蒲,,,9,1,2,3
200,0,,,,3,大字東三蒲,,,10,1,0,1
201,0,,,,3,大字東三蒲,,,11,3,0,3
202,0,,,,3,大字東三蒲,,,12,0,1,1
203,0,,,,3,大字東三蒲,,,13,0,2,2
204,0,,,,3,大字東三蒲,,,14,1,0,1
205,0,,,,3,大字東三蒲,,,15,0,1,1
206,0,,,,3,大字東三蒲,,,16,3,1,4
207,0,,,,3,大字東三蒲,,,17,2,0,2
208,0,,,,3,大字東三蒲,,,18,2,2,4
209,0,,,,3,大字東三蒲,,,19,2,2,4
210,0,,,,3,大字東三蒲,,,20,1,3,4
211,0,,,,3,大字東三蒲,,,21,0,3,3
212,0,,,,3,大字東三蒲,,,22,1,3,4
213,0,,,,3,大字東三蒲,,,23,0,2,2
214,0,,,,3,大字東三蒲,,,24,2,2,4
215,0,,,,3,大字東三蒲,,,26,1,1,2
216,0,,,,3,大字東三蒲,,,27,2,1,3
217,0,,,,3,大字東三蒲,,,28,3,2,5
218,0,,,,3,大字東三蒲,,,29,0,1,1
219,0,,,,3,大字東三蒲,,,30,2,3,5
220,0,,,,3,大字東三蒲,,,31,2,4,6
221,0,,,,3,大字東三蒲,,,32,0,2,2
222,0,,,,3,大字東三蒲,,,33,1,1,2
223,0,,,,3,大字東三蒲,,,34,0,4,4
224,0,,,,3,大字東三蒲,,,36,2,2,4
225,0,,,,3,大字東三蒲,,,37,0,2,2
226,0,,,,3,大字東三蒲,,,38,2,5,7
227,0,,,,3,大字東三蒲,,,39,4,1,5
228,0,,,,3,大字東三蒲,,,40,4,4,8
229,0,,,,3,大字東三蒲,,,41,4,3,7
230,0,,,,3,大字東三蒲,,,42,3,2,5
231,0,,,,3,大字東三蒲,,,43,1,4,5
232,0,,,,3,大字東三蒲,,,44,2,2,4
233,0,,,,3,大字東三蒲,,,45,0,2,2
234,0,,,,3,大字東三蒲,,,46,2,2,4
235,0,,,,3,大字東三蒲,,,47,5,2,7
236,0,,,,3,大字東三蒲,,,48,1,2,3
237,0,,,,3,大字東三蒲,,,49,1,1,2
238,0,,,,3,大字東三蒲,,,50,2,0,2
239,0,,,,3,大字東三蒲,,,51,0,1,1
240,0,,,,3,大字東三蒲,,,52,2,2,4
241,0,,,,3,大字東三蒲,,,53,3,1,4
242,0,,,,3,大字東三蒲,,,54,3,2,5
243,0,,,,3,大字東三蒲,,,55,2,0,2
244,0,,,,3,大字東三蒲,,,56,1,2,3
245,0,,,,3,大字東三蒲,,,57,2,6,8
246,0,,,,3,大字東三蒲,,,58,2,3,5
247,0,,,,3,大字東三蒲,,,59,3,5,8
248,0,,,,3,大字東三蒲,,,60,3,3,6
249,0,,,,3,大字東三蒲,,,61,5,5,10
250,0,,,,3,大字東三蒲,,,62,3,3,6
251,0,,,,3,大字東三蒲,,,63,6,4,10
252,0,,,,3,大字東三蒲,,,64,2,2,4
253,0,,,,3,大字東三蒲,,,65,8,3,11
254,0,,,,3,大字東三蒲,,,66,4,3,7
255,0,,,,3,大字東三蒲,,,67,2,5,7
256,0,,,,3,大字東三蒲,,,68,3,3,6
257,0,,,,3,大字東三蒲,,,69,6,7,13
258,0,,,,3,大字東三蒲,,,70,4,4,8
