都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
353418,0052020101,山口県,上関町,中ノ浦海浜公園,ナカノウラカイヒンコウエン,,,山口県熊毛郡上関町大字長島11510-3,,33.850005 ,132.078351 ,,,,シャワー施設は6月〜9月まで,,,湾に面した波の穏やかな遠浅の砂浜は全長100m。公園内には東屋、トイレ、シャワー施設がある。,,JR山陽本線柳井駅下車防長交通路線バス柳井駅前から上関行き室津バス停下車（所要時間:約51分）上関町営バス大津〜中ノ浦線なみうち号中ノ浦バス停下車（所要時間:約19分）徒歩9分,14台,身障者用トイレ,上関町産業観光課,0820-62-0360,,,,,
353418,0052020102,山口県,上関町,上盛山展望施設,カミサカリヤマテンボウシセツ,,,山口県熊毛郡上関町大字長島10071,,33.834363 ,132.093692 ,,,,,,,上盛山の標高は314.7mで、長島の最高峰。昔は神山と呼ばれていた。灯台型の展望台からは、風景が360度見渡せ、遠くは佐田岬、国東半島を望むことができる。,,JR山陽本線柳井駅下車防長交通路線バス柳井駅前から上関行き上関バス停下車（所要時間:約57分）徒歩1時間10分,10台,なし,上関町産業観光課,0820-62-0360,,,,,
353418,0052020103,山口県,上関町,城山歴史公園,ジョウヤマレキシコウエン,,,山口県熊毛郡上関町大字長島10044-1,,33.835656 ,132.109133 ,,,,,,,"1568年（永禄11年）に毛利氏の九州攻めにあたり、野島村上武吉が上関に在城し、また1574年（天正2年）の「左甲家文書」で、能島村上武満の在城が確認されている。1998年（平成10年）から発掘調査が始まり、現在は公園として整備され、約190本の河津桜と3,000球の黄色水仙が2月下旬に見頃を迎える。",,JR山陽本線柳井駅下車防長交通路線バス柳井駅前から上関行き上関バス停下車（所要時間:約57分）徒歩5分,6台（普通車5台、身障用1台）,身障者用トイレ,上関町教育委員会,0820-62-0069,,,,,
353418,0052020104,山口県,上関町,道の駅上関海峡,ミチノエキカミノセキカイキョウ,,,山口県熊毛郡上関町大字室津904-15,,33.834579 ,132.116748 ,,08:30,17:30,1月1日-1月3日定休,,,地元の鮮度抜群の魚介類、新鮮な果物や野菜が販売され、加工品、地元銘菓も取り揃えている。お食事処では、海峡を行き交う船を眺めながら、四季折々の食材をふんだんに使った海峡料理が楽しめる。情報コーナー（観光案内所）も有り。,,JR山陽本線柳井駅下車防長交通路線バス柳井駅前から上関行き室津バス停下車（所要時間:約51分）徒歩2分,"48台、24時間利用可能
（普通車46台、大型車2台）
二輪車（バイク10台、自転車10台）",身障者用スロープ・トイレ,道の駅上関海峡,0820-62-1139,,,,https://kaminoseki-kaikyo.jp,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
