市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考
352063,1830000001,山口県,防府市,春の幸せますウィーク,ハルノシアワセマスウィーク,,2024/4/19,2024/5/6,0:00,23:59,,"防府市のゴールデンウィークは「春の幸せますウィーク」と称し、市内観光地ほか各所でさまざまなイベントを開催します。
 防府天満宮の大石段を花を用いて装飾する「花回廊」などみどころがたくさんあります。",,,幸せますフェスタ実行委員会（防府商工会議所）,0835-22-4352,,幸せますフェスタ実行委員会,市内一円,山口県防府市（市内一円）,,34.05344,131.56876,市内一円各会場,会場周辺にあり,,,,,公開終了,
352063,1830000002,山口県,防府市,企画展『「源氏物語」の時代　−摂関政治と大江一族−』,キカクテン『「ゲンジモノガタリ」ノジダイ　−セッカンセイジトオオエイチゾク−』,,2024/4/19,2024/6/2,9:00,17:00,入館は16：30まで,『源氏物語』には華やかな貴族生活が描かれていますが、彼らの治世は、大江氏など中堅官僚に支えられていました。この時代に実力を蓄えた毛利氏の祖大江氏の姿を紹介します。,900,"・毛利博物館：大人900円、小中学生250円
・毛利氏庭園：大人500円、小中学生250円
・共通券（博物館・庭園のセット券）：大人1,200円、小中学生250円
※団体（20名以上）は1割引",（公財）毛利報公会,0835-22-0001,,（公財）毛利報公会,毛利博物館,山口県防府市多々良一丁目15-1,,34.06357,131.58737,"・山陽自動車道防府東I.C.、防府西I.C.から車で約15分
・JR防府駅北口「阿弥陀寺行き」バスで約6分
　→「毛利本邸入口」バス停で下車",あり,,,,,https://c-able.ne.jp/~mouri-m/,
352063,1830000003,山口県,防府市,アジサイ祭,アジサイマツリ,,2024/6/1,2024/6/30,8:00,17:00,,"阿弥陀寺の境内には本アジサイや西洋アジサイを中心に約80種4,000株のアジサイが咲きほこります。
境内のアジサイは、昭和50年頃より植え始め、昭和63年、防府商工会議所青年部や地元有志の協力を得て、『西のアジサイ寺』を目指し、植樹活動がされています。",200,"6/1〜6/30期間のみ有料
大人200円
※団体（20名以上）は150円",東大寺別院阿弥陀寺,0835-38-0839,,東大寺別院阿弥陀寺,東大寺別院阿弥陀寺,山口県防府市大字牟礼1869,,34.07708,131.61452,"・山陽自動車道防府東I.C.、防府西I.C.から車で約15分
・JR防府駅北口「阿弥陀寺行き」バスで約20分
　→「阿弥陀寺」バス停で下車",あり,,,,,公開終了,
352063,1830000004,山口県,防府市,防府航空祭,ホウフコウクウサイ,,2024/6/2,2024/6/2,8:30,13:00,,航空自衛隊に対する理解を深め、より一層の信頼と協力を得るために航空自衛隊が行うイベントです。普段開放されていない「航空自衛隊防府北基地」が一般開放されます。グッズ販売もあり、自衛隊ファンだけでなく一般の方も楽しめるイベントです。,,,航空自衛隊防府北基地,0835-22-1950,,航空自衛隊防府北基地,航空自衛隊防府北基地,山口県防府市大字田島無番地,,34.03251,131.53692,"・潮彩市場臨時駐車場（新築地町2-3）に駐車し、潮彩市場からのシャトルバス（防長バス）に乗車
・防府駅からのシャトルバス（防長バス）に乗車","一般来場者用の駐車場はなし
（有料観覧者用の駐車場は基地内にあり）",,,,,公開終了,
352063,1830000005,山口県,防府市,企画展『重要文化財「毛利家文書」追加指定40年記念　毛利家の大切な記録』,キカクテン『ジュウヨウブンカザイ「モウリケモンジョ」ツイカシテイ40ネンキネン　モウリケノタイセツナキロク』,,2024/6/6,2024/7/8,9:00,17:00,入館は16：30まで,毛利家には多くの貴重な古文書が残されています。長州藩主時代の古文書が重要文化財に追加指定されて40年、その中から、歴史的に興味深いものを選りすぐって紹介します。,900,"・毛利博物館：大人900円、小中学生250円
・毛利氏庭園：大人500円、小中学生250円
・共通券（博物館・庭園のセット券）：大人1,200円、小中学生250円
※団体（20名以上）は1割引",（公財）毛利報公会,0835-22-0001,,（公財）毛利報公会,毛利博物館,山口県防府市多々良一丁目15-1,,34.06357,131.58737,"・山陽自動車道防府東I.C.、防府西I.C.から車で約15分
・JR防府駅北口「阿弥陀寺行き」バスで約6分
　→「毛利本邸入口」バス停で下車",あり,,,,,https://c-able.ne.jp/~mouri-m/,
352063,1830000006,山口県,防府市,防府天満宮　七夕まつり,ホウフテンマングウ　タナバタマツリ,,2024/7/1,2024/7/7,10:00,21:00,,期間中、回廊内の笹飾りや、ビニール傘を繋ぎ合わせ球状の「傘玉」を楼門前に散りばめる「傘玉アート」が境内を幻想的に彩ります。18時から21時は社殿ライトアップを行います。,,,防府天満宮七夕まつり実行委員会（防府天満宮）,0835-23-7700,,防府天満宮七夕まつり実行委員会,防府天満宮,山口県防府市松崎町14-1,,34.06335,131.57408,"・山陽自動車道防府東I.C.、防府西I.C.から車で約10分
・JR防府駅から徒歩で約20分
・JR防府駅北口「阿弥陀寺行き」バスで約4分
　→「防府天満宮」バス停で下車",あり（約500台）,,,,,https://visit-hofu.jp/event/tanabata/,
352063,1830000007,山口県,防府市,ハモフェス,ハモフェス,,2024/7/14,2024/7/14,10:00,15:00,,鱧漁の盛んな防府市でハモを楽しむ1日です。約20ｍもの巨大ハモカイトが空を舞う会場では、ハモの絵を描いて飛ばせる凧やハモバルーンのプレゼントのほか、鱧料理の振る舞いもお楽しみいただけます。,,,防府青年会議所,0835-23-2798,,防府青年会議所,道の駅潮彩市場防府,山口県防府市新築地町2-3,,34.03784,131.59726,"・山陽自動車道防府東I.C.、防府西I.C.から車で約15分
・JR防府駅南口イオンタウン防府シャトルバスで約10分
　→「イオンタウン防府」で下車、徒歩20分",あり（普通車142台、大型車8台、身障者用2台）,,,,,https://visit-hofu.jp/event/hamofesu/,
352063,1830000008,山口県,防府市,企画展『毛利のおとのさま　−激動と波乱の長州藩14代−』,キカクテン『モウリノオトノサマ　−ゲキドウトハランノチョウシュウハン14ダイ−』,,2024/7/19,2024/9/2,9:00,17:00,入館は16：30まで,関ヶ原の敗戦から出発した長州藩初代の秀就以来、毛利氏は260年の激動と波乱を乗り越えてきました。14人の藩主の肖像画とゆかりの品々から、歴代藩主の業績をたどります。,900,"・毛利博物館：大人900円、小中学生250円
・毛利氏庭園：大人500円、小中学生250円
・共通券（博物館・庭園のセット券）：大人1,200円、小中学生250円
※団体（20名以上）は1割引",（公財）毛利報公会,0835-22-0001,,（公財）毛利報公会,毛利博物館,山口県防府市多々良一丁目15-1,,34.06357,131.58737,"・山陽自動車道防府東I.C.、防府西I.C.から車で約15分
・JR防府駅北口「阿弥陀寺行き」バスで約6分
　→「毛利本邸入口」バス停で下車",あり,,,,,https://c-able.ne.jp/~mouri-m/,
352063,1830000009,山口県,防府市,夏の幸せますフェスタ2024防府おどり,ナツノシアワセマスフェスタ2024ホウフオドリ,,2024/7/27,2024/7/27,15:00,20:30,,防府の夏を代表するお祭り「防府おどり」。当日は各団体・企業によるおどりの披露のほか観客も参加して楽しめる「自由参加タイム」も行われます。,,,幸せますフェスタ実行委員会,0835-25-4547,,幸せますフェスタ実行委員会,笑顔満開通り（アスピラート・ルルサス防府）周辺,山口県防府市戎町一丁目ほか,,34.05344,131.56876,・JR防府駅,なし,,,,,https://visit-hofu.jp/event/%e5%a4%8f%e3%81%ae%e5%b9%b8%e3%81%9b%e3%81%be%e3%81%99%e3%83%95%e3%82%a7%e3%82%b9%e3%82%bf%e3%80%80%e9%98%b2%e5%ba%9c%e3%81%8a%e3%81%a9%e3%82%8a/,
352063,1830000010,山口県,防府市,うめてらす鱧まつり,ウメテラスハモマツリ,,2024/7/28,2024/7/28,10:00,15:00,,防府の夏の味覚「天神鱧」を広めるため、鱧に関するイベントを開催します。,,,防府市まちの駅うめてらす,0835-28-0500,,防府市まちの駅うめてらす,防府市まちの駅うめてらす,山口県防府市松崎町1-20,,34.06166,131.57382,"・山陽自動車道防府東I.C.、防府西I.C.から車で約10分
・JR防府駅から徒歩で約20分
・JR防府駅北口「阿弥陀寺行き」バスで約4分
　→「防府天満宮」バス停で下車",あり（普通車34台、大型バス3台）,,,,,https://visit-hofu.jp/event/hamomaturi/,
