都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
353442,1,山口県,平生町,阿多田交流館,,,,山口県熊毛郡平生町大字佐賀3900-14,,33.913162,132.056552,,,,,,,,,,,,,(0820)56-1100,,,,,
353442,2,山口県,平生町,大星山展望台,,,,山口県熊毛郡平生町大字佐賀,,33.91068,132.09583,,,,,,,,,,,,,,,,,,
353442,3,山口県,平生町,ハートランドひらおスポーツレクリエーション公園,,,,山口県熊毛郡平生町大字佐賀字成川3142,,33.909157,132.080283,,,,,,,,,,,,,(0820)56-6262,,,,,
353442,4,山口県,平生町,平生町丸山海浜パーク,,,,山口県熊毛郡平生町大字佐賀字東立崎3064-1,,33.905405,132.069888,,,,,,,,,,,,,(0820)58-1025,,,,,
353442,5,山口県,平生町,平生町民具館,,,,山口県熊毛郡平生町大字平生町193-23,,33.940347,132.074591,,,,,,,,,,,,,(0820)56-2310,,,,,
353442,6,山口県,平生町,平生町歴史民俗資料館,,,,山口県熊毛郡平生町大字193-4,,33.940445,132.074106,,,,,,,,,,,,,(0820)56-2310,,,,,
353442,7,山口県,平生町,ひらお特産品センター,,,,山口県熊毛郡平生町大字589-4,,33.942418,132.069922,,,,,,,,,,,,,(0820)56-1093,,,,,
353442,8,山口県,平生町,ひらおハートピアセンター,,,,山口県熊毛郡平生町大字佐賀807-1,,33.907411,132.078613,,,,,,,,,,,,,,,,,,
353442,9,山口県,平生町,ひらおボートパーク,,,,山口県熊毛郡平生町東水場,,33.91992,132.057931,,,,,,,,,,,,,,,,,,
353442,10,山口県,平生町,堀川公園,,,,山口県熊毛郡平生町大字193-4,,33.939943,132.073898,,,,,,,,,,,,,,,,,,
353442,11,山口県,平生町,久保白船　句碑,,,,山口県熊毛郡平生町東水場,,33.91992,132.058167,,,,,,,,,,,,,,,,,,
353442,12,山口県,平生町,神花山古墳,,,,山口県熊毛郡平生町大字佐賀1199-1,,33.910629,132.058656,,,,,,,,,,,,,,,,,,
353442,13,山口県,平生町,神峰山用明院般若寺,,,,山口県熊毛郡平生町宇佐木1166,,33.941595,132.106975,,,,,,,,,,,,,(0820)56-3636,,,,,
353442,14,山口県,平生町,石城山舎那院神護寺,,,,山口県熊毛郡平生町大字大野南1218,,33.918702,132.090898,,,,,,,,,,,,,(0820)56-5194,,,,,
353442,15,山口県,平生町,大野毛利家墓所,,,,山口県熊毛郡平生町沼,,33.948188,132.07673,,,,,,,,,,,,,,,,,,
353442,16,山口県,平生町,白鳥古墳,,,,山口県熊毛郡平生町大字佐賀字森の下上,,33.896795,132.079951,,,,,,,,,,,,,,,,,,
353442,17,山口県,平生町,万葉の歌碑,,,,山口県熊毛郡平生町尾国463-2,,33.87319,132.120614,,,,,,,,,,,,,,,,,,
353442,18,山口県,平生町,土手町南蛮樋,,,,山口県熊毛郡平生町大字平生町字土手町,,33.937186,132.072001,,,,,,,,,,,,,,,,,,
