都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
352136,0000000001,山口県,美祢市,秋吉台観光交流センター,アキヨシダイカンコウコウリュウセンター,,,山口県美祢市秋芳町秋吉3506-2,,34.223495,131.307312,月火水木金土日,08:30,20:00,,,,,,,,,,,,,,,
352136,0000000002,山口県,美祢市,美祢市観光協会,ミネシカンコウキョウカイ,,,山口県美祢市秋芳町秋吉3506-2,,34.223495,131.307312,月火水木金土日,08:30,17:00,,,,,,,,,,,,,,,
352136,0000000003,山口県,美祢市,秋芳洞案内所,アキヨシドウアンナイショ,,,山口県美祢市秋芳町秋吉3449-1,,,,月火水木金土日,08:30,17:30,12月から2月　16：30まで受付,,,閉洞時間については、最終受付の1時間後,,,,,,,,,,,
352136,0000000004,山口県,美祢市,秋吉台案内所,アキヨシダイアンナイショ,,,山口県美祢市秋芳町秋吉1237-754,,,,月火水木金土日,08:30,16:30,,,,"再入洞　16：30まで
エレベーター利用可能時間　3月から11月　16：50まで
　　　　　　　　　　　　　　　　　12月から2月　16：30まで",,,,,,,,,,,
352136,0000000005,山口県,美祢市,黒谷案内所,クロタニアンナイショ,,,山口県美祢市秋芳町秋吉1237-739,,,,月火水木金土日,08:30,16:30,,,,再入洞　16：30まで,,,,,,,,,,,
352136,0000000006,山口県,美祢市,大正洞案内所,タイショウドウアンナイショ,,,山口県美祢市美東町赤2669-1,,34.276830,131.321379,月火水木金土日,08:30,16:30,,,,,,,,,,,,,,,
352136,0000000007,山口県,美祢市,景清洞案内所,カゲキヨドウアンナイショ,,,山口県美祢市美東町赤3248,,34.289588,131.326011,月火水木金土日,08:30,16:30,,,,,,,,,,,,,,,
352136,0000000008,山口県,美祢市,景清洞トロン温泉,カゲキヨドウトロンオンセン,,,山口県美祢市美東町赤3108,,34.288409,131.325375,月火水木金土日,10:00,21:00,"4月から10月　第1.3月曜日
11月から3月　毎週月曜日",,,受付時間は20：00まで,,,,,,,,,,,
352136,0000000009,山口県,美祢市,秋吉台オートキャンプ場,アキヨシダイオートキャンプジョウ,,,山口県美祢市美東町赤3098-1,,,,月火水木金土日,,,"入退場受付　9：00から17：30
貸出窓口　　 9：00から20：00
最終受付　 18：00まで",,,"オート・テントキャンプ　チェックイン15：00　チェックアウト翌日13：00
ケビン・ログハウス　　　チェックイン15：00　チェックアウト翌日13：00
デーキャンプ利用時間　9：00から17：00",,,,,,,,,,,
352136,0000000010,山口県,美祢市,秋吉台グラウンドゴルフ場,アキヨシダイグラウンドゴルフジョウ,,,山口県美祢市美東町赤3107-2（景清洞コース）,,,,月火水木金土日,08:15,17:00,,,,営業終了時間については、日没まで,,,,,,,,,,,
352136,0000000011,山口県,美祢市,秋吉台グラウンドゴルフ場,アキヨシダイグラウンドゴルフジョウ,,,山口県美祢市美東町赤2368-1（大正洞コース）,,34.276410,131.322522,月火水木金土日,08:30,16:30,,,,,,,,,,,,,,,
352136,0000000012,山口県,美祢市,美祢市養鱒場,ミネシヨウソンジョウ,,,山口県美祢市秋芳町別府1951-2,,,,月火水木金土日,09:00,16:00,,,,釣堀については17：00まで利用可能,,,,,,,,,,,
352136,0000000013,山口県,美祢市,秋芳名水特産品直売所,シュウホウメイスイトクサンヒンチョクバイショ,,,山口県美祢市秋芳町別府1595-1,,,,,,,,,,不定休　要確認,,,,,,,,,,,
352136,0000000014,山口県,美祢市,秋芳名水ふれあい広場,シュウホウメイスイフレアイヒロバ,,,山口県美祢市秋芳町別府1598-1,,,,,,,,,,不定休　要確認,,,,,,,,,,,
352136,0000000015,山口県,美祢市,秋吉台家族旅行村,アキヨシダイカゾクリョコウムラ,,,山口県美祢市秋芳町秋吉1237-553,,34.234925,131.292878,月火水木金土日,,,予約受付時間　8：30から17：00,,,"キャンプ　　　　　　　　　チェックイン14：00　チェックアウト翌日10：00
ケビン、ログハウス　　　 チェックイン16：00　チェックアウト翌日10：00
デーキャンプ利用時間　9：00から16：00",,,,,,,,,,,
352136,0000000016,山口県,美祢市,桂木山麓緑地自然公園村,カツラギサンロクリョクチシゼンコウエンムラ,,,山口県美祢市秋芳町嘉万72,,,,,,,,,,,,,,,,,,,,,
