都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考
350001,3500151001,山口県,,秋の遊覧船「もみじ舟」,アキノユウランセン「モミジブネ」,,2021-09-11,2021-09-30,,,"2021年09月11日～2021年09月30日
2021年11月01日～2021年11月30日
","錦帯橋周辺は紅葉の美しいところ。
紅葉に彩られた錦帯橋を遊覧船から堪能します。
澄み切った青空の下、屋形船に揺られ眺める彩りの川面と錦帯橋。
美しい水上散策にお出かけください。
",,"［貸切］
11:00～14:00の間、貸切船運航可（5日前までに要予約、4名以上から）
大人（中学生以上）1,200円/時間、小人600円/時間
貸切は飲食の持込み可、弁当の予約可能（別途料金）
荒天時、河川の増水時には運休となる場合あり
",（一社）岩国市観光協会　鵜飼事務所,0827-28-2877,,,"錦帯橋周辺
",山口県岩国市錦帯橋遊覧船乗場,,34.170242,132.188629,"(1) ＪＲ山陽本線「岩国駅」からバスで約20分 → 「錦帯橋」バス停から徒歩で約5分
",,,,,,,
350001,3500151002,山口県,,秋の遊覧船「喫茶舟」,アキノユウランセンキッサブネ,,2021-09-11,2021-09-30,13:00,13:45,"2021年09月11日～2021年09月30日　13時00分～13時45分
2021年11月01日～2021年11月30日
","美味しいお菓子とお茶を楽しみながら、のんびりと遊覧を楽しめます。乗船者には、船上の喫茶店で優雅なひとときをお楽しみください。
",,,（一社）岩国市観光協会鵜飼事務所,0827-28-2877,,,"遊覧船乗場
",山口県岩国市横山2丁目,,34.170841,132.176147,"(1) JR岩国駅からバスで20分（錦帯橋バス停下車,
徒歩約5分）
(2) 山陽自動車岩国ICから車で約15分
",,,,,,,
350001,3500151003,山口県,,生見八幡宮　秋祭年祭奉納神楽,イキミハチマングウ　アキマツリネンサイホウノウカグラ,,2021-10-23,2021-10-23,,,,"県無形民俗文化財「山代白羽神楽保存会」による奉納神楽。江戸時代中期にはすでに舞われていたとされる伝統的な神楽舞。
各地域からの提灯行列の奉納の後、神楽が開始されます。
【演目】湯立神楽・煤掃き・恵比須・芝鬼神・天の磐戸・鵺退治・大江山・八岐乃遠呂智
",,,金山神楽保存会（谷口）,090-8062-7358,,,"生見八幡宮
",山口県岩国市美和町生見金山,,34.247898,132.086365,"(1) 岩国市美和総合支所から車で10分
",,,,,,,
350001,3500151004,山口県,,岩国城ロープウエー観月運転,イワクニジョウロープウエーカンゲツウンテン,,2021-09-21,2021-09-21,,,,"城山山頂から中秋の名月を楽しむことができます。年に一度の夜間運行となり、岩国市内の夜景も見どころです。
(天候により中止することもあります）
",,,錦川鉄道株式会社,0827-41-1477,,,"岩国城ロープウェー山頂駅広場
",山口県岩国市横山2丁目,,34.170841,132.176147,"(1) ＪＲ山陽本線岩国駅からバスで20分 → バス停から徒歩で10分
(2) ＪＲ山陽新幹線新岩国駅からバスで15分 → バス停から徒歩で10分
(3) 山陽自動車道岩国ＩＣから車で10分
",,,,,,,
350001,3500151005,山口県,,岩国城ロープウエー元日早朝運転,イワクニジョウロープウエーガンジツソウチョウウンテン,,2022-01-01,2022-01-01,,,,"早朝６時３０分よりロープウエーが運行されます。
",,,錦川鉄道㈱岩国管理所,0827-41-1477,,,"岩国城ロープウエー
",山口県岩国市横山岩国城ロープウエー,,34.166225,132.171951,"(1) ＪＲ山陽本線岩国駅からバスで20分 → バス停から徒歩で7分
(2) ＪＲ新岩国駅からバスで15分 → バス停から徒歩で7分
(3) 山陽自動車道岩国ＩＣから車で10分
",,,,,,,
350001,3500151006,山口県,,岩国藩鉄砲隊初放し,イワクニハンテッポウタイハツハナシ,,2022-01-01,2022-01-01,,,,"石田流の流れをくむ岩国藩鉄砲隊が元日に錦帯橋下河原にて初撃ちを行います。
",,,岩国市観光振興課,0827-29-5116,,,"錦帯橋周辺
",山口県岩国市錦帯橋下河原,,34.170242,132.188629,"(1) 山陽自動車道岩国ＩＣから車で7分
(2) ＪＲ山陽本線岩国駅からバスで20分（「錦帯橋」下車）
(3) ＪＲ山陽新幹線新岩国駅からバスで15分（「錦帯橋」下車）
",,,,,,,
350001,3500151007,山口県,,岩国祭,イワクニマツリ,,2021-10-中旬,2021-10-中旬,,,,"吹奏楽パレード、岩国ばやし総踊り行進、白蛇ご神幸、山車パレード、芸能大会など催し物がたくさんあります。 

",,,岩国商工会議所,0827-21-4201,,,"岩国駅周辺
",山口県岩国市JR山陽本線岩国駅前,,34.166595,132.218842,"(1) 山陽自動車道岩国ＩＣから車で20分
(2) ＪＲ山陽本線岩国駅から徒歩で5分
",,,,,,,
350001,3500151008,山口県,,甲冑体験,カッチュウタイケン,,2021-10-上旬,2022-03-下旬,,,,"岩国藩鉄砲隊保存会が所有している、甲冑を身につけて記念撮影ができます。
",,,岩国市観光交流所「本家松がね」,0827-28-6600,,,,山口県岩国市岩国1-7-3,,34.166218,132.179245,"(1) JR岩国駅からバスで約20分 → 「錦帯橋」下車から徒歩で約5分
",,,,,,,
350001,3500151009,山口県,,神々の里沼田ふれあいまつり,カミガミノサトヌダフレアイマツリ,,2021-10-24,2021-10-24,,,,"特産品販売、神楽、他が開催されます。
",,,沼田ふれあいまつり実行委員会,080-2907-3089,,,"沼田地区一円
",山口県岩国市錦町須川（沼田地区）,,34.344379,132.005463,"(1) 錦川清流線錦町駅から車で30分
",,,,,,,
350001,3500151010,山口県,,錦帯橋鵜飼　ゆかたDAY,キンタイキョウウカイ　ユカタデイ,,2021-06-上旬,2021-08-下旬,,,,"毎年、6月1日～9月10日に行われている錦帯橋のう飼の内、
ゆかたDAY開催日にゆかた（和装）で乗船していただいた方は、特別料金でご乗船いただけます。※荒天時、錦川増水時は中止

・ゆかた（和装）でお越しの方
　参加料３，０００円（税込）　（乗船料・お弁当・お茶）
・ゆかたを持参の方
　参加料４，０００円（税込）　（乗船料・着付け代・お弁当・お茶）
・レンタルゆかたをご利用の方（各日30名）
　参加料５，０００円（税込）　
　　（乗船料・レンタルゆかた（着付け代含む）・お弁当・お茶）

木造の錦帯橋の下で行われる伝統行事である鵜飼をゆかた（和装）で遊覧船に乗り観賞する事により、タイムスリップしたような情緒あふれる素敵な時間を過ごしていただきます。
",,,（一社）　岩国市観光協会　鵜飼事務所,0827-28-2877,,,"錦帯橋上流
",山口県岩国市岩国１丁目（錦帯橋上流）,,34.165962,132.179688,"(1) JR岩国駅からバスで約20分
(2) 岩国ICから車で約10分
",,,,,,,
