都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
350001,3500150001,山口県,,下関港国際ターミナル観光案内所,シモノセキコウコクサイターミナルカンコウアンナイショ,,,山口県下関市東大和町1-10-60,,33.948006,130.926392,,08:00,11:00,●休業日　入港時のみ開設,,,,,,,,下関港国際ターミナル観光案内所,083-235-6052,,,,,
350001,3500150002,山口県,,六連島の雲母玄武岩,ムツレジマノウンモゲンブガン,,,山口県下関市六連島字辻,,33.975601,130.863251,,,,,,,六連島は下関漁港の西方4km、響灘（ひびきなだ）に浮かぶ小島です。玄武（げんぶ）岩は黒っぽい色をした火山岩。島の中央、小高い所にある玄武岩は濃い灰色で、たくさんの小さな穴が開いていて、その中に、きらきら光るこげ茶色のうすいクロウンモがあります。玄武岩の中にクロウンモが形成されることは珍しいことです。,,・下関市竹崎港から船で20分(夏期は特別便あり),,,下関市教育委員会,083-231-4691,,,,,
350001,3500150003,山口県,,彦島西山の化石層,ヒコシマニシヤマノカセキソウ,,,山口県下関市彦島西山海岸,,33.940857,130.888763,,,,,,,約2500万年前の２枚貝や巻貝，ウニなど貝化石が密集しており大規模なものである。,,・ＪＲ山陽本線下関駅からバスで20分,,,下関市教育委員会,083-231-4691,,,,,
350001,3500150004,山口県,,綾羅木郷遺跡,アヤラギゴウイセキ,,,山口県下関市大字綾羅木,,34.013145,130.930161,,,,,,,"綾羅木郷遺跡は、本州西端の響灘に面する地域にあり、北九州とともに弥生時代の中心地域でした｡
発掘調査により、竪穴住居跡や袋状竪穴群が発見されています。
また、遺物として、弥生時代前期前半の土器や多くの石器などが発見されています。
",,・ＪＲ山陰本線「梶栗郷台地駅」から徒歩で5分,,,下関市立考古博物館,083-254-3061,,,,,
350001,3500150005,山口県,,忌宮神社,イミノミヤジンジャ,,,山口県下関市長府宮の内町1-18,,33.998329,130.987549,,08:30,16:00,●休館日　12/8～12/14,,●料金　志納,"神功皇后が、西国平定のためこの地に豊浦宮を設けられた跡といわれ、祭神は、仲哀天皇・神功皇后・応神天皇を祀っています。
この社の夏祭として８月７日から１週間くりひろげられる数方庭祭は天下の奇祭として有名です。
また境内には数多くの文化財を所蔵する宝物館や、蚕が初めて日本に渡来した地としての記念碑等があります。
見学自由。",,"・ＪＲ山陽本線長府駅からバスで10分→「城下町長府」バス停から徒歩で5分
・JR下関駅からバスで23分→「城下町長府」バス停下車から徒歩で5分
・中国自動車道　下関ICから車で20分",,,忌宮神社,083-245-1093,,,,,
350001,3500150006,山口県,,覚苑寺,カクオンジ,,,山口県下関市長府安養寺3-3-8,,34.000114,130.982849,,,,,,,"長府毛利藩三代の藩主綱元が建立したお寺で、毛利家の菩提寺の一つです。
また、付近一帯は日本で最も古い貨幣の和同開珎を造った長門鋳銭所の跡で、出土資料は下関市立歴史博物館に所蔵しています。
境内には、明治時代の武人である乃木希典像と日本画家である狩野芳崖像があり、和同焼の窯元もあります。
紅葉の名所です。
見学自由。",,"・ＪＲ山陽本線長府駅からバスで10分→「城下町長府」バス停から徒歩で15分
・JR下関駅からバスで23分→「城下町長府」バス停から徒歩で15分",,,覚苑寺,083-245-649,,,,,
350001,3500150007,山口県,,赤間神宮,アカマジングウ,,,山口県下関市阿弥陀寺町4-1,,33.959686,130.94841,,09:00,17:00,,,"【宝物殿見学】
●料金　100円","源平壇ノ浦の合戦において、二位の尼に抱かれて入水された幼帝安徳天皇を祀った神社。関門海峡を臨み、白壁に朱塗の水天門があります。境内には、平家一門の墓、小泉八雲の怪談で有名な耳なし芳一の芳一堂や、貴重な資料を展示した宝物殿などもあります。
毎年５月３日には、上臈参拝で有名な先帝祭のメイン会場となります。また、夜はライトアップされます。
参拝自由。",,"・ＪＲ山陽本線下関駅からバスで10分
・ＪＲ山陽新幹線新下関駅からバスで30分
・中国自動車道　下関ICから車で13分",,,赤間神宮,083-231-4138,,,,,
350001,3500150008,山口県,,功山寺,コウザンジ,,,山口県下関市長府川端1丁目2-3,,33.995663,130.983353,,09:00,17:00,,,"【書院見学】
●拝観料　　大人300円　中・高生100円　小学生以下無料","後醍醐天皇の嘉暦2年（1327）に開山された名寺。
わが国最古の禅寺様式を残した仏殿は、鎌倉時代の様式である唐様建築の典型的遺構。
昭和28年国宝に指定されました。
春は桜、秋は紅葉が美しい。
高杉晋作が挙兵した寺としても知られ、境内には馬上姿の晋作の銅像もあります。
境内は見学自由です。
",,"・ＪＲ山陽本線長府駅からバスで10分→「城下町長府」バス停から徒歩で10分
・JR下関駅からバスで23分→「城下町長府」バス停から徒歩で10分
・中国自動車道　下関ICから車で15分",,,功山寺,083-245-258,,,,,
350001,3500150009,山口県,,住吉神社,スミヨシジンジャ,,,山口県下関市一の宮住吉1丁目11-1,,33.999699,130.956863,,09:00,16:00,●休館日　年末年始、5月の第3日曜日、9/23、12/8～15,,"【宝物館見学】
●料金　大人300円、小人150円","現在の本殿は応安3年（1370）大内弘世の造進したもので、室町初期の社寺建築として特異な様式をもち、国宝に指定されている。また、拝殿は毛利元就が寄進したもので重要文化財。宝物館には多数の宝物が展示されている。
参拝自由。",,"・ＪＲ新下関駅からバスで5分→「一の宮」バス停から徒歩で5分
・中国自動車道　下関ICから車で10分",,,住吉神社,083-256-2656,,,,,
350001,3500150010,山口県,,乃木神社,ノギジンジャ,,,山口県下関市長府宮の内町3-8,,33.99976,130.986588,,09:00,17:00,（荒天時　休館）,,"【宝物館見学】
●料金　志納","乃木神社は、明治の軍人乃木希典を祀ってあり、社は台湾阿里山のひのき材を用いた極く簡素なものです。
境内には乃木大将が幼年時代を過した家が復元され、ゆかりの品を展示する宝物館などもあります。
参拝自由。",,"・ＪＲ山陽本線長府駅からバスで10分→「城下町長府」バス停から徒歩で7分
・下関ICから車で20分
・JR下関駅からバスで23分→「城下町長府」バス停から徒歩で7分",,,乃木神社,083-245-252,,,,,
350001,3500150011,山口県,,関門トンネル,カンモントンネル,,,山口県下関市みもすそ川町,,33.968491,130.956985,,06:00,22:00,関門トンネル人道,,"関門トンネル人道
●通行料　　歩行者無料、自転車・原付は20円
●通行時間　6:00～22:00

関門国道トンネル
●通行料　普通車150円","九州と本州を結ぶ海底トンネル。昭和11年に着工したが、戦争のため一時中断され、昭和33年3月に完成した。全長3,461ｍで上部が車道、下部が人道（780ｍ）に分かれ世界に類を見ない二階建て海底トンネルである。",,"・ＪＲ下関駅からバスで12分→「御裳川」バス停から徒歩で0分(関門トンネル人道入口)
・JR新下関駅からバスで27分→「御裳川」バス停から徒歩で0分(関門トンネル人道入口)",,,西日本高速道路北九州高速道路事務所,093-618-3141,,,,,
350001,3500150012,山口県,,関門橋,カンモンキョウ,,,山口県下関市みもすそ川町,,33.968491,130.956985,,,,,,,"関門橋は、橋塔間712ｍ、橋台間の吊橋の全長1,068ｍ、幅6車線の東洋有数の規模の吊橋です。
また、海面から橋げたまでの高さは満潮時で61ｍあり、関門海峡を通過する大型船舶が余裕をもって航行できるようになっています。
夜間はライトアップされます。",,"・JR下関駅からバスで12分→「御裳川」バス停から徒歩で0分(みもすそ川公園)
・JR新下関駅からバスで27分→「御裳川」バス停から徒歩で0分(みもすそ川公園)",,,西日本高速道路北九州高速道路事務所,093-618-3141,,,,,
350001,3500150013,山口県,,中山忠光墓,ナカヤマタダミツハカ,,,山口県下関市綾羅木本町7丁目10-8,,34.006485,130.918396,,,,,,,"中山忠光は、もともと孝明天皇につかえていた公家でした。
幕末には、尊王攘夷派として活動し、武力によって幕府を倒そうとする天誅組の首領になりましたが、その戦いに敗れて長州へ逃げ、1864年（元治1）に暗殺されました。
墓は、忠光を祀ってある中山神社境内にあります。
慶応元年（1865）に建てられ、高さは1.7ｍ、花崗岩でできています。
",,・ＪＲ山陰本線「綾羅木」駅から徒歩で10分,,,中山神社,083-253-704,,,,,
350001,3500150014,山口県,,長門鋳銭所跡,ナガトチュウゼンショアト,,,山口県下関市長府安養寺三丁目3-10,,34.000103,130.982635,,,,,,,"長門鋳銭所跡は、覚苑寺境内一帯と考えられ、奈良・平安時代に銭貨の鋳造を行った所です。
長門国衙に付設され、その開設は和同年間（708～715）で、史跡地内からは、708年(和銅1)から鋳造が開始された貨幣である和同開珎１枚と、それを作ったときの型、るつぼや鞴口などが出土しており、これも長門国鋳銭遺物として国の重要文化財に指定されています。
天長２年（825）に廃止となりました。
",,"・ＪＲ長府駅からバスで10分→「城下町長府」バス停から徒歩で15分
・JR下関駅からバスで23分→「城下町長府」バス停から徒歩で15分
・中国自動車道下関I.Cから車で20分",,,下関市観光政策課,083-231-1350,,,,,
350001,3500150015,山口県,,高杉晋作墓,タカスギシンサクハカ,,,山口県下関市大字吉田町1184,,34.088898,131.063248,,,,,,,"高杉晋作は松下村塾門下の逸材。
墓は吉田町南方の小丘清水山にあり、墓碑表面には「東行墓」と刻まれています。
この地を選んだのは彼の遺言だといわれています。
",,"・ＪＲ山陽本線小月駅からバスで14分→「東行庵入口」バス停から徒歩で5分
・中国自動車道小月I.Cから車で10分",,,東行記念館,083-284-212,,,,,
