全国地方公共団体コード,法人番号,ID,地方公共団体名,イベント名,言語コード,イベント通称,サブタイトル,イベント名_カナ,イベント名_英語,コンテンツURL,状態,キーワード,タグ,対象となる産業,開催パターン,開始日,終了日,開始時間,終了時間,開始日時特記事項,所要時間,掲載開始日,掲載終了日,概要,説明,サブイベント,イベント種類,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,共催団体,関連組織,対象者,対象者備考,場所名称,集合（受付）場所,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,アクセス方法,駐車場情報,駐輪場情報,Web開催,Web開催URL,ツール・環境,定員,定員備考,料金種別,決済種別,外国語対応,外国語対応備考,開催条件,参加申込終了日,参加申込終了時間,参加申込方法,申込開始日,申込開始時刻,申込URL,URL,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,画像,画像_ライセンス,備考
352071,,KD0001200001,山口県下松市,大黒市,ja,,,ダイコクイチ,,,,,,,,1月7日(火),,,,,,,,,七草粥・甘酒接待、大黒くじ、ミニコンサート、力自慢米担ぎ大会、もちまき,,,,,妙見宮鷲頭寺,41-1345,,妙見宮鷲頭寺,,,,,妙見宮鷲頭寺,,352071,,下松市中市1丁目10-15,山口県,下松市,中市1丁目,10-15,,34.0113273,131.8645761,下松駅から徒歩5分,,,,,,,,,,,,,,,,,,,https://kudamatsu-kanko.jp/daikokuichi/,,,,,,,,
352071,,KD0001200002,山口県下松市,七草がゆの会,ja,,,ナナクサガユノカイ,,,,,,,,1月7日(火),,,,,,,,,七草粥接待（200杯）,,,,,花岡八幡宮,44-8570,,花岡八幡宮,,,,,花岡八幡宮,,352071,,下松市大字末武上戎町400,山口県,下松市,大字末武上戎町,400,,34.0393078,131.8722228,花岡駅から徒歩10分,,,,,,,,,,,,,,,,,,,https://kudamatsu-kanko.jp/nanakusa/,,,,,,,,
352071,,KD0001200003,山口県下松市,金輪神社どんど焼き,ja,,,カナワジンジャドンドヤキ,,,,,,,,1月13日(祝)(月),,,,,,,,,どんど焼き、無病息災、雑煮・お餅のふるまい、福引、餅つき大会,,,,,金輪神社奉賛会,41-4355(会長),,金輪神社奉賛会,,,,,金輪神社,,352071,,下松市北斗町11,山口県,下松市,北斗町,11,,34.0093096,131.869139,下松駅から徒歩1分,,,,,,,,,,,,,,,,,,,https://kudamatsu-kanko.jp/kanawa-dondo/,,,,,,,,
352071,,KD0001200004,山口県下松市,節分祭,ja,,,セツブンサイ,,,,,,,,2月2日(日),,,,,,,,,厄除け祈願、豆まき、もちまき,,,,,花岡八幡宮,44-8570,,花岡八幡宮,,,,,花岡八幡宮,,352071,,下松市大字末武上戎町400,山口県,下松市,大字末武上戎町,400,,34.0393078,131.8722228,花岡駅から徒歩10分,,,,,,,,,,,,,,,,,,,https://kudamatsu-kanko.jp/setsubun-myoukengu/,,,,,,,,
352071,,KD0001200005,山口県下松市,節分祭,ja,,,セツブンサイ,,,,,,,,2月2日(日),,,,,,,,,厄除け祈願・豆まき,,,,,降松神社,41-0544,,降松神社,,,,,降松神社,,352071,,下松市大字河内1984,山口県,下松市,大字河内,1984,,34.0191965,131.8844538,下松駅から車で15分,,,,,,,,,,,,,,,,,,,https://kudamatsu-kanko.jp/setsubun-kudamatsu/,,,,,,,,
352071,,KD0001200006,山口県下松市,節分祭,ja,,,セツブンサイ,,,,,,,,2月2日(日),,,,,,,,,厄除け祈願、豆まき、もちまき、鬼に扮した年男による町内まわり,,,,,妙見宮鷲頭寺,41-1345,,妙見宮鷲頭寺,,,,,妙見宮鷲頭寺,,352071,,下松市中市1丁目10-15,山口県,下松市,中市1丁目,10-15,,34.0113273,131.8645761,下松駅から徒歩5分,,,,,,,,,,,,,,,,,,,https://kudamatsu-kanko.jp/setsubun-myoukengu/,,,,,,,,
352071,,KD0001200007,山口県下松市,くだまつ笠戸島アイランドトレイル,ja,,,クダマツカサドジマアイランドトレイル,,,,,,,,2月2日(日),,,,,,,,,笠戸島のハイキングコースで開催されるトレイルランニング大会,,,,,下松商工会議所,41-1070,,くだまつ笠戸島アイランドトレイル実行委員会,,,,,笠戸島（国民宿舎大城スタート・ゴール）,,352071,,下松市大字笠戸島10014-1,山口県,下松市,大字笠戸島,10014-1,,33.9681499,131.84488,下松駅から車で15分,,,,,,,,,,,,,,,,,,,https://kudamatsu-kanko.jp/islandtrail/,,,,,,,,
352071,,KD0001200008,山口県下松市,笠戸島河津桜まつり,ja,,,カサドジマカワヅザクラマツリ,,,,,,,,2月22日(土),3月9日(日),,,,,,,,ぜんざいのふるまい、抽選会、各種出店,,,,,下松市観光協会,45-6911,,下松市観光協会,,,,,潮風ガーデン,,352071,,下松市大字笠戸島10014-1,山口県,下松市,大字笠戸島,,,33.9681499,131.84488,下松駅から車で15分,,,,,,,,,,,,,,,,,,,https://kudamatsu-kanko.jp/kawaduzakura-fes/,,,,,,,,
352071,,KD0001200009,山口県下松市,米川花まつり,ja,,,ヨネガワハナマツリ,,,,,,,,未定,,,,,,,,,各種バザー,,,,,米川公民館,53-0001,,米川公民館,,,,,米泉湖公園,,352071,,下松市大字瀬戸,山口県,下松市,大字瀬戸,,,34.060019,131.8780381,花岡駅から車で10分,,,,,,,,,,,,,,,,,,,https://kudamatsu-kanko.jp/news/%e7%b1%b3%e5%b7%9d%e8%8a%b1%e3%81%be%e3%81%a4%e3%82%8a/,,,,,,,,
352071,,KD0001200010,山口県下松市,春季例大祭,ja,,,シュンキレイタイサイ,,,,,,,,4月13日(日),,,,,,,,,福引、奉納相撲,,,,,降松神社,41-0544,,降松神社,,,,,降松神社,,352071,,下松市大字河内1984,山口県,下松市,大字河内,1984,,34.0191965,131.8844538,下松駅から車で15分,,,,,,,,,,,,,,,,,,,https://kudamatsujinja.net/event/,,,,,,,,
