全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,POIコード,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,画像,画像_ライセンス,URL,備考,
352071,,KD0001100001,山口県下松市,滝ノ口河川公園,タキノクチカセンコウエン,,,352071,,下松市大字下谷字滝ノ口,山口県,下松市,大字下谷字滝ノ口,,,34.08737279999999,131.8923309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440271,,,https://kudamatsu-kanko.jp/takinouchi/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100002,山口県下松市,温見ダム,ヌクミダム,,,352071,,下松市大字温見338,山口県,下松市,大字温見,338,,34.08609469999999,131.9013432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440274,,,https://yamaguchi-tourism.jp/spot/detail_11104.html,下松観光ガイドブック「観光マップ」,
352071,,KD0001100003,山口県下松市,旧内藤家屋敷跡,キュウナイトウケヤシキアト,,,352071,,下松市大字瀬戸1091,山口県,下松市,大字瀬戸,1091,,34.077883,131.8899144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440273,,,https://yamaguchi-tourism.jp/spot/detail_17741.html,下松観光ガイドブック「観光マップ」,
352071,,KD0001100004,山口県下松市,大将軍山,ダイショウグンヤマ,,,352071,,下松市大字瀬戸414,山口県,下松市,大字瀬戸,414,,34.064958,131.881176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440273,,,,下松観光ガイドブック「観光マップ」,
352071,,KD0001100005,山口県下松市,さくらの丘,サクラノオカ,,,352071,,下松市大字瀬戸,山口県,下松市,大字瀬戸,,,34.0625005,131.880426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440273,,,,下松観光ガイドブック「観光マップ」,
352071,,KD0001100006,山口県下松市,米泉湖ビッグウィング,ベイセンコビッグウィング,,,352071,,下松市大字瀬戸,山口県,下松市,大字瀬戸,,,34.0612492,131.8785832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440273,,,https://kudamatsu-kanko.jp/beisenko/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100007,山口県下松市,米泉湖公園（末武川ダム）,ベイセンココウエン（スエタケガワダム）,,,352071,,下松市大字瀬戸,山口県,下松市,大字瀬戸,,,34.060019,131.8780381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440273,,,https://kudamatsu-kanko.jp/beisenko/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100008,山口県下松市,記念の杜・しだれ桜,キネンノモリ・シダレザクラ,,,352071,,下松市大字末武上137-9,山口県,下松市,大字末武上,137-9,,34.0430059,131.8759604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440024,,,https://www.city.kudamatsu.lg.jp/toshiseibi/kinennnomori.html,下松観光ガイドブック「観光マップ」,
352071,,KD0001100009,山口県下松市,下松SA(上り),クダマツＳＡ,,,352071,,下松市大字切山1476,山口県,下松市,大字切山,1476,,34.0429111,131.9161097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440042,,,https://www.w-holdings.co.jp/sapa/2294.html,下松観光ガイドブック「観光マップ」,
352071,,KD0001100010,山口県下松市,花岡八幡宮,ハナオカハチマングウ,,,352071,,下松市大字末武上戎町400,山口県,下松市,大字末武上戎町,400,,34.0393078,131.8722228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440024,,,https://yamaguchi-tourism.jp/spot/detail_11109.html,下松観光ガイドブック「観光マップ」,
352071,,KD0001100011,山口県下松市,閼伽井坊多宝塔,アカイボウタホウトウ,,,352071,,下松市大字末武上戎町400,山口県,下松市,大字末武上戎町,400,,34.0386837,131.8721338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440024,,,https://yamaguchi-tourism.jp/spot/detail_11185.html,下松観光ガイドブック「観光マップ」,
352071,,KD0001100012,山口県下松市,金分銅酒造(株),キンフンドウシュゾウ,,,352071,,下松市大字末武上1202,山口県,下松市,大字末武上,1202,,34.0373338,131.8719883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440024,,,http://ww52.tiki.ne.jp/~kinfundou-sa/index.html,下松観光ガイドブック「観光マップ」,
352071,,KD0001100013,山口県下松市,法静寺,ホウショウジ,,,352071,,下松市大字末武上1224,山口県,下松市,大字末武上,1224,,34.037032,131.87332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440024,,,,下松観光ガイドブック「観光マップ」,
352071,,KD0001100014,山口県下松市,周防花岡駅,スオウハナオカエキ,,,352071,,下松市大字末武上1900,山口県,下松市,大字末武上,1900,,34.0359069,131.8677916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440027,,,https://www.jr-odekake.net/eki/top?id=0801810,下松観光ガイドブック「観光マップ」,
