全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,男性トイレ内の乳幼児用座椅子数,男性トイレ内の乳幼児用簡易ベッド数,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,女性トイレ内の乳幼児用座椅子数,女性トイレ内の乳幼児用簡易ベッド数,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,男女共用トイレ内の乳幼児用座椅子数,男女共用トイレ内の乳幼児用簡易ベッド数,バリアフリー（多目的）トイレ数,バリアフリー（多目的）トイレ内の乳幼児用座椅子数,バリアフリー（多目的）トイレ内の乳幼児用簡易ベッド数,バリアフリー（多目的）トイレ内の簡易ベッド数（乳幼児大人兼用）,バリアフリー（多目的）トイレ内の簡易着替え台数,車椅子使用者用トイレ数,乳幼児用設備設置トイレ有無,オストメイト設置トイレ数,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
352152,PTOKANKO0001,山口県周南市,長野山緑地等使用施設,ナガノヤマリョクチトウシヨウシセツ,,352152,,山口県周南市大字鹿野上字水ヶ浴,山口県,周南市,大字鹿野上字水ヶ浴,,,山頂部分,34.275046,131.879169,階数,1,3 ,2 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,無,0 ,,,,,,
352152,PTOKANKO0002,山口県周南市,東善寺やすらぎの里,トウゼンジヤスラギノサト,,352152,,山口県周南市小松原1706-1,山口県,周南市,小松原,1706-1,,施設外公園内,34.032943,131.993908,階数,1,2 ,2 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,無,0 ,,,,,,
352152,PTOKANKO0003,山口県周南市,大津島公園,オオヅシマコウエン,,352152,,山口県周南市大津島　馬島,山口県,周南市,大津島　馬島,,,公園内,33.989925,131.719957,階数,1,2 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,無,0 ,,,,,,
352152,PTOKANKO0004,山口県周南市,瀬戸内海国立公園　太華山,セトナイカイコクリツコウエン　タイカザン,,352152,,山口県周南市栗屋,山口県,周南市,栗屋,,,登山道入り口,34.01913,131.82352,階数,1,3 ,2 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,無,0 ,,,,,,
352152,PTOKANKO0004,山口県周南市,瀬戸内海国立公園　太華山 山頂駐車場,セトナイカイコクリツコウエン　タイカザン,,352152,,山口県周南市栗屋,山口県,周南市,栗屋,,,山頂駐車場,34.009193,131.818073,階数,1,3 ,2 ,1 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,無,0 ,,,,,,
352152,PTOKANKO0005,山口県周南市,湯野観音岳,ユノカンノンダケ,,352152,,山口県周南市湯野,山口県,周南市,湯野,,,駐車場,34.106361,131.679928,階数,1,3 ,2 ,1 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,無,0 ,,,,,,
352152,PTOKANKO0006,山口県周南市,黒岩峡,クロイワキョウ,,352152,,山口県周南市小松原,山口県,周南市,小松原,,,黒岩峡内,34.049172,132.012126,階数,1,1 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,無,0 ,,,,,,
352152,PTOKANKO0007,山口県周南市,もみじ小屋,モミジゴヤ,,352152,,山口県周南市高瀬,山口県,周南市,高瀬,,,高瀬峡　途中,34.166348,131.760484,階数,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,無,0 ,,,,,,
352152,PTOKANKO0008,山口県周南市,（旧）刈尾海水浴場,カリオカイスイヨクジョウ,,352152,,山口県周南市大津島1355,山口県,周南市,大津島,1355,,公園内,34.014537,131.710677,階数,1,3 ,2 ,0 ,1 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,無,0 ,,,,,,
352152,PTOKANKO0009,山口県周南市,菅野公園,スガノコウエン,,352152,,山口県周南市中須北,山口県,周南市,中須北,,,公園内,34.142925,131.904327,階数,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,無,0 ,,,,,,
352152,PTOKANKO0010,山口県周南市,千石岳,センゴクダケ,,352152,,山口県周南市,山口県,周南市,,,,駐車場,34.186129,131.759402,階数,1,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,無,0 ,,,,,,
352152,PTOKANKO0011,山口県周南市,中ノ島公園,ナカノシマコウエン,,352152,,山口県周南市須々万奥,山口県,周南市,須々万奥,,,公園内,34.131779,131.898615,階数,1,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,無,0 ,,,,,,
352152,PTOKANKO0012,山口県周南市,若山公園,ワカヤマコウエン,,352152,,山口県周南市福川,山口県,周南市,福川,,,若山城跡,34.08436,131.727751,階数,1,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,無,0 ,,,,,,
