全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,POIコード,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,画像,画像_ライセンス,URL,備考
352152,,TNK000000001,山口県周南市,周南市回天記念館,カイテンキネンカン,Kaiten Memorial Museum,803,352152,,山口県周南市大字大津島1960,山口県,周南市,大字大津島,1960,,33.99337,131.71745,階数,1,月火木金土日,8:30,16:30,水曜日が祝日の場合利用可、その場合翌日休館。年末年始休館,310 ,大人310円、18歳以下無料,人間魚雷「回天」にまつわる遺品等の展示や、歴史や時代背景、当時の生活などをパネル展示し、平和の尊さを今に伝えます。,,刈尾港から徒歩15分,,,,,,,,,,,,,,,,,,,周南市回天記念館,0834-85-2310,,,,,,,,https://www.city.shunan.lg.jp/site/kaiten/,
352152,,TNK000000002,山口県周南市,周南市徳山動物園,トクヤマドウブツエン,Tokuyama Zoo,804,352152,,山口県周南市大字徳山5846,山口県,周南市,大字徳山,5846,,34.06128,131.81509,,,月水木金土日,9:00,"17:00
夏時間（3月1日～10月19日）

16:00
冬時間（10月20日～2月末日）",12/29、12/30、12/31日休館,600 ,大人600円、小中高300円,園内には、主にケージ型の動物舎が隣接して配置されていて、小さな子供たちでも無理なく動物を観てまわることができるような展示方法がされています。また、動物たちをできるだけ間近に観察できるよう工夫されていて、それぞれの動物の前にはわかりやすい解説パネルを設置し、その動物がより理解できるようにしています。,,"・徳山駅から徒歩約20分
・徳山駅みゆき口（徳山駅北側）のバスターミナルから動物園文化会館入口で下車後すぐ（バス　大人210円）
・徳山駅みゆき口からタクシー約5分
・徳山西ICより25分
・徳山東ICより10分",駐車スペース469台,,,,,,,,,,,,,,,,,,周南市徳山動物園,0834-22-8640,,,,,,,,https://tokuyama-zoo.jp/,
352152,,TNK000000003,山口県周南市,周南市美術博物館,ビジュツハクブツカン,Shunan City Museum of Art and History,802,352152,,山口県周南市花畠町10-16,山口県,周南市,花畠町,10-16,,34.06017,131.81213,,,火水木金土日,9:30,17:00,12/29～1/3休館,200 ,一般200円、大学生100円、18歳以下および70歳以上、身体障碍者手帳、療育手帳、精神障碍者保健福祉手帳、戦傷病者手帳等をご持参の方とその介護の方は無料。,宮崎進、岸田劉生、まど・みちおら郷土ゆかりの芸術家をはじめ、日本国内はもとより、広く世界的な視野に立った美術品を扱う美術部門、周南出身の写真家林忠彦の作品を中心にした写真部門、郷土の歴史や文化に関わる資料を扱う歴史部門を併せ持ち、隣接する音楽・劇場ホール創設などとともに周南地域の文化ゾーンの一翼を担っています。,,"〇JR徳山駅から
徒歩　約20分
バス　徳山駅みゆき口のバスターミナルから乗車
タクシー　約5分
〇山陽自動車道
徳山東IC　約10分
徳山西IC　約20分",駐車スペース159台,,,,,,,,,,,,,,,,,,周南市美術博物館,0834-22-8880,,,,,,,,http://s-bunka.jp/bihaku/,
352152,,TNK000000004,山口県周南市,周南市文化会館,ブンカカイカン,,1016,352152,,山口県周南市大字徳山5854-41,山口県,周南市,大字徳山,5854-41,,34.06183,131.81345,,,,,,毎月第1水曜日、第3水曜日及び12/29～1/3を除く日,,,,,"〇JR徳山駅から
徒歩　約20分
バス　徳山駅みゆき口のバスターミナルより乗車
タクシー　約5分
〇山陽自動車道
徳山東IC　約8分
徳山西IC　約20分",160台,,,,,,,,,,,,,,,,,,周南市文化会館,0834-22-8787,,,,,,,,http://s-bunka.jp/bunka/,
352152,,TNK000000005,山口県周南市,TOSOHPARK 永源山,トウソーパークエイゲンザン,TOSOH PARK Eigenzan,1003,352152,,山口県周南市大字富田2355-2,山口県,周南市,大字富田,2355-2,,34.07732,131.76781,,,,,,,,,春にはチューリップ、桜やつつじの花が咲き誇り、夏には流水プールなどの五つのプールを備えた屋外プールを使い、秋には紅葉を楽しむなど一年を通して利用でき、山頂には、本格的なオランダ風車、「ゆめ風車」もあり、周南市のランドマークとして、今では、市民だけでなく、周南地区を代表する都市公園として、心休まる憩の場となっています。,,JR新南陽駅から車で10分、山陽自動車道徳山西ICから車で15分,駐車スペース121台・身障者用駐車場2台,可,,,,,,,,,,,,,,,,,TOSOH PARK 永源山,0834-63-7899,,,,,,,,https://www.tosoh-park-eigenzan.com/,
352152,,TNK000000006,山口県周南市,大田原自然の家,オオタバラシゼンノイエ,,1010,352152,,山口県周南市大字中須北3194番地,山口県,周南市,大字中須北,3194,,34.15327,131.93256,,,火水木金土日,,,毎週月曜日（祝日の場合翌日）、年末年始（12/29～1/3）休館,,,健全な青少年の育成のために、野外活動や宿泊学習などが行える施設です。廃校となった小学校の校舎を利用しており、もと教室の宿泊室やログハウスで宿泊ができます。,,徳山駅より車で約10分、徳山東ICより車で約50分,,,,,,,,,,,,,,,,,,,大田原自然の家,0834-89-0461,,,,,,,,https://furusatoshunan.com/ootabara/index.html,
352152,,TNK000000007,山口県周南市,鶴いこいの里交流センター,ツルイコイノサトコウリュウセンター,,806,352152,,山口県周南市大字八代826-8,山口県,周南市,大字八代,826-8,,34.08635,131.93883,,,7/20～8/31,13:00,17:00,8/13（火）から8/16（金）は休場,,,鶴いこいの里は、人と鶴の共存を目指して設置されました。この施設は、鶴の保護や鶴に関する調査研究、交流及び情報発信やコミュニティ活動、スポーツ活動等の生涯学習活動を行っています。,,,,,,,,,,,,,,,,,,,,,周南市鶴いこいの里交流センター,0833-92-0003,,,,,,,,https://www.city.shunan.lg.jp/soshiki/94/3335.html,
352152,,TNK000000008,山口県周南市,BOAT RACE徳山,ボートレーストクヤマ,Boat Race Tokuyama,1019,352152,,山口県周南市大字栗屋1033,山口県,周南市,大字栗屋,1033,,34.01066,131.83542,,,,8:00,,,,,エンジン音を響かせて迫力のレースを展開するボートレース。舟券は100円から購入でき、気軽に楽しめます。,,山陽自動車道・徳山東ＩＣから約15分,"駐車スペース2,000台",,,,,,,,,,,,,,,,,,BOAT RACE 徳山,0834-25-0540,,,,,,,,https://www.boatrace-tokuyama.jp/,
352152,,TNK000000009,山口県周南市,須金フルーツランド,スガネフルーツランド,Sugane Fruit Land,304,352152,,山口県周南市大字金峰2751-1,山口県,周南市,大字金峰,2751-1,,34.19138,131.92022,,,,,,,,,15の農園からなる「須金フルーツランド」手間暇かけて季節のリズムの中で育てているぶどうやなしに出会えます。,,山陽道熊毛ICより約35分、山陽道徳山東ICより約35分,,,,,,,,,,,,,,,,,,,須金フルーツランド,0834-86-2000,,,,,,,,https://www.sugane-fl.net/,
352152,,TNK000000010,山口県周南市,道の駅ソレーネ周南,ミチノエキソレーネシュウナン,,1001,352152,,山口県周南市大字戸田2713,山口県,周南市,大字戸田,2713,,34.07447,131.68797,,,,,,,,,道の駅「ソレーネ周南」は、国道2号沿いに立地しており、周南市の西の玄関口として、道路利用者が快適に休憩できる場所を提供するとともに、道路情報、観光情報、周南ブランドを市内外、そして全国に発信し、周南市のアピールはもとより、農林水産業の振興や地域の活性化につなげることを目的としています。,,山陽自動車道徳山西ICから車で約1分,駐車スペース167台・身障者用駐車場3台,可,,,有,,,,,,,,,,,,,,一般社団法人　周南ツーリズム協議会,0834-83-3303,,,,,,,,https://www.solene.jp/,
