番号,施設名称,施設の種別,緯度,経度,郵便番号,住所,電話番号,利用可能日,利用可能開始時間,利用可能終了時間,設置階数,ドアの種別,ドアの属性,ドアのガラスの有無,便座スペースの方向,手すりの形状,補助器具等の有無と形状,非常用ボタンの有無,手洗い場下面における床からの高さ,鏡の有無,水道・自動か手動か,水道・手動の場合のハンドルの形状,温水の有無,石鹸の種類,照明・自動か手動か,照明・スイッチの床からの高さ,トイレットペーパーの床からの高さ,ウォシュレットの有無,ウォシュレットのスイッチの床からの高さ,水洗・自動か手動か,水洗用のスイッチまたはレバーの場所（未使用）,坂の有無,舗装の有無,スロープの有無,段差の有無,階段の有無,エレベータの有無,障がい者用駐車場の有無,駐車場台数,トイレまでの屋根の有無,オストメイトの有無,オムツ替え台の有無,ベビーチェアの有無,荷物や服等をかけるフックの有無,その他複雑な操作を必要とする機能の有無,画像,画像1,画像2,画像3,画像4,
1,うべスタートアップ,,33.95555492,131.2414899,755-0045,山口県宇部市中央町３丁目１０－１,0836-39-5010,月-日    ※木曜、12月29日～1月3日,11時（月-金）・10時（土・日・祝）,19時（月-金）・18時（土・日・祝）,1階,引き戸,手動,有,左,可動式手すり,無,無,76cm,有,手動,プッシュ,水のみ,泡（手動）,自動,,50,有,40,手動（レバー）,,無,無,有,有,無,無,無,-,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_001_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_001_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_001_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_001_04.jpg,,
2,ヒストリア宇部,文化・教育施設,33.95101,131.246063,755-0029,山口県宇部市新天町一丁目1番1号,0836-37-1400,月-日　※第2火曜、臨時休館日を除く,9時,施設の利用状況により異なりますので、お問い合わせください。,1階,引き戸,手動,有,右,L字手すり、可動式手すり,可動式手すり,有,75cm,有,自動・オストメイトは手動,オストメイトは左右に動かすレバー,水のみ・オストメイトは水とお湯,泡（手動）・オストメイトは液体,自動,-,85cm,有,110cm,自動（センサー）,,無,-,有,無,有,有,有,2台,無,有,無,有,有,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_002_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_002_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_002_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_002_04.jpg,,
3,多世代交流スペース,交流スペース,33.955342,131.240986,755-0045,山口県宇部市中央町三丁目8番20号,0836-39-6907,月-日,10時・11時（日のみ）,21時・16時（日のみ）,1階,引き戸,手動,有,左,L字手すり、可動式手すり,可動式手すり・背もたれ,有,73cm,有,自動,-,水のみ,無,自動,-,85㎝,無,-,手動（レバー）,,無,-,有,無,無,無,無,-,無,無,無,有,有,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_003_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_003_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_003_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_003_04.jpg,,
4,宇部市学びの森くすのき,文化・教育施設,34.044996,131.223775,757-0216,山口県宇部市大字船木字内番田361番地6,0836-67-1277,火-日　※月末休館日、年末年始を除く,9時,19時（火-金）・18時（土・日・祝）,1階,引き戸,手動,有,右,L字手すり、可動式手すり,無,有,72cm,有,自動・手動も有,ボタン,水のみ,液体,自動,-,便座傍90㎝・オストメイト傍83cm,有,110㎝,手動（スイッチ）,,無,-,無,無,無,無,有,2台,有,有,有（多用途台）,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_004_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_004_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_004_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_004_04.jpg,,
5,宇部市まちなか環境学習館（中央街区公園）,文化・教育施設（公園）,33.954125,131.241889,755-0045,山口県宇部市中央町二丁目11番21号,0836-39-8110,施設の開閉に限らず利用可,施設の開閉に限らず利用可,施設の開閉に限らず利用可,中央街区公園トイレ（建物裏側に入口あり）,引き戸,手動,有,左,L字手すり、可動式手すり,無,有,70cm,無,手動,左右に動かすレバー,水のみ,無,手動,82cm,87cm,無,-,手動（レバー）,,無,-,無,無,無,無,無,-,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_005_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_005_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_005_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_005_04.jpg,,
6,多世代ふれあいセンター（1階）,文化・教育施設,33.953128,131.252694,755-0033,山口県宇部市琴芝町二丁目4番25号,0836-22-4371,月-日　※毎月第３水曜日、年末年始を除く,9時,22時,1階,引き戸,手動,有,右,L字手すり、可動式手すり,可動式手すり,有,70cm,有,手動,左右に動かすレバー,水のみ,固形,手動,95cm,100cm,無,-,手動（スイッチ）,,無,-,有,無,無,有,有,2台,有,無,無,無,有,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_006_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_006_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_006_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_006_04.jpg,,
7,多世代ふれあいセンター（２階①）,文化・教育施設,33.953128,131.252694,755-0033,山口県宇部市琴芝町二丁目4番25号,0836-22-4371,月-日　※毎月第３水曜日、年末年始を除く,9時,22時,2階,引き戸,手動,無,右,L字手すり、可動式手すり,可動式手すり・背もたれ,有,70cm,有,自動,-,水とお湯,固形,手動,95cm,100cm,有,80cm,手動（スイッチ）,,無,-,有,無,無,有,有,2台,有,有,無,無,有,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_007_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_007_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_007_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_007_04.jpg,,
8,多世代ふれあいセンター（２階②）,文化・教育施設,33.953128,131.252694,755-0033,山口県宇部市琴芝町二丁目4番25号,0836-22-4371,月-日　※毎月第３水曜日、年末年始を除く,9時,22時,2階,引き戸,手動,無,右,L字手すり、可動式手すり,可動式手すり・背もたれ,有,70cm,有,自動,-,水とお湯,固形,手動,95cm,100cm,有,80cm,手動（スイッチ）,,無,-,有,無,無,有,有,2台,有,無,無,無,有,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_008_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_008_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_008_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_008_04.jpg,,
9,多世代ふれあいセンター（3階）,文化・教育施設,33.953128,131.252694,755-0033,山口県宇部市琴芝町二丁目4番25号,0836-22-4371,月-日　※毎月第３水曜日、年末年始を除く,9時,22時,3階,引き戸,手動,無,右,L字手すり、可動式手すり,可動式手すり・背もたれ,有,70cm,有,自動,-,水のみ,固形,手動,95cm,90cm,有,55cm,手動（スイッチ）,,無,-,無,無,無,有,有,2台,無,無,無,無,有,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_009_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_009_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_009_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_009_04.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_009_05.jpg,
10,宇部市楠総合センター,文化・教育施設,34.045691,131.226519,757-0216,山口県宇部市大字船木字野田442番地11,0836-67-1200,月-日　※毎月第3火曜日、年末年始を除く,8時30分,22時,1階,引き戸,手動,無,右,L字手すり、可動式手すり,無,有,65cm,有,手動,左右に動かすレバー,水のみ,固形,手動,130cm,85cm,無,-,手動（スイッチ）,,無,-,無,無,無,有,有,2台,無,無,無,無,無,無,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_010_03.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_010_01.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_010_02.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/multipurpose_toilet/toilet_010_04.jpg,,
