番号,名称,緯度,経度
1,ベンチ1,33.94632222,131.2850333
2,ベンチ2,33.94634444,131.2850556
3,ベンチ3,33.946625,131.2850667
4,ベンチ4,33.94664722,131.28505
5,ベンチ5,33.94677499,131.2848917
6,ベンチ6,33.94679722,131.2848917
7,ベンチ7,33.94681666,131.2848972
8,ベンチ8,33.94699999,131.2846194
9,ベンチ9,33.94700833,131.2846444
10,ベンチ10,33.94703888,131.2848083
11,ベンチ11,33.94708888,131.2830917
12,ベンチ12,33.94709166,131.2848667
13,ベンチ13,33.94713333,131.2846861
14,ベンチ14,33.94715277,131.2846194
15,ベンチ15,33.94719999,131.2833167
16,ベンチ16,33.94722222,131.2833528
17,ベンチ17,33.94723333,131.2847
18,ベンチ18,33.94724444,131.2850028
19,ベンチ19,33.94728055,131.2849139
20,ベンチ20,33.94730277,131.2836139
21,ベンチ21,33.94730833,131.2835889
22,ベンチ22,33.94734722,131.2836167
23,ベンチ23,33.94741388,131.2849694
24,ベンチ24,33.94743055,131.2837611
25,ベンチ25,33.94743333,131.2836917
26,ベンチ26,33.94743333,131.2838
27,ベンチ27,33.94744444,131.2837444
28,ベンチ28,33.94744444,131.2838361
29,ベンチ29,33.94747777,131.2838639
30,ベンチ30,33.94755555,131.283975
31,ベンチ31,33.94756111,131.2841028
32,ベンチ32,33.947775,131.2836944
33,ベンチ33,33.94777777,131.2836139
34,ベンチ34,33.94780555,131.283275
35,ベンチ35,33.94780833,131.2836833
36,ベンチ36,33.94784999,131.2821861
37,ベンチ37,33.94784999,131.2821944
38,ベンチ38,33.94785833,131.2835944
39,ベンチ39,33.94786388,131.282225
40,ベンチ40,33.94786666,131.2822389
41,ベンチ41,33.94787777,131.2822556
42,ベンチ42,33.94788055,131.283775
43,ベンチ43,33.94788611,131.282275
44,ベンチ44,33.94792222,131.2823417
45,ベンチ45,33.94793888,131.2823639
46,ベンチ46,33.94794166,131.2823806
47,ベンチ47,33.94794166,131.2836694
48,ベンチ48,33.94795833,131.2823639
49,ベンチ49,33.94796111,131.2824111
50,ベンチ50,33.94797777,131.2824278
51,ベンチ51,33.94801111,131.2824944
52,ベンチ52,33.94801666,131.2825306
53,ベンチ53,33.94802499,131.2825139
54,ベンチ54,33.94802777,131.2825528
55,ベンチ55,33.94803055,131.2825667
56,ベンチ56,33.94804166,131.2825861
57,ベンチ57,33.948525,131.2822389
58,ベンチ58,33.94875,131.2823417
59,ベンチ59,33.94887222,131.2823889
60,ベンチ60,33.94894999,131.2837194
61,ベンチ61,33.94897222,131.28375
62,ベンチ62,33.94899166,131.2837778
63,ベンチ63,33.94907499,131.2825222
64,ベンチ64,33.94908611,131.2825056
65,ベンチ65,33.94909722,131.2830722
66,ベンチ66,33.94912777,131.2821861
67,ベンチ67,33.94913611,131.2831472
68,ベンチ68,33.94918611,131.2823111
69,ベンチ69,33.94923888,131.282225
70,ベンチ70,33.94924722,131.2824194
71,ベンチ71,33.94926666,131.2824028
72,ベンチ72,33.94928611,131.2823306
73,ベンチ73,33.94931111,131.2827167
74,ベンチ74,33.949425,131.2826222
75,ベンチ75,33.949425,131.2834778
76,ベンチ76,33.94943888,131.2834472
77,ベンチ77,33.94944444,131.2826056
78,ベンチ78,33.94946111,131.283425
79,ベンチ79,33.94948333,131.2826028
80,ベンチ80,33.94949999,131.2824583
81,ベンチ81,33.94950833,131.2826722
82,ベンチ82,33.95048333,131.2816833
83,ベンチ83,33.95082777,131.2809861
84,ベンチ84,33.95083611,131.2809611
85,ベンチ85,33.95089444,131.2821472
86,ベンチ86,33.950925,131.2821056
87,ベンチ87,33.95092777,131.2800639
88,ベンチ88,33.95094166,131.2801556
89,ベンチ89,33.95095,131.2803389
90,ベンチ90,33.95102777,131.2806083
91,ベンチ91,33.95106111,131.2806972
92,掲示板1,33.94578333,131.2853222
93,掲示板2,33.94581388,131.2848556
94,掲示板3,33.94581944,131.2848889
95,掲示板4,33.94663888,131.2849611
96,掲示板5,33.94677499,131.2847972
97,掲示板6,33.94743333,131.28505
98,掲示板7,33.94745555,131.2841361
99,掲示板8,33.94748888,131.2834528
100,掲示板9,33.94751111,131.2838722
101,掲示板10,33.94849722,131.2822417
102,掲示板11,33.94936111,131.2830472
103,掲示板12,33.95088333,131.2803361
104,自動販売機1,33.94742777,131.284225
105,自動販売機2,33.94698888,131.2846
106,水飲み場1,33.94732777,131.284725
107,水飲み場2,33.94566388,131.2853417
108,水飲み場3,33.94709166,131.2844306
109,水飲み場4,33.94793055,131.2827361
110,水飲み場5,33.94790833,131.2827222
111,水飲み場6,33.94926111,131.2831444
112,水飲み場7,33.94911388,131.2824333
113,水飲み場8,33.9509,131.2801917
114,ゴミ箱1,33.94705555,131.2847278
115,ゴミ箱2,33.94583333,131.2854556
