番号,植物名,緯度,経度,科,属,原産,説明,写真1,写真2,写真3
101,タブノキ,33.949112,131.281189,クスノキ科,Persea＝タブノキ属,,山地生常緑高木、高さ１５ｍ、樹冠は傘型、頂芽の鱗片葉は急尖、無毛、花期５月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_01_1.jpg,,
102,タブノキ,33.950898,131.288429,クスノキ科,Persea＝タブノキ属,,山地生常緑高木、高さ１５ｍ、樹冠は傘型、頂芽の鱗片葉は急尖、無毛、花期５月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_01_1.jpg,,
103,タブノキ,33.956852,131.282324,クスノキ科,Persea＝タブノキ属,,山地生常緑高木、高さ１５ｍ、樹冠は傘型、頂芽の鱗片葉は急尖、無毛、花期５月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_01_1.jpg,,
104,タブノキ,33.956051,131.281455,クスノキ科,Persea＝タブノキ属,,山地生常緑高木、高さ１５ｍ、樹冠は傘型、頂芽の鱗片葉は急尖、無毛、花期５月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_01_1.jpg,,
105,タブノキ,33.95501,131.281305,クスノキ科,Persea＝タブノキ属,,山地生常緑高木、高さ１５ｍ、樹冠は傘型、頂芽の鱗片葉は急尖、無毛、花期５月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_01_1.jpg,,
201,アカマツ（メマツ）,33.94675,131.283081,マツ科,Pinus＝マツ属,,山地生〜沿岸部、常緑高木、雌雄同株、雌花新枝の先端、雄花新枝下部鱗片腋に着く、新枝の鱗片白色,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_02_1.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_02_2.jpg,
202,アカマツ（メマツ）,33.947627,131.283419,マツ科,Pinus＝マツ属,,山地生〜沿岸部、常緑高木、雌雄同株、雌花新枝の先端、雄花新枝下部鱗片腋に着く、新枝の鱗片白色,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_02_1.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_02_2.jpg,
203,アカマツ（メマツ）,33.950808,131.278983,マツ科,Pinus＝マツ属,,山地生〜沿岸部、常緑高木、雌雄同株、雌花新枝の先端、雄花新枝下部鱗片腋に着く、新枝の鱗片白色,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_02_1.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_02_2.jpg,
301,クヌギ,33.949998,131.289326,ブナ科,Quercus＝コナラ属,,山地生落葉高木、高さ１５ｍ、葉先は芒状、側脈に毛を散生、雄花序が先出、雌花序は葉腋,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_03_1.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_03_2.jpg,
302,クヌギ,33.952617,131.290348,ブナ科,Quercus＝コナラ属,,山地生落葉高木、高さ１５ｍ、葉先は芒状、側脈に毛を散生、雄花序が先出、雌花序は葉腋,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_03_1.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_03_2.jpg,
401,コナラ,33.949215,131.288055,ブナ科,Quercus＝コナラ属,,落葉高木、雌雄同株、風媒花、高さ１５ｍ、雄花序は基部、雌花序は上部に着く,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_04_1.jpg,,
