#LINK<-- ファイルタイプの指定,http://linkdata.org/upload,<-- このURLのページからこのファイルをアップロードしてください。,,,,,,,,,,,,,,,,,,,
#file_name<-- ファイルの名前,ube_genki,,,,,,,,,,,,,,,,,,,,
#lang<-- 言語指定,ja,,,,,,,,,,,,,,,,,,,,
#attribution_name<-- 作成者の名前,宇部市,,,,,,,,,,,,,,,,,,,,
#property<-- プロパティの名前またはURI,title,http://purl.org/dc/elements/1.1/description,categories,artimg,artimg,price,shop,jigyosha,phone,fax,url,e-mail,ichijisanpin,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,,,,,,
#object_type_xsd<-- プロパティのデータ形式,string:ja,string:ja,string:ja,string:other,string:other,string:ja,string:ja,string:ja,string:en,string:en,string:en,string:ja,float,float,float,,,,,,
#property_context<-- プロパティのContext,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,,,,,,
1,石炭包,2011年に誕生した、宇部のB級グルメ「石炭包」。石炭をイメージした黒い生地で包まれているのは、宇部の特産品と宇部の元気！現在、市内店舗で取り扱いをしています。（取り扱い店舗、各店のメニューは変更する場合があります。）,認証製品名からさがす(218:search_product)--石炭包(229:pao),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/010/245/00sekitanpao.jpg,,オープン価格（各お店によって異なります）,メイフェア、カフェレストランDUNKS、パン・ペルデュ　他,宇部商工会議所青年部（宇部市松山町一丁目16番18号）,0836-31-0251,0836-22-3470,http://www.yeg.ubecci.or.jp/,,-,33.944864,131.254079,特別,,,,,
2,エイの竜田揚げ,宇部沖で獲れたエイの、１番美味しいとされるヒレ部分だけを使用。エイには、旨味成分であるグルタミン酸、コラーゲン、ペプチドなどが豊富に含まれています。水揚げ直後に氷締めにし、丹精込めて調理した竜田揚げは非常に香ばしく、子どもに大人気。,認証製品名からさがす(218:search_product)--水産加工品(220:suisan),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/231/01einotatutaage.jpg,,200円／100g,"うべ新鮮市場　元気一番（TEL.0836-31-7070）
（毎週金・土・日11：00～14：00）",山口県漁業協同組合　宇部岬支店（宇部市八王子町12番24号）,0836-31-0233,0836-31-0232,,,ナルトビエイ,33.926635,131.262328,1,,,,,
3,吟撰鱧の竹輪,主に新宇部漁協で水揚げされた新鮮な鱧を活用。高級魚えそを使った最上級練り身に鱧を合わせ、じっくり丹念に焼き上げた、しなやかな食感の焼き竹輪。,認証製品名からさがす(218:search_product)--水産加工品(220:suisan),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/232/03ginsenhamonotikuwa.jpg,,270円／82g,本社直売店、山口宇部空港　他,宇部蒲鉾株式会社（宇部市大字川上697番地20）,0836-33-5151,0836-22-3271,http://www.ubekama.co.jp/,shop@ubekama.co.jp,鱧（ハモ）,33.995165,131.272481,3,,,,,
4,瀬戸内れんちょう,瀬戸内海は小魚の宝庫。加工部が、製品開発に取り組んでいます。宇部港で水揚げされた小さなサイズのレンチョウを活用し、佃煮風に加工。骨ごと丸ごと使っています。,認証製品名からさがす(218:search_product)--水産加工品(220:suisan),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/233/06setoutirentyou.jpg,,"400円／75g
700円／150ｇ
1,000円／220ｇ
贈答用　希望価格に応じます
地方発送課（送料自己負担）","新宇部漁協前日注文（平日9：00～16：00）
JA山口宇部　東岐波ふれあい朝市（毎週水・土8：30～）",新宇部漁業協同組合（宇部市港町二丁目2番42号）,0836-21-1526,0836-33-8798,,sinube@circus.ocn.ne.jp,レンチョウ(アカシタビラメ),33.943996,131.248106,6,,,,,
5,きららえび,瀬戸内海は小エビの宝庫。加工部が、宇部港で水揚げされたばかりの小エビの味を損なわないよう調味方法を研究し、佃煮風に加工しました。「新鮮、安心安全、ぶちうまい、浜の母ちゃんの手作りでーす。」,認証製品名からさがす(218:search_product)--水産加工品(220:suisan),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/234/07kiraraebi.jpg,,"385円／100ｇ
贈答用　希望価格に応じます
地方発送可（送料自己負担）","新宇部漁協前日注文（平日9：00～16：00）
JA山口宇部　東岐波ふれあい朝市（毎週水・土8：30～）",新宇部漁業協同組合（宇部市港町二丁目2番42号）,0836-21-1526,0836-33-8798,,sinube@circus.ocn.ne.jp,小エビ,33.943996,131.248106,7,,,,,
6,常盤湖ハニータルト,宇部市で採れた蜂蜜をそのまま使い、まろやかな風味が楽しめるタルト。合成添加物を使わず製造しており、安心・安全・鮮度にこだわっています。,認証製品名からさがす(218:search_product)--菓子(222:sweets),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/235/08tokiwakohani-taruto.jpg,,"165円／1個
950円／1箱5個入",お菓子のピエロ、山口宇部空港、アルク恩田店,有限会社お菓子のピエロ（宇部市大字西岐波1529番地20）,0836-51-5687,0836-51-5687,,piero@aurora.ocn.ne.jp,蜂蜜、卵,33.963378,131.31699,8,,,,,
7,記念館の見える街,宇部産の新鮮な卵を活用。1937年、宇部市発展の基礎を築いた渡辺祐策翁を記念し作られた「渡辺翁記念会館」。（2005年、国の重要文化財に指定）。この建物をモチーフとして、特製パイとこしあん、アーモンド生地を組み上げた、重厚感のある焼き菓子。,認証製品名からさがす(218:search_product)--菓子(222:sweets),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/237/14kinenkannomierumati.jpg,,"270円／1個
1,566円／1箱5個入
2,916円／1箱10個入
4,266円／1箱15個入
5,616円／1箱20個入",創作洋菓子のロイヤル、菓子工房yakushiji、山口宇部空港（昨年通り）、創作洋菓子のロイヤルオンラインショップhttp://royal.theshop.jp/,創作洋菓子のロイヤル（宇部市あすとぴあ1丁目2番4号）,0836-33-0100,0836-22-0300,http://www.so-royal.com/,s-royal@live.jp,卵,33.959383,131.247095,14,,,,,
8,小野茶かりんとう,宇部市で栽培された、「小野茶」の煎茶を活用。抹茶ではなく、煎茶を使った製品は珍しい。小野茶の渋み・苦みがかりんとうの甘さを抑え、サッパリとした食感の、食べても食べても飽きが来ないかりんとう。,認証製品名からさがす(218:search_product)--菓子(222:sweets),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/238/18onotyakarintou.jpg,,432円／1袋100g,"山口茶業本社、
山口宇部空港(小野茶クッキー、小野茶サブレ、小野茶かりんとう、釜入り小野茶）、
楠こもれびの郷（小野茶クッキー、小野茶サブレ、小野茶かりんとう）、
フジグラン宇部（小野茶サブレ、小野茶ケーキ、小野茶かりんとう）、
ゆめタウン宇部（小野茶クッキー、小野茶かりんとう）、
幸屋（小野茶サブレ、小野茶かりんとう）",株式会社山口茶業（宇部市大字櫟原152番地13）,0836-64-2116,0836-64-2044,http://www.onocha.com/,"
info@onocha.com",小野茶,34.101281,131.308756,18,,,,,
9,小野茶麺,宇部市小野地区の小野茶の煎茶を練りこんだ乾麺。煎茶の渋み成分が麺の伸びを止めるため、ゆでたあとも麺が伸びず、和洋中を問わず幅広い料理に使えます。麺料理は何でもごじゃれ。,認証製品名からさがす(218:search_product)--麺(225:men),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/239/19onotyamen.jpg,,648円／1袋（50g×6束）,"山口茶業本社、山口井筒屋宇部店（ゆめタウン）、
山口宇部空港(小野茶クッキー、小野茶サブレ、小野茶かりんとう、釜入り小野茶）、
楠こもれびの郷（小野茶クッキー、小野茶サブレ、小野茶かりんとう）、
フジグラン宇部（小野茶サブレ、小野茶ケーキ、小野茶かりんとう）、
ゆめタウン宇部（小野茶クッキー、小野茶かりんとう）、
幸屋（小野茶サブレ、小野茶かりんとう）",株式会社山口茶業（宇部市大字櫟原152番地13）,0836-64-2116,0836-64-2044,http://www.onocha.com/,"
info@onocha.com",小野茶,34.101281,131.308756,19,,,,,
10,宇部　こだわりのかすてら  げってん,宇部市の新鮮な卵を活用。げってんとは宇部の方言で、「頑固でこだわりを持った人」という意味。げってん職人が、原材料に徹底的にこだわり、最新の技術に頼らず、難易度の高い半熟風に仕上げたカステラ。他のカステラとの違いを味わって。,認証製品名からさがす(218:search_product)--菓子(222:sweets),https://www.city.ube.yamaguchi.jp/_res/projects/default_project/_page_/001/006/241/21ubekodawarinokasuteragetten.jpg,,990円／275ｇ（半斤）,吹上堂、フジグラン宇部、ゆめタウン宇部、インターネット販売,有限会社吹上堂（宇部市中央町二丁目2番1号）,0836-31-1012,0836-21-1012,http://www.fukiagedou.co.jp/,rikyusan@air.ocn.ne.jp,卵,33.952618,131.243326,21,,,,,
