#LINK<-- ファイルタイプの指定,http://linkdata.org/upload,<-- このURLのページからこのファイルをアップロードしてください。,,,,,,,,
#file_name<-- ファイルの名前,ube_hotel,,,,,,,,,
#lang<-- 言語指定,ja,,,,,,,,,
#attribution_name<-- 作成者の名前,宇部市,,,,,,,,,
#property<-- プロパティの名前またはURI,名称,種別,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,宿泊料,客室数,収容人数,住所,電話番号,アクセス
#object_type_xsd<-- プロパティのデータ形式,string:other,string:other,float,float,string:other,int,int,string:other,string:other,string:other
#property_context<-- プロパティのContext,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion
1,ANAクラウンプラザホテル宇部,ホテル,33.954908,131.244827,プランが多数ございます。ホテルホームページでご確認ください。,140,242,山口県宇部市相生町8番1号,0836-32-1112,JR宇部新川駅から徒歩で5分
2,国際ホテル宇部,ホテル,33.958752,131.245481,プランが多数ございます。ホテルホームページでご確認ください。,102,157,山口県宇部市島一丁目7番1号,0836-32-2323,JR宇部新川駅から徒歩で5分
3,ABホテル宇部新川,ビジネスホテル,33.95821732,131.2410387,プランが多数ございます。ホテルホームページでご確認ください。,128,256,宇部市上町1-1-5,0836-43-6610,JR宇部新川駅より徒歩2分
4,ビジネスホテル新川,ビジネスホテル,33.959077,131.239564,"シングル：5,800円〜／ツイン10,400円〜（一泊朝食付）",64,73,山口県宇部市上町一丁目5番4号,0836-34-2411,JR宇部新川駅から徒歩で3分
5,ビジネスホテルアクセス,ビジネスホテル,33.958392,131.241614,"シングル：5,000円〜／ツイン：8,900円〜／ダブル：7,800円〜",48,60,山口県宇部市上町一丁目8番4号,0836-35-3939,JR宇部新川駅から徒歩で1分
6,スーパーホテル宇部天然温泉,ビジネスホテル,33.95622,131.239661,"シングル：5,980円〜／ツイン：9,500円〜（一泊朝食付）",108,164,山口県宇部市中央町三丁目14番14号,0836-22-9000,JR宇部新川駅から徒歩で5分
9,宇部ステーションホテル,ビジネスホテル,34.00167,131.220719,"シングル4,900〜／ツイン8,900円〜（一泊朝食付）",60,80,山口県宇部市西宇部南三丁目2番39号,0836-41-3456,JR宇部駅から徒歩で2分
10,松屋旅館,ビジネスホテル,33.981634,131.204082,"4,800円〜（一泊2食付）",28,50,山口県宇部市妻崎開作塩屋台578-11,"0836-41-5800
予約は0836-41-5016",JR宇部駅から車で8分
11,ビジネスホテル宇部,ビジネスホテル,33.950307,131.252112,"シングル：5,000円〜／ツイン8,900円〜",49,92,山口県宇部市寿町三丁目7番5号,0836-33-5544,JR琴芝駅から徒歩で5分
12,パーク琴芝,ビジネスホテル,33.957377,131.255068,"シングル：4,980円〜／ツイン8,200円〜",29,40,山口県宇部市西琴芝一丁目10番6号,0836-35-7111,JR琴芝駅から徒歩で7分
13,ロイヤルシティホテル,ビジネスホテル,33.948709,131.255754,"シングル：5,330円〜／ツイン9,400円〜",79,86,山口県宇部市東新川町1番28号,0836-35-0001,JR東新川駅から徒歩で2分
14,まつずみ旅館,ビジネスホテル,33.940721,131.257347,"シングル：6,500円〜（1泊2食付）",10,24,山口県宇部市松山町三丁目2番4号,0836-21-6209,JR宇部岬駅から徒歩で13分
15,COCOLAND,ホテル,33.965751,131.28675,多数プランがございますので、当ホテルのホームページでご確認ください。,50,144,山口県宇部市上宇部75,0836-33-6116,JR床波駅から車で10分
16,宇部ときわ湖畔ユースホステル,公共の宿,33.959745,131.28455,"素泊まり 　3,400円／1泊朝食付　4,050円／1泊2食付 　5,100円",11,64,山口県宇部市開三丁目6番1号,0836-21-3613,JR東新川駅から車で10分
