ID,店名,紹介,住所,画像,営業日,休業日,緯度,経度,駐車場,電話番号
725,「宇部ラーメン」とは、宇部市を中心とした濃豚骨ラーメンです！,"■宇部ラーメン3か条
1. 茶濁濃豚骨2. 強い豚骨臭3. 中太の柔らかい麺
と定義し、くさうま宣隊宇部ラーメンジャー（宇部市シティセールスパートナー）において、 冊子掲載に了承いただいた17店舗を選考しました。
その中で特に、すべての定義に合致し、さらに宇部ラーメンの歴史に深く関わっている５店舗を取り上げています。
ガラパゴス化した宇部ラーメンの歴史
　現在の山口県のラーメンは、ニューウェーブ系のラーメンの出現によって混沌としているが、元々の地元に根ざしたラーメンは、東の「醤油ラーメン」、西の「豚骨ラーメン」とに大きく二分される。県中部の防府市の椿峠を境にそれは顕著に見てとれる。西の豚骨ラーメンと言ってもその多くは、あっさりしたスープに細麺の「博多系豚骨ラーメン」だ。だが、ここ宇部市においては、匂いが強く濃厚なスープに中太麺の「久留米系の豚骨ラーメン」が主流である。そのルーツは、大阪から来た一人の男性によって始まる。
　 いまは新天町にある「大阪屋」。現在は三代目にあたるが、初代はその祖父。若かりし頃に大阪に住んでいた初代は「西日本で栄えているのは福岡だ。福岡で商売をしよう！」と、リアカーを引いて海沿いに旅を進めた。その途中、石炭で栄えていた宇部の街に着いた時に「活気のある街だ、ここで商売をしよう。」と、宇部を拠点に商売を始めることに決めた。当初は宇部中央バス停留所の辺りに「大阪屋」の屋号で食堂を始めた。繁盛していたが、商才のあった初代は、食堂としての未来に不安を抱き、当時、炭鉱やゴム産業で賑わっていた久留米へラーメン作りの修業に行った。そこでの経験をもとに宇部へ戻り、またリアカーを引き、屋台での商売から始め、最初の店舗を中央町に構えた。 こうして、久留米の豚骨ラーメンの味が広まり、県内においては唯一の「久留米系豚骨ラーメン」の味が、ここ宇部市で誕生し、六〇年の歳月とともに、独自に進化を始めた。県内の他地域とは違い、ガラパゴス化した宇部ラーメンの歴史は、宇部市の発展と非常によく似ているように私たちは思う。宇部市は、県内のどの街とも違い、宇部市だけで独自に発展してきた。それを宇部モンロー主義という人もいるが、宇部ラーメンは、その象徴的な存在なのかもしれない。 塩気と脂気の効いた独特の匂いを発する宇部ラーメン。この独特の匂いとうまさを私たちは「くさうま」と称し、その味を守り続けているお店をここに紹介する。
　 私たちは、この宇部ラーメンが、宇部を代表する文化の一つとして、次代につなげていけるよう活動をしていきます。あなたが、お好みの一杯に巡り合えることを祈念します。",,,,,,,,
726,中華そば一久 新川店,"""宇部系""のスタンダードを確立した濃厚豚骨スープ。
一久は、市内外に8店舗を展開し、宇部の街でダントツの知名度を誇るラーメン店。店舗ごとに微妙に違う味わいは、各々の店舗で豚骨スープを取っている証し。40年前の1973年に2号店として出店したのがここ新川店。カウンターのみの店内は、駅や飲み屋街からも近いため、サラリーマンや飲んだ後の客の憩いの場となっている。骨の粒子が溶け込んでいるため、少し暗めの色をした濃厚豚骨スープにやみつきになってしまう宇部市民は多い。




",山口県宇部市中央町一丁目9番14号,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/Ramen/ikkyu.jpg,"【月-土】11:00-翌3:00
【日】11:00-23:00",無休,33.95721,131.242702,なし,0836-31-1915
728,三久ラーメン 常盤店,"一本筋が通った正統派ラーメン。
創業当時からひときわ異彩を放つ個性的な佇まいの建物で目立っていた「三久ラーメン」。30年以上の歴史をもった、この街を代表する宇部ラーメン店。継ぎ足し継ぎ足し作られた豚骨スープは、研究熱心な大将兄弟のもと、独自に進化をとげてきた。安い値段でお腹いっぱい食べてほしいという願いから、セットメニューは、抑えめの価格でボリュームたっぷり。カウンター席のみという造りにもかかわらず、女性客も多く、家族連れや夫婦といった客層も目立つ。これは、長年親しんだ味であることはもちろん、明るい大将と清潔な店内という安心感が成せる技なのだろう。




",山口県宇部市野中一丁目５番3号,,11：00-22：00,月曜,33.952062,131.275688,あり,0836-33-9439
730,味の三平,"雑味なき、クリアテイスト。 仕上げのまろやかラーメン。
大将を筆頭に、女性従業員で支える老舗人気店。白いのれんをくぐると、そこには清潔感のあるオープンキッチンの店内が広がる。昭和43年の開店時から継ぎ足し続けて作られている、伝統の〝呼び戻し豚骨スープ〟
現在もその味を守っているのは、初代店主の娘さん。昔からずっと変わらない製法のラーメンは、シンプルでありながらも、ひたむきでぶれることがない味。その確立された『宇部ラーメン』が、この宇部の街を支え続けている。




",山口県宇部市松島町17番6号,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/Ramen/sanpei.jpg,11:00-16:00,日曜,33.956592,131.243595,なし,0836-21-8212
732,秀ちゃんラーメン,"深みある豚骨、野菜、 渾然一体ラーメン。
宇部市中央町の飲み屋街の一画にひときわ映えるイエローカラーが目印の「秀ちゃんラーメン」。創業14年とまだ歴史は浅いものの、提供するラーメンの味は年季を感じずにはいられない。それもそのはず、大将は大学生の頃にラーメン屋台を営業していた経験を持つほど生粋のラーメン好きなのである。当時から、宇部系の濃厚豚骨ラーメンに惚れ込んでいた大将。この界隈では珍しい「海苔」のトッピングは、手本にしていた今は無き濃厚豚骨の宇部ラーメン店「つばめ」に由来する。大将と夫人による交代制での営業スタイルの店内には、飲んだ後の締めの一杯を楽しむ客でいつも賑わっている。 




",山口県宇部市中央町二丁目13番21号,,19：30-27：00頃,日・祝日,33.954652,131.243118,なし,0836-22-5989
735,大阪屋,"宇部ラーメンの源流。男気溢れる味で64年。
商店街を歩いていると、アーケード内を漂う濃厚豚骨スープの香りに、一気に胃袋をつかまれる。その香りに引き寄せられのれんをくぐると、長年にわたり濃厚豚骨スープを作り続けた店内に、宇部ラーメンの歴史が染みついている。現在三代目の大阪屋は、お祖父さんからその味を受継ぐ『宇部ラーメン』の老舗だ。通ならば、宇部ラーメンの歴史を築いてきたこの一杯を、ぜひ一度食べておきたい。




",山口県宇部市新天町一丁目3番10号,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/Ramen/oosakaya.jpg,"11:00-15:00
18:00-23:00",月曜,33.949279,131.24767,なし,0836-34-5551
736,来秀軒,,山口県宇部市今村南ニ丁目4番22号,,10:30-20:30,水曜,33.957457,131.304076,,0836-51-2642
738,ゆうちゃんラーメン,,山口県宇部市昭和町四丁目9番19号,,"11:00-20:00
日曜・祝祭日11:00-14:00",不定休,33.932214,131.258522,,0836-34-6039
739,中華そば　七福,,山口県宇部市東新川町5番17号,,11:00-15:00,水曜,33.947096,131.254839,,0836-31-0561
740,中華そば つるや,,山口県宇部市中央町一丁目1番5号,,"11:30-14:00
20:00-26:00",日曜・祝祭日,33.955206,131.244153,,0836-33-5456
741,拉麺・飲茶 酒家るいるい軒,,山口県宇部市上町一丁目4番1号　東栄ビル1F,,18:30-27:00,日曜,33.958772,131.240336,,0836-36-0969
743,ラーメン 一番,,山口県宇部市東平原二丁目9番49号,,11:30-18:00,火曜日,33.975912,131.228572,,0836-33-5071
744,とん吉ラーメン,,山口県宇部市東藤曲二丁目6番25号,,11:00-14:00,日曜,33.971143,131.232225,,0836-33-4408
745,ピットイン,,山口県宇部市文京町9番2号,,11:00-22:00,なし,33.972128,131.22917,,0836-31-6785
747,らーめん大将,,山口県宇部市大字棚井1149番地1,,"11:00-21:00
（日・祝は20:00まで）",火曜日,34.015726,131.239433,,0836-41-2490
