trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
毎日運行1_06時00分_系統61,06:00:00,06:00:00,425_01,1,岩国駅（錦帯橋・西岩国 経由）,0,1,1
毎日運行1_06時00分_系統61,06:01:00,06:01:00,335_01,2,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:02:00,06:02:00,390_01,3,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:03:00,06:03:00,388_01,4,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:03:00,06:03:00,387_01,5,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:04:00,06:04:00,386_01,6,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:04:00,06:04:00,385_01,7,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:05:00,06:05:00,494_01,8,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:05:00,06:05:00,383_01,9,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:06:00,06:06:00,395_01,10,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:07:00,06:07:00,394_01,11,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:08:00,06:08:00,392_01,12,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:09:00,06:09:00,510_03,13,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:10:00,06:10:00,393_01,14,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:11:00,06:11:00,396_01,15,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:12:00,06:12:00,497_01,16,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:13:00,06:13:00,498_01,17,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:14:00,06:14:00,499_01,18,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:15:00,06:15:00,399_01,19,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:15:00,06:15:00,500_01,20,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:16:00,06:16:00,339_01,21,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:16:00,06:16:00,340_01,22,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:25:00,06:25:00,643_01,23,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:28:00,06:28:00,675_01,24,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:30:00,06:30:00,683_01,25,岩国駅（錦帯橋・西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:34:00,06:34:00,668_01,26,岩国駅（西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:38:00,06:38:00,670_01,27,岩国駅（西岩国 経由）,0,0,1
毎日運行1_06時00分_系統61,06:40:00,06:40:00,679_03,28,岩国駅,0,0,1
毎日運行1_06時00分_系統61,06:48:00,06:48:00,665_01,29,岩国駅,0,0,1
毎日運行1_06時00分_系統61,06:49:00,06:49:00,666_01,30,岩国駅,0,0,1
毎日運行1_06時00分_系統61,06:50:00,06:50:00,677_01,31,岩国駅,0,0,1
毎日運行1_06時00分_系統61,06:52:00,06:52:00,672_01,32,岩国駅,0,0,1
毎日運行1_06時00分_系統61,06:55:00,06:55:00,684_01,33,岩国駅,1,0,1
月・水・金曜日運行_06時22分_系統181,06:22:00,06:22:00,260_01,1,河山駅（ほんごう保育園前 経由）,0,1,1
月・水・金曜日運行_06時22分_系統181,06:24:00,06:24:00,261_01,2,河山駅（ほんごう保育園前 経由）,0,0,1
月・水・金曜日運行_06時22分_系統181,06:25:00,06:25:00,208_01,3,河山駅（ほんごう保育園前 経由）,0,0,1
月・水・金曜日運行_06時22分_系統181,06:26:00,06:26:00,209_01,4,河山駅（ほんごう保育園前 経由）,0,0,1
月・水・金曜日運行_06時22分_系統181,06:27:00,06:27:00,210_01,5,河山駅（ほんごう保育園前 経由）,0,0,1
月・水・金曜日運行_06時22分_系統181,06:29:00,06:29:00,211_01,6,河山駅（ほんごう保育園前 経由）,0,0,1
月・水・金曜日運行_06時22分_系統181,06:30:00,06:30:00,212_01,7,河山駅（ほんごう保育園前 経由）,0,0,1
月・水・金曜日運行_06時22分_系統181,06:31:00,06:31:00,213_01,8,河山駅（ほんごう保育園前 経由）,0,0,1
月・水・金曜日運行_06時22分_系統181,06:32:00,06:32:00,214_01,9,河山駅（ほんごう保育園前 経由）,0,0,1
月・水・金曜日運行_06時22分_系統181,06:33:00,06:33:00,215_01,10,河山駅（ほんごう保育園前 経由）,0,0,1
月・水・金曜日運行_06時22分_系統181,06:34:00,06:34:00,216_01,11,河山駅（ほんごう保育園前 経由）,0,0,1
月・水・金曜日運行_06時22分_系統181,06:35:00,06:35:00,217_01,12,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:35:00,06:35:00,219_01,13,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:37:00,06:37:00,220_01,14,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:37:00,06:37:00,221_01,15,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:38:00,06:38:00,222_01,16,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:39:00,06:39:00,223_01,17,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:40:00,06:40:00,224_01,18,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:40:00,06:40:00,225_01,19,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:41:00,06:41:00,238_01,20,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:41:00,06:41:00,239_01,21,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:42:00,06:42:00,247_01,22,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:42:00,06:42:00,248_01,23,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:43:00,06:43:00,249_01,24,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:43:00,06:43:00,250_01,25,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:44:00,06:44:00,251_01,26,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:46:00,06:46:00,252_01,27,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:46:00,06:46:00,253_01,28,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:47:00,06:47:00,254_01,29,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:49:00,06:49:00,255_01,30,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:49:00,06:49:00,256_01,31,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:50:00,06:50:00,257_01,32,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:51:00,06:51:00,258_01,33,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:52:00,06:52:00,259_01,34,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:53:00,06:53:00,234_01,35,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:54:00,06:54:00,185_01,36,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:54:00,06:54:00,186_01,37,河山駅,0,0,1
月・水・金曜日運行_06時22分_系統181,06:55:00,06:55:00,187_01,38,河山駅,1,0,1
月～土曜日運行_06時39分_系統285,06:39:00,06:39:00,176_01,1,大久保（道の駅 経由）,0,1,1
月～土曜日運行_06時39分_系統285,06:42:00,06:42:00,177_01,2,大久保（道の駅 経由）,0,0,1
月～土曜日運行_06時39分_系統285,06:43:00,06:43:00,305_01,3,大久保（道の駅 経由）,0,0,1
月～土曜日運行_06時39分_系統285,06:44:00,06:44:00,318_02,4,大久保（道の駅 経由）,0,0,1
月～土曜日運行_06時39分_系統285,06:45:00,06:45:00,317_01,5,大久保（道の駅 経由）,0,0,1
月～土曜日運行_06時39分_系統285,06:45:00,06:45:00,304_02,6,大久保,0,0,1
月～土曜日運行_06時39分_系統285,06:46:00,06:46:00,317_01,7,大久保,0,0,1
月～土曜日運行_06時39分_系統285,06:47:00,06:47:00,318_02,8,大久保,0,0,1
月～土曜日運行_06時39分_系統285,06:48:00,06:48:00,305_01,9,大久保,0,0,1
月～土曜日運行_06時39分_系統285,06:53:00,06:53:00,306_01,10,大久保,0,0,1
月～土曜日運行_06時39分_系統285,06:54:00,06:54:00,233_01,11,大久保,0,0,1
月～土曜日運行_06時39分_系統285,06:55:00,06:55:00,232_01,12,大久保,0,0,1
月～土曜日運行_06時39分_系統285,06:56:00,06:56:00,231_01,13,大久保,0,0,1
月～土曜日運行_06時39分_系統285,06:57:00,06:57:00,230_01,14,大久保,0,0,1
月～土曜日運行_06時39分_系統285,06:58:00,06:58:00,229_01,15,大久保,0,0,1
月～土曜日運行_06時39分_系統285,06:59:00,06:59:00,228_01,16,大久保,0,0,1
月～土曜日運行_06時39分_系統285,07:00:00,07:00:00,227_01,17,大久保,0,0,1
月～土曜日運行_06時39分_系統285,07:01:00,07:01:00,226_01,18,大久保,1,0,1
毎日運行1_06時41分_系統315,06:41:00,06:41:00,176_01,1,六日市駅（道の駅 経由）,0,1,1
毎日運行1_06時41分_系統315,06:44:00,06:44:00,177_01,2,六日市駅（道の駅 経由）,0,0,1
毎日運行1_06時41分_系統315,06:45:00,06:45:00,305_01,3,六日市駅（道の駅 経由）,0,0,1
毎日運行1_06時41分_系統315,06:46:00,06:46:00,318_02,4,六日市駅（道の駅 経由）,0,0,1
毎日運行1_06時41分_系統315,06:47:00,06:47:00,317_01,5,六日市駅（道の駅 経由）,0,0,1
毎日運行1_06時41分_系統315,06:47:00,06:47:00,304_02,6,六日市駅,0,0,1
毎日運行1_06時41分_系統315,06:47:00,06:47:00,303_01,7,六日市駅,0,0,1
毎日運行1_06時41分_系統315,06:51:00,06:51:00,307_01,8,六日市駅,0,0,1
毎日運行1_06時41分_系統315,06:55:00,06:55:00,321_01,9,六日市駅,0,0,1
毎日運行1_06時41分_系統315,06:55:00,06:55:00,311_01,10,六日市駅,0,0,1
毎日運行1_06時41分_系統315,06:55:00,06:55:00,320_01,11,六日市駅,0,0,1
毎日運行1_06時41分_系統315,06:56:00,06:56:00,310_02,12,六日市駅,0,0,1
毎日運行1_06時41分_系統315,06:57:00,06:57:00,308_02,13,六日市駅,0,0,1
毎日運行1_06時41分_系統315,06:59:00,06:59:00,647_02,14,六日市駅,0,0,1
毎日運行1_06時41分_系統315,07:00:00,07:00:00,649_02,15,六日市駅,0,0,1
毎日運行1_06時41分_系統315,07:00:00,07:00:00,651_02,16,六日市駅,0,0,1
毎日運行1_06時41分_系統315,07:01:00,07:01:00,653_02,17,六日市駅,0,0,1
毎日運行1_06時41分_系統315,07:02:00,07:02:00,655_02,18,六日市駅,0,0,1
毎日運行1_06時41分_系統315,07:02:00,07:02:00,657_02,19,六日市駅,0,0,1
毎日運行1_06時41分_系統315,07:03:00,07:03:00,659_01,20,六日市駅,0,0,1
毎日運行1_06時41分_系統315,07:04:00,07:04:00,661_02,21,六日市駅,0,0,1
毎日運行1_06時41分_系統315,07:05:00,07:05:00,663_02,22,六日市駅,1,0,1
毎日運行1_06時45分_系統271,06:45:00,06:45:00,262_01,1,尾川（深谷峡温泉・高根・道の駅・錦町駅・錦中学校前 経由）,0,1,1
毎日運行1_06時45分_系統271,06:46:00,06:46:00,263_01,2,尾川（深谷峡温泉・高根・道の駅・錦町駅・錦中学校前 経由）,0,0,1
毎日運行1_06時45分_系統271,06:47:00,06:47:00,264_01,3,尾川（深谷峡温泉・高根・道の駅・錦町駅・錦中学校前 経由）,0,0,1
毎日運行1_06時45分_系統271,06:48:00,06:48:00,265_01,4,尾川（深谷峡温泉・高根・道の駅・錦町駅・錦中学校前 経由）,0,0,1
