stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code,parent_station
1_01,,リフレまえだ病院前,,34.1027648261333,132.107248261857,1_01,,0,,
1_02,,リフレまえだ病院前,,34.1027398261333,132.107162547571,1_02,,0,,
2_01,,谷津上回転場,,34.1185881641,132.083457234,2_01,,0,,
3_01,,谷津上,,34.1148599482,132.080331599,3_01,,0,,
4_01,,欽明路回転場,,34.1090926996,132.112592352,4_01,,0,,
5_01,,欽明路,,34.1084577298,132.10922732,5_01,,0,,
5_02,,欽明路,,34.1084327298,132.10922732,5_02,,0,,
6_01,,谷津下,,34.1043702747,132.079507571,6_01,,0,,
7_01,,鞍掛住宅前,,34.1005162305,132.078316724,7_01,,0,,
8_01,,鞍掛,,34.0986350164,132.077550704,8_01,,0,,
9_01,,あいあいセンター,,34.0968889064,132.076974669,9_01,,0,,
10_01,,阿山上,,34.0966924855,132.074951809,10_01,,0,,
11_01,,久楽荘前,,34.0969884099,132.07329874,11_01,,0,,
12_01,,阿山北集会所前,,34.0964195462667,132.070751205381,12_01,,0,,
12_02,,阿山北集会所前,,34.0965195462667,132.070675014905,12_02,,0,,
13_01,,玖珂千束,,34.0954157929,132.066833621,13_01,,0,,
14_01,,臼田回転場,,34.1012229358,132.06332735,14_01,,0,,
15_01,,山口平成病院前,,34.1017761504333,132.05966888381,15_01,,0,,
15_02,,山口平成病院前,,34.1017094837667,132.05965936,15_02,,0,,
16_01,,臼田,,34.1005049933,132.058414206,16_01,,0,,
17_01,,臼田公会堂入口,,34.0968038482333,132.057774127571,17_01,,0,,
17_02,,臼田公会堂入口,,34.0968205149,132.057755079952,17_02,,0,,
18_01,,臼田高架下,,34.0984396077,132.055402386,18_01,,0,,
19_01,,東川,,34.0973481454,132.054732308,19_01,,0,,
20_01,,谷津下２区南,,34.0966850857,132.079145018,20_01,,0,,
21_01,,浄光寺前,,34.0945816584,132.078168566,21_01,,0,,
22_01,,萬久寺前,,34.0943795322,132.075597068,22_01,,0,,
23_01,,菅原神社前,,34.0928624798,132.072712644,23_01,,0,,
24_01,,周東千束,,34.0921866693,132.066701081,24_01,,0,,
25_01,,ザ・ビッグ周東店,,34.0903608489,132.061967954,25_01,,0,,
26_01,,千束公会堂前,,34.0922047156,132.060693518,26_01,,0,,
27_01,,総合センター日向（周東総合支所）,,34.0931100821333,132.05142904081,27_01,,0,,
27_02,,総合センター日向（周東総合支所）,,34.0930850821333,132.051467136048,27_02,,0,,
30_01,,中市,,34.0887016181,132.048167688,30_01,,0,,
33_01,,中央フード前,,34.0878787874,132.052136199,33_01,,0,,
34_01,,用田,,34.0830171758,132.04902926,34_01,,0,,
37_01,,桜づつみ公園,,34.0850475157,132.069116946,37_01,,0,,
38_01,,市成,,34.0859137758,132.074481868,38_01,,0,,
39_01,,上市上,,34.0907716366,132.057835227,39_01,,0,,
39_02,,上市上,,34.0907716366,132.057768560333,39_02,,0,,
40_01,,上市中,,34.090178186,132.054908633,40_01,,0,,
41_01,,パストラルホール,,34.0800169397333,132.048850299,41_01,,0,,
43_01,,北部ｺﾐｭﾆﾃｨｾﾝﾀｰ前,,34.1025193361,132.07997216,43_01,,0,,
44_01,,谷津下２区,,34.100535453,132.080243728,44_01,,0,,
45_01,,玖珂プール入口,,34.0991665915,132.080311231,45_01,,0,,
46_01,,善住寺前,,34.1020223297,132.082769611,46_01,,0,,
47_01,,谷津高架下,,34.1031151427,132.081555597,47_01,,0,,
