table_name,field_name,field_value,language,translation
stops,stop_name,リフレまえだ病院前,ja-Hrkt,りふれまえだびょういん
stops,stop_name,谷津上回転場,ja-Hrkt,やつかみかいてんば
stops,stop_name,谷津上,ja-Hrkt,やつかみ
stops,stop_name,欽明路回転場,ja-Hrkt,きんめいじかいてんば
stops,stop_name,欽明路,ja-Hrkt,きんめいじ
stops,stop_name,谷津下,ja-Hrkt,やつしも
stops,stop_name,鞍掛住宅前,ja-Hrkt,くらかけじゅうたくまえ
stops,stop_name,鞍掛,ja-Hrkt,くらかけ
stops,stop_name,あいあいセンター,ja-Hrkt,あいあいせんたー
stops,stop_name,阿山上,ja-Hrkt,あやまかみ
stops,stop_name,久楽荘前,ja-Hrkt,きゅうらくそうまえ
stops,stop_name,阿山北集会所前,ja-Hrkt,あやまきたしゅうかいしょまえ
stops,stop_name,玖珂千束,ja-Hrkt,くがせんぞく
stops,stop_name,臼田回転場,ja-Hrkt,うすだかいてんば
stops,stop_name,山口平成病院前,ja-Hrkt,やまぐちへいせいびょういんまえ
stops,stop_name,臼田,ja-Hrkt,うすだ
stops,stop_name,臼田公会堂入口,ja-Hrkt,うすだこうかいどういりぐち
stops,stop_name,臼田高架下,ja-Hrkt,うすだこうかした
stops,stop_name,東川,ja-Hrkt,ひがしかわ
stops,stop_name,谷津下２区南,ja-Hrkt,やつしもにくみなみ
stops,stop_name,浄光寺前,ja-Hrkt,じょうこうじまえ
stops,stop_name,萬久寺前,ja-Hrkt,まんきゅうじまえ
stops,stop_name,菅原神社前,ja-Hrkt,すがわらじんじゃまえ
stops,stop_name,周東千束,ja-Hrkt,しゅうとうせんぞく
stops,stop_name,ザ・ビッグ周東店,ja-Hrkt,ざ・びっぐしゅうとうてん
stops,stop_name,千束公会堂前,ja-Hrkt,せんぞくこうかいどうまえ
stops,stop_name,総合センター日向（周東総合支所）,ja-Hrkt,そうごうせんたーひなた
stops,stop_name,中市,ja-Hrkt,なかいち
stops,stop_name,中央フード前,ja-Hrkt,ちゅうおうふーどまえ
stops,stop_name,用田,ja-Hrkt,ようだ
stops,stop_name,桜づつみ公園,ja-Hrkt,さくらづつみこうえん
stops,stop_name,市成,ja-Hrkt,いちなり
stops,stop_name,上市上,ja-Hrkt,かみいちかみ
stops,stop_name,上市中,ja-Hrkt,かみいちかみなか
stops,stop_name,パストラルホール,ja-Hrkt,ぱすとらるほーる
stops,stop_name,北部ｺﾐｭﾆﾃｨｾﾝﾀｰ前,ja-Hrkt,ほくぶこみゅにてぃせんたー
stops,stop_name,谷津下２区,ja-Hrkt,やつしもにく
stops,stop_name,玖珂プール入口,ja-Hrkt,くがぷーるいりぐち
stops,stop_name,善住寺前,ja-Hrkt,ぜんじゅうじまえ
stops,stop_name,谷津高架下,ja-Hrkt,やつこうかした
stops,stop_name,ひまわり台入口,ja-Hrkt,ひまわりだいいりぐち
stops,stop_name,くが本町駐車場,ja-Hrkt,くがほんまちちゅうしゃじょう
stops,stop_name,台の橋住宅前,ja-Hrkt,だいのはしじゅうたくまえ
stops,stop_name,総合センター奏（玖珂支所）,ja-Hrkt,そうごうせんたーかなで（くがししょ）
stops,stop_name,アルク玖珂店,ja-Hrkt,あるくくがてん
stops,stop_name,野口下,ja-Hrkt,のぐちしも
stops,stop_name,丈六,ja-Hrkt,じょうろく
stops,stop_name,一の迫川,ja-Hrkt,いちのさこがわ
stops,stop_name,欽明路駅前,ja-Hrkt,きんめいじえきまえ
stops,stop_name,東部ｺﾐｭﾆﾃｨｾﾝﾀｰ前,ja-Hrkt,とうぶこみゅてぃせんたーまえ
stops,stop_name,下谷北,ja-Hrkt,しもだにきた
stops,stop_name,下谷中,ja-Hrkt,しもだになか
stops,stop_name,下谷南,ja-Hrkt,しもだにみなみ
stops,stop_name,上谷,ja-Hrkt,かみだに
stops,stop_name,上谷集会所前,ja-Hrkt,かみだにしゅうかいしょまえ
stops,stop_name,上谷東,ja-Hrkt,かみだにひがし
stops,stop_name,野口,ja-Hrkt,のぐち
stops,stop_name,柳井田下,ja-Hrkt,やないだしも
stops,stop_name,柳井田中,ja-Hrkt,やないだなか
stops,stop_name,柳井田上,ja-Hrkt,やないだかみ
stops,stop_name,柳井田上公会堂前,ja-Hrkt,やないだかみこうかいどうまえ
stops,stop_name,玖珂苑前,ja-Hrkt,くがえんまえ
stops,stop_name,本町上,ja-Hrkt,ほんまちかみ
stops,stop_name,玖珂総合公園,ja-Hrkt,くがそうごうこうえん
stops,stop_name,ｸﾞﾘｰﾝｵｱｼｽ,ja-Hrkt,ぐりーんおあしす
stops,stop_name,瀬田上北,ja-Hrkt,せだかみきた
stops,stop_name,笹見川橋北,ja-Hrkt,ささみがわばしきた
stops,stop_name,玖珂I・C前,ja-Hrkt,くがいんたーちぇんじまえ
stops,stop_name,比叡神社参道入口,ja-Hrkt,ひえいじんじゃさんどういりぐち
stops,stop_name,谷津上公会堂前,ja-Hrkt,やつかみこうかいどうまえ
stops,stop_name,松尾,ja-Hrkt,まつお
stops,stop_name,西郷,ja-Hrkt,さいごう
stops,stop_name,東郷,ja-Hrkt,とうごう
stops,stop_name,東,ja-Hrkt,ひがし
stops,stop_name,野外活動センター前,ja-Hrkt,やがいかつどうせんたーまえ
stops,stop_name,郷上,ja-Hrkt,ごうかみ
stops,stop_name,落合新橋,ja-Hrkt,おちあいしんばし
stops,stop_name,梅ノ木,ja-Hrkt,うめのき
stops,stop_name,川越公民館前,ja-Hrkt,かわごえこうみんかんまえ
stops,stop_name,檜余地下,ja-Hrkt,ひよぢしも
stops,stop_name,菅下,ja-Hrkt,すげした
stops,stop_name,上久杉,ja-Hrkt,かみくすぎ
stops,stop_name,北畑,ja-Hrkt,きたばた
stops,stop_name,周北小学校前,ja-Hrkt,しゅうほくしょうがっこうまえ
stops,stop_name,明神上,ja-Hrkt,みょうじんかみ
stops,stop_name,田代,ja-Hrkt,たしろ
stops,stop_name,小畑,ja-Hrkt,こばた
stops,stop_name,下小畑,ja-Hrkt,しもこばた
stops,stop_name,川上,ja-Hrkt,かわかみ
stops,stop_name,上中曽根,ja-Hrkt,かみなかそね
stops,stop_name,米川橋,ja-Hrkt,よねがわばし
stops,stop_name,米川小学校前,ja-Hrkt,よねがわしょうがっこうまえ
stops,stop_name,高森苑前,ja-Hrkt,たかもりえんまえ
stops,stop_name,下中曽根,ja-Hrkt,しもなかそね
stops,stop_name,城山公園前,ja-Hrkt,しろやまこうえんまえ
stops,stop_name,周防高森駅,ja-Hrkt,すおうたかもりえき
stops,stop_name,泉町,ja-Hrkt,いずみまち
stops,stop_name,高森小学校前,ja-Hrkt,たかもりしょうがっこうまえ
stops,stop_name,下川上,ja-Hrkt,しもかわかみ
stops,stop_name,南方,ja-Hrkt,みなみがた
stops,stop_name,松井医院前,ja-Hrkt,まついいいんまえ
stops,stop_name,久田,ja-Hrkt,くでん
stops,stop_name,久宗,ja-Hrkt,きゅうそう
stops,stop_name,中久宗,ja-Hrkt,なかきゅうそう
stops,stop_name,上久宗,ja-Hrkt,かみきゅうそう
stops,stop_name,周東南総合センター前,ja-Hrkt,しゅうとうみなみそうごうせんたーまえ
stops,stop_name,栄町,ja-Hrkt,さかえまち
stops,stop_name,神幡,ja-Hrkt,かみはた
stops,stop_name,梶屋団地前,ja-Hrkt,かじやだんちまえ
stops,stop_name,通化寺前,ja-Hrkt,つうけいじまえ
stops,stop_name,午王ノ内,ja-Hrkt,ごうのうち
stops,stop_name,下差川,ja-Hrkt,しもさすがわ
stops,stop_name,井堀,ja-Hrkt,いぼり
stops,stop_name,米川駅前,ja-Hrkt,よねかわえきまえ
stops,stop_name,蛍橋,ja-Hrkt,ほたるばし
stops,stop_name,本田橋,ja-Hrkt,ほんだばし
stops,stop_name,中差川,ja-Hrkt,なかさすがわ
stops,stop_name,鳴川集会所前,ja-Hrkt,なるかわしゅうかいしょまえ
stops,stop_name,修成小学校前,ja-Hrkt,しゅうせいしょうがっこうまえ
stops,stop_name,中島橋,ja-Hrkt,なかじまばし
stops,stop_name,中山湖前,ja-Hrkt,なかやまこまえ
stops,stop_name,中田小学校前,ja-Hrkt,なかたしょうがっこうまえ
stops,stop_name,田尻,ja-Hrkt,たじり
stops,stop_name,玖珂駅,ja-Hrkt,くがえき
stops,stop_name,上古市,ja-Hrkt,かみふるいち
