route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,direction_id,shape_id,bikes_allowed
松尾線_A,毎日運行1,毎日運行1_06時00分_系統61,岩国駅（錦帯橋 経由）,,,1,61,0
茅原線_A,月・水・金曜日運行,月・水・金曜日運行_06時22分_系統181,河山駅（ほんごう保育園前 経由）,,,1,181,0
府谷線_A,月～土曜日運行,月～土曜日運行_06時39分_系統285,大久保（道の駅 経由）,,,0,285,0
六日市線_A,毎日運行1,毎日運行1_06時41分_系統315,六日市駅（道の駅 経由）,,,0,315,0
高根線_A,毎日運行1,毎日運行1_06時45分_系統271,尾川（深谷峡温泉 経由）,,,1,271,0
玖西循環線_A,月～土曜日運行,月～土曜日運行_06時49分_系統332,玖珂駅（総合センター日向（周東総合支所） 経由）,,,0,332,0
由宇地区バス（舟木～由宇駅前）_A,月～土曜日運行,月～土曜日運行_07時00分_系統471,由宇中学校正門（清華保育園前 経由）,,,1,471,0
小郷線_A,月～土曜日運行,月～土曜日運行_07時01分_系統51,わかば台（小郷橋 経由）,,,1,51,0
松尾線_A,毎日運行1,毎日運行1_07時04分_系統62,鮎谷（西岩国 経由）,,,0,62,0
由宇地区バス（笠塚カープ練習場前～相地）_A,毎日運行,毎日運行_07時04分_系統461,由宇駅前（老人福祉センター前 経由）,,,1,461,0
府谷線_A,月～土曜日運行,月～土曜日運行_07時06分_系統281,道の駅,,,1,281,0
河山駅・本郷・鮎谷線_A,毎日運行1,毎日運行1_07時07分_系統174,ほんごう保育園前,,,0,174,0
由宇地区バス（笠塚カープ練習場前～相地）_A,毎日運行,毎日運行_07時09分_系統464,由宇中学校正門（由宇駅前 経由）,,,0,464,0
六日市線_A,毎日運行1,毎日運行1_07時10分_系統311,道の駅,,,1,311,0
錦中央医院線_A,月・水・金曜日運行,月・水・金曜日運行_07時11分_系統162,錦中央病院前（美川支所 経由）,,,1,162,0
錦中央医院線_A,月・水・金曜日運行,月・水・金曜日運行_07時11分_系統161,錦中央病院前（美川支所 経由）,,,1,161,0
大三郎線_A,月～土曜日運行,月～土曜日運行_07時15分_系統45,美和小学校前（黒沢 経由）,,,1,45,0
祖生末元線_A,月・火・水・金曜日運行,月・火・水・金曜日運行_07時15分_系統431,玖珂駅（総合センター日向（周東総合支所） 経由）,,,1,431,0
秋中線_A,毎日運行1,毎日運行1_07時16分_系統11,坂上分校前（秋中 経由）,,,1,11,0
欽明路・上谷線_A,月・木・金・土曜日運行,月・木・金・土曜日運行_07時16分_系統371,玖珂駅（リフレまえだ病院前 経由）,,,1,371,0
賀見畑線_A,月～土曜日運行,月～土曜日運行_07時18分_系統35,坂上分校前（賀見畑 経由）,,,1,35,0
駄床線_A,月～土曜日運行,月～土曜日運行_07時25分_系統641,美和小学校前（周防坂上 経由）,,,1,641,0
六日市線_A,火・木・金曜日運行,火・木・金曜日運行_07時27分_系統316,六日市駅,,,0,316,0
河山駅・本郷・鮎谷線_A,毎日運行1,毎日運行1_07時28分_系統171,ﾊｰﾓﾆｰみわ（岡口 経由）,,,1,171,0
中田線_A,月・火・水・金曜日運行,月・火・水・金曜日運行_07時31分_系統381,周防高森駅,,,1,381,0
毛明線_A,火日運行,火日運行_07時31分_系統391,周防高森駅（総合センター日向（周東総合支所） 経由）,,,1,391,0
高根線_A,毎日運行1,毎日運行1_07時33分_系統275,高根,,,0,275,0
小郷線_A,月～土曜日運行,月～土曜日運行_07時35分_系統58,坂上分校前（小郷橋 経由）,,,0,58,0
祖生天兼線_A,月・火・水・金曜日運行,月・火・水・金曜日運行_07時40分_系統452,天兼,,,0,452,0
由宇地区バス（笠塚カープ練習場前～相地）_A,毎日運行,毎日運行_07時49分_系統465,笠塚カープ練習場前（清華保育園前 経由）,,,0,465,0
河山駅・本郷・鮎谷線_A,毎日運行1,毎日運行1_07時50分_系統175,ほんごう保育園前（美和病院前 経由）,,,0,175,0
由宇地区バス（笠塚カープ練習場前～相地）_A,毎日運行,毎日運行_07時51分_系統462,相地（老人福祉センター前 経由）,,,1,462,0
玖西循環線_A,毎日運行4,毎日運行4_07時54分_系統331,玖珂駅（総合センター奏（玖珂支所） 経由）,,,1,331,0
上市北・千束線_A,月・木・金・土曜日運行,月・木・金・土曜日運行_07時56分_系統363,玖珂千束（阿山地下道入口南 経由）,,,0,363,0
六日市線_A,火・木・金曜日運行,火・木・金曜日運行_07時56分_系統312,錦中学校前（道の駅 経由）,,,1,312,0
高根線_A,毎日運行1,毎日運行1_07時57分_系統272,錦中学校前（道の駅 経由）,,,1,272,0
府谷線_A,月・水・土曜日運行,月・水・土曜日運行_07時58分_系統282,錦中学校前（道の駅 経由）,,,1,282,0
谷津上線_A,火・水・木・土曜日運行,火・水・木・土曜日運行_08時00分_系統352,谷津上回転場（旧玖珂総合支所 経由）,,,0,352,0
米川線_A,月・火・水・金曜日運行,月・火・水・金曜日運行_08時04分_系統443,総合センター日向（周東総合支所）（周防高森駅 経由）,,,1,443,0
高根線_A,毎日運行1,毎日運行1_08時04分_系統276,深谷峡温泉（あさぎりの郷 経由）,,,0,276,0
川越線_A,月・火・水曜日運行,月・火・水曜日運行_08時07分_系統413,周防高森駅,,,1,413,0
毛明線_A,金曜日運行,金曜日運行_08時09分_系統403,周防高森駅,,,,403,0
河山駅・本郷・鮎谷線_A,毎日運行1,毎日運行1_08時10分_系統172,河山駅,,,1,172,0
上市北・千束線_A,月・木・金・土曜日運行,月・木・金・土曜日運行_08時12分_系統361,玖珂駅（総合センター奏(玖珂支所) 経由）,,,1,361,0
美川地域線_A,月～土曜日運行,月～土曜日運行_08時13分_系統191,根笠駅前（河山駅 経由）,,,1,191,0
祖生天兼線_A,月・火・水・金曜日運行,月・火・水・金曜日運行_08時15分_系統451,旧玖珂総合支所（玖珂駅 経由）,,,1,451,0
野谷線_A,月・木曜日運行,月・木曜日運行_08時15分_系統301,錦町駅,,,1,301,0
叶木線_A,月・木曜日運行,月・木曜日運行_08時17分_系統611,岩国駅（欽明路 経由）,,,1,611,0
谷津上線_A,火・水・木・土曜日運行,火・水・木・土曜日運行_08時18分_系統351,玖珂駅（旧玖珂総合支所 経由）,,,1,351,0
美和病院線　秋中釜ヶ原方面（賀見畑経由）_A,木曜日運行,木曜日運行_08時20分_系統71,坂上駐在所跡（大田原分 経由）,,,1,71,0
美和病院線　長谷畑方面線_A,月曜日運行,月曜日運行_08時20分_系統133,美和総合支所（日宛西 経由）,,,1,133,0
