どんな場所ですか？,誰に教えたいですか？,どんなことを伝える情報ですか？,どれくらい伝えたい情報ですか？,経度,緯度,画像
【防犯】危険な場所,子ども,木で囲まれているからまわりからみえずらいので1人で遊ばず、友達と遊んだ方が良いです。暗くなる前に帰ってください。,絶対に伝えたい,131.8253404,34.04962978,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_013.jpeg
【防犯】危険な場所,子ども,"夜は、暗くて危険なので大人の人と行く
朝は、人が歩いているので朝は安全です。",伝えたい,131.8240233,34.04999336,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_023.jpeg
【防犯】危険な場所,子ども,"見通しが悪く街灯が無くて野犬が出てくる確率が高いです。
でも、昼間は明るいので多人数で来たら安全です。",絶対に伝えたい,131.8288244,34.04491252,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_031.jpeg
【防犯】危険な場所,地域のみんな,ウォーキングができるけど木がたくさんあって危険です。,絶対に伝えたい,131.8288837,34.04497481,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_044.jpeg
【防犯】危険な場所,地域のみんな,夜に行くと野犬が入る可能性があるのでなるべく大人と行く。,伝えたい,131.8338503,34.04988762,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_047.jpeg
【防犯】危険な場所,子ども,なるべく1人で遊ばないようにしましょう。,伝えたい,131.8338362,34.04993232,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_050.jpeg
【防犯】危険な場所,地域のみんな,野犬が多くて、危ないから見かけたらすぐに逃げる。,絶対に伝えたい,131.833516,34.0505575,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_054.jpeg
【防犯】危険な場所,子ども,1人で遊ばないようにする夜にはいかない。,絶対に伝えたい,131.8316087,34.05015483,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_062.jpeg
【防犯】危険な場所,子ども,不審者が出るかもしれないので歩く時は気をつけてください。,絶対に伝えたい,131.8321997,34.04627552,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_073.jpeg
【防犯】危険な場所,地域のみんな,やけんが多いのでなるべく近づかないようにしましょう。,伝えたい,131.8321216,34.05065764,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_075.jpeg
【防犯】危険な場所,子ども,木や暗い場所には、近づかないようにしましょう。,伝えたい,131.8317883,34.05017576,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_081.jpeg
【防犯】危険な場所,地域のみんな,夜になると野犬が出るので気をつけてください。,絶対に伝えたい,131.8252822,34.0497528,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_shuyosyo_map_image/safemap_shuyo_045.jpeg
