どんな場所ですか？,誰に教えたいですか？,どんなことを伝える情報ですか？,どれくらい伝えたい情報ですか？,経度,緯度,画像
【交通】危険な場所,"子ども,大人,お年寄り,地域のみんな",ウェルディー若草の近く  自転車が止まりにくいから気をつけたほうがいいと思う。,伝えたい,131.8181014,34.04634578,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_002.jpeg
【交通】危険な場所,"子ども,地域のみんな",遠石小の裏の通路　車、子供が飛び出したりするから危ない。,伝えたい,131.81832,34.04325798,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_003.jpeg
【交通】危険な場所,地域のみんな,村田建設の近く。みぞがあり、夜見えないので危ない。,伝えたい,131.8140374,34.04293163,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_007.jpeg
【交通】危険な場所,地域のみんな,キーセンタータナベの横断歩道　信号がなくて飛び出したら危ない,絶対に伝えたい,131.8209421,34.04033838,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_012.jpeg
【交通】危険な場所,地域のみんな,二幸の近くの横断歩道　　　　　　　　ここは信号がないし、車の通りが多いから危ないです。,絶対に伝えたい,131.8169814,34.04360622,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_021.jpeg
【交通】危険な場所,地域のみんな,キーセンタータナベの横断歩道　横断歩道を渡るときに子供が飛び出してきて危ない。交通量が多い。左右を確認して、手を上げて渡ろう。,絶対に伝えたい,131.8205443,34.03982689,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_028.jpeg
【交通】危険な場所,地域のみんな,医師会病院と万葉の森の間の道路　　　　　　　　　　　　　　　　全方面から車がくるから危ないです。車通りも多いです。,絶対に伝えたい,131.8159627,34.04828797,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_031.jpeg
【交通】危険な場所,地域のみんな,保険ひろば近くの交差点　交通量が多いため、事件が起きやすい。,伝えたい,131.8259495,34.03724631,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_032.jpeg
【交通】危険な場所,"子ども,大人,お年寄り,地域のみんな",あきた建設の近く　あきた建設の前かべで見えにくいし、ミラーとかがないから気をつけたらいいと思う。,伝えたい,131.8169208,34.0472717,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_035.jpeg
【交通】危険な場所,地域のみんな,"線路に入れて危険。
",伝えたい,131.8115171,34.04430478,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_036.jpeg
【交通】危険な場所,"子ども,大人",フレンドパークの近く　野犬が出る。,絶対に伝えたい,131.8272444,34.04363716,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_039.jpeg
【交通】危険な場所,子ども,横浜緑地公園の近くのトンネル　　暗くて、死角だからみえにくいし、自転車との衝突事故が起こるかもしれない。,絶対に伝えたい,131.8258639,34.03699455,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_040.jpeg
