どんな場所ですか？,誰に教えたいですか？,どんなことを伝える情報ですか？,どれくらい伝えたい情報ですか？,経度,緯度,画像
【防犯】危険な場所,"子ども,大人",ハイツあきたkunの近く　ゆうかいされそうだから行かない方がいいと思う。,伝えたい,131.8174118,34.04664259,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_027.jpeg
【防犯】危険な場所,子ども,近道　近道になっていて道が細い。暗くなると危ないから、通らない方がいい。,伝えたい,131.8198874,34.04063043,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_034.jpeg
【防犯】危険な場所,地域のみんな,周南フレンドパークの近く…野犬がたくさん出るので、夜に1人で通らない。,絶対に伝えたい,131.8236165,34.04159489,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_058.jpeg
【防犯】危険な場所,子ども,万葉の森の近くの柵の奥　　　　　　　　　　　暗くてこける可能性がある。不審者がいる可能性がある。,伝えたい,131.8172773,34.04921509,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_060.jpeg
【防犯】危険な場所,地域のみんな,栄光岩　鳥居に石を乗っけたら良いことがある、などの言い伝えがある。砥石に訪れた時は1度でも挑戦してみてほしい。,絶対に伝えたい,131.8213268,34.04001788,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_065.jpeg
【防犯】危険な場所,地域のみんな,五月町の3階の建物…朝早い時や夕方に野犬の群れがいるから気をつけて通る。,伝えたい,131.8279964,34.0369787,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_075.jpeg
【防犯】危険な場所,地域のみんな,遠石集会所の付近…野犬が夕方になると出てくるから、1人で通らないほうがいい,絶対に伝えたい,131.8236165,34.04159489,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_085.jpeg
【防犯】危険な場所,地域のみんな,大迫田墓地公園…野犬の群れが出るから気をつける。,絶対に伝えたい,131.8354633,34.03915564,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_090.jpeg
【防犯】危険な場所,子ども,お墓の近くの廃墟だらけの場所　　　　　　　興味本位で入るのは注意。人気がないので危ない。すごく暗い。,絶対に伝えたい,131.8208022,34.04382466,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_093.jpeg
【防犯】危険な場所,地域のみんな,万葉の森のキャンプ場　　　　　　　野犬が出るかもしれない。だけど昼はたくさん遊べる。夜は不審者が出るかもしれない。,伝えたい,131.8207204,34.04898454,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_105.jpeg
【防犯】危険な場所,子ども,オーヴィジョン遠石付近…夜に野犬が多いので気をつけたほうがいい。,伝えたい,131.82605,34.0388415,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_113.jpeg
【防犯】危険な場所,子ども,フレンドパークに行く近道　野犬がでやすい。暗くなると危険。,伝えたい,131.8260508,34.04284562,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_117.jpeg
【防犯】危険な場所,地域のみんな,"周南市福祉センターの近く
夜に見えずらくて不審者がいそう。",伝えたい,131.8097494,34.04628959,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_135.jpeg
【防犯】危険な場所,子ども,ヴェルディー若草の裏の通路　道が狭くあまり見通しが良く無いので、不審者が出るかも知れない。,伝えたい,131.8183135,34.0463943,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_137.jpeg
【防犯】危険な場所,地域のみんな,"墓の近くの近道
暗くなったら野犬が出る。陸上競技場への近道。
暗くなったら通らない。",絶対に伝えたい,131.8242931,34.04263213,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_150.jpeg
【防犯】危険な場所,子ども,"速玉公園
人目につかない",伝えたい,131.8097779,34.04543387,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_168.jpeg
【防犯】危険な場所,子ども,"福原醤油の近くの細い道
日が暮れたときに、道が細いし、暗いし、怪しい人が出てくるかもしれない。
日が暮れたときには通らない方が良い",絶対に伝えたい,131.8216402,34.03939948,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_174.jpeg
【防犯】危険な場所,地域のみんな,空き家　もしかしたら不審者が潜んで居るかもしれない,伝えたい,131.8137773,34.04545264,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_181.jpeg
【防犯】危険な場所,地域のみんな,"創価学会の近く
段差があって危ない。段差があるところを通らない方がいい。",絶対に伝えたい,131.8231286,34.04365368,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_184.jpeg
【防犯】危険な場所,"子ども,お年寄り",　細山田弓具店の近くの坂の裏道　人通りが少なく影でいつでもとても暗い。,伝えたい,131.818486,34.04331908,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_185.jpeg
