どんな場所ですか？,誰に教えたいですか？,どんなことを伝える情報ですか？,どれくらい伝えたい情報ですか？,経度,緯度,画像
地域のおすすめ箇所,地域のみんな,えいこう岩　遠石八幡宮の近くにあり、昔神様がおりたという言い伝えがあります。,伝えたい,131.8214042,34.04010378,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_001.jpeg
地域のおすすめ箇所,地域のみんな,菓子の木　ケーキが美味しい。,伝えたい,131.8213579,34.04125139,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_004.jpeg
地域のおすすめ箇所,地域のみんな,グランドヒルズ若草　　　　　　きれいです。,どちらでもよい,131.8192994,34.04758087,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_005.jpeg
地域のおすすめ箇所,地域のみんな,木の周りに付いている真っ赤な葉が綺麗。,伝えたい,131.8161998,34.04183986,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_006.jpeg
地域のおすすめ箇所,子ども,ロケット公園　遊具は少ししかないけど、珍しい遊具があるし、意外と広いから思いっきり遊べる。鬼ごっこがオススメ,伝えたい,131.8245214,34.03892909,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_008.jpeg
地域のおすすめ箇所,"子ども,地域のみんな",ひろ文　学校の近くにある。おばちゃんが優しい。種類が豊富で文具も売っている駄菓子屋。,伝えたい,131.8173521,34.04301977,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_009.jpeg
地域のおすすめ箇所,地域のみんな,ニレ　可愛く、カッコよく髪を切ってくれる、とてもオススメな場所です。,絶対に伝えたい,131.8139457,34.04819781,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_010.jpeg
地域のおすすめ箇所,"子ども,大人,地域のみんな",大吉　美味しい焼き鳥屋さん。たくさん種類があってオードブルも頼める。,絶対に伝えたい,131.8238697,34.0453248,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_014.jpeg
地域のおすすめ箇所,地域のみんな,遠石緑地　紅葉が綺麗だからぜひ見に来てほしい。,伝えたい,131.8175369,34.04136588,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_015.jpeg
地域のおすすめ箇所,地域のみんな,遠石八幡宮　お参りができる。カフェがある。結婚式、七五三ができる。,絶対に伝えたい,131.8231883,34.03990593,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_017.jpeg
地域のおすすめ箇所,地域のみんな,テラス東山　小さい公園があります。人と話したり、ゆっくり休んだり出来ます。,絶対に伝えたい,131.8169156,34.04818998,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_018.jpeg
地域のおすすめ箇所,"子ども,地域のみんな",上遠石公園　地域のみんなで草抜きをする時があるから公園が綺麗。ベンチや机もある。,絶対に伝えたい,131.8215832,34.04417947,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_022.jpeg
地域のおすすめ箇所,"子ども,大人,お年寄り,地域のみんな",菓子乃木　美味しいスイーツ、お菓子が売ってある。お店でも食べることができる。,絶対に伝えたい,131.8212971,34.04034314,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_023.jpeg
地域のおすすめ箇所,地域のみんな,ユメタウン徳山　買い物もでき、災害時には避難ができ、おすすめ。,絶対に伝えたい,131.8156764,34.04257202,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_024.jpeg
地域のおすすめ箇所,地域のみんな,医師会病院　大きい病院でで、誰でも行くことができます。,絶対に伝えたい,131.81621,34.05035123,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_025.jpeg
地域のおすすめ箇所,地域のみんな,周南フレンドパーク　いろんな遊具があって楽しい。広い。いろんな遊びができます。,伝えたい,131.8265866,34.04317628,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_026.jpeg
地域のおすすめ箇所,地域のみんな,コスモス　どれも安くて。店の色がピンクで分かりやすい。,絶対に伝えたい,131.8231895,34.04330102,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_029.jpeg
