どんな場所ですか？,誰に教えたいですか？,どんなことを伝える情報ですか？,どれくらい伝えたい情報ですか？,経度,緯度,画像
【交通】危険な場所,子ども,横になって歩かないように気をつけてください。,伝えたい,131.8286768,34.04657389,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_002.jpeg
【交通】危険な場所,地域のみんな,工事をしているので大型車の出入りがたくさんあるから、よく見て通ってください。,伝えたい,131.8288264,34.04669215,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_003.jpeg
【交通】危険な場所,地域のみんな,飛び出さないように気をつけてください。,伝えたい,131.8290211,34.04592163,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_005.jpeg
【交通】危険な場所,子ども,車がよくとおるからよく見てわたる。,伝えたい,131.8314585,34.04815643,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_006.jpeg
【交通】危険な場所,子ども,車の通りが多くてとても危険です。,伝えたい,131.8277856,34.05092496,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_007.jpeg
【交通】危険な場所,地域のみんな,穴があってつまずくからよく見て通ってください。,伝えたい,131.8286105,34.04649181,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_010.jpeg
【交通】危険な場所,地域のみんな,緊急車両が急に飛び出すため、あまり前を通らないように気を付けましょう。,伝えたい,131.8295763,34.04560765,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_011.jpeg
【交通】危険な場所,地域のみんな,車の交通量が多いからよく右左を見てわたってください。,絶対に伝えたい,131.8290305,34.04588803,
【交通】危険な場所,子ども,車の近くをとおらないほうが良い。,伝えたい,131.8320353,34.0481096,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_015.jpeg
【交通】危険な場所,地域のみんな,緊急車両の発車があるかもしれないから注意して通ってください。,伝えたい,131.8295863,34.0455019,
