どんな場所ですか？,誰に教えたいですか？,どんなことを伝える情報ですか？,どれくらい伝えたい情報ですか？,経度,緯度,画像
【防犯】危険な場所,地域のみんな,街灯がなくて、人通りが少なくて危険です。気を付けてください。,どちらでもよい,131.8273367,34.05104347,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_016.jpeg
【防犯】危険な場所,子ども,野犬や、野良猫をよく見かけるので、見かけたらすぐ逃げてくだい。,伝えたい,131.8270879,34.04882049,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_017.jpeg
【防犯】危険な場所,子ども,木が多くて視界がわるいです。なので、暗くなる前に帰りましょう。,伝えたい,131.8294716,34.04550936,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_019.jpeg
【防犯】危険な場所,子ども,木が多い場所や暗い場所があるから気をつけて遊ぼう。,絶対に伝えたい,131.8295487,34.04540508,
【防犯】危険な場所,地域のみんな,街灯がなくて暗いので、交通で危険です。また、人通りが少ないので、防犯も危険です。,絶対に伝えたい,131.8247881,34.05272358,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_037.jpeg
【防犯】危険な場所,子ども,街灯が少ないので夜一人で歩かない方がよい。,絶対に伝えたい,131.8361625,34.04978895,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_058.jpeg
【防犯】危険な場所,子ども,人通りが少なくて、1人で遊ばない方がよい。,絶対に伝えたい,131.8338134,34.04980307,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_066.jpeg
【防犯】危険な場所,子ども,暗いから通る時は子供だけで行かないようにしましょう。,絶対に伝えたい,131.8303484,34.04813561,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_075.jpeg
【防犯】危険な場所,地域のみんな,街灯が少ないので夜暗くなります。夜は歩かないようにしましょう,絶対に伝えたい,131.8341425,34.04951991,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_090.jpeg
【防犯】危険な場所,子ども,夜一人で歩かないほうがよい。,伝えたい,131.8325013,34.04863387,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_091.jpeg
【防犯】危険な場所,地域のみんな,よく野犬が出るので一人で歩かないようにしましょう,絶対に伝えたい,131.8339379,34.04989951,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_092.jpeg
【防犯】危険な場所,地域のみんな,人通りが少ないので歩かないようにしましょう。,伝えたい,131.8324963,34.05137378,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_097.jpeg
