どんな場所ですか？,誰に教えたいですか？,どんなことを伝える情報ですか？,どれくらい伝えたい情報ですか？,経度,緯度,画像
地域のおすすめ箇所,地域のみんな,自然がきれいで人通りも多く、安全です。,絶対に伝えたい,131.8298544,34.04972224,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_001.jpeg
地域のおすすめ箇所,地域のみんな,自然がとても多くきれいで、家も多くて安全です。,伝えたい,131.8281013,34.04843767,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_013.jpeg
地域のおすすめ箇所,地域のみんな,緊急避難場所でもあり、遊具があるからおすすめ。,絶対に伝えたい,131.8352197,34.04866303,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_042.jpeg
地域のおすすめ箇所,地域のみんな,自然がたくさんあって気分転換も出来ます。,伝えたい,131.8311378,34.04615203,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_043.jpeg
地域のおすすめ箇所,地域のみんな,防犯と災害と交通で安全です。困った時には来るといいです。,絶対に伝えたい,131.828605,34.04741358,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_060.jpeg
地域のおすすめ箇所,地域のみんな,イチョウの木が並んでいて、とてもきれいで、おすすめです。,伝えたい,131.8264547,34.04936543,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_064.jpeg
地域のおすすめ箇所,地域のみんな,本屋さんや、飲食店など、さまざまなお店があっておすすめです。,伝えたい,131.8299271,34.04884394,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_068.jpeg
地域のおすすめ箇所,地域のみんな,みはらしがよくて安全。,絶対に伝えたい,131.8323014,34.04857577,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_084.jpeg
地域のおすすめ箇所,子ども,しっかり整備されていて、人通りが多くて安全。,伝えたい,131.8318842,34.0484119,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_088.jpeg
地域のおすすめ箇所,子ども,人通りが多く、子どもが楽しく遊べる。,伝えたい,131.8271049,34.04896089,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_094.jpeg
地域のおすすめ箇所,地域のみんな,お店がたくさんあるので、ぜひ行ってみてください。,絶対に伝えたい,131.8311138,34.04841354,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_095.jpeg
地域のおすすめ箇所,地域のみんな,見通しがいいので通ってみてください。,どちらでもよい,131.8323539,34.04900009,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_099.jpeg
地域のおすすめ箇所,子ども,遊べるので遊んでみてください。,伝えたい,131.8320771,34.04932487,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R6_shuyosyo_map_image/shuyo_100.jpeg
地域のおすすめ箇所,地域のみんな,お店がたくさんあるので安全です。,伝えたい,131.8304835,34.04877979,
