service_id,date,exception_type
土日祝日（広域）,20250429,1
土日祝日（広域）,20250505,1
土日祝日（広域）,20250506,1
土日祝日（広域）,20250721,1
土日祝日（広域）,20250811,1
土日祝日（広域）,20250915,1
土日祝日（広域）,20250923,1
土日祝日（広域）,20251013,1
土日祝日（広域）,20251103,1
土日祝日（広域）,20251124,1
土日祝日（広域）,20251229,1
土日祝日（広域）,20251230,1
土日祝日（広域）,20251231,1
土日祝日（広域）,20260101,1
土日祝日（広域）,20260102,1
土日祝日（広域）,20260103,1
土日祝日（広域）,20260112,1
土日祝日（広域）,20260211,1
土日祝日（広域）,20260223,1
土日祝日（広域）,20260320,1
平日（ぐるりん）,20250429,2
平日（ぐるりん）,20250505,2
平日（ぐるりん）,20250506,2
平日（ぐるりん）,20250721,2
平日（ぐるりん）,20250811,2
平日（ぐるりん）,20250915,2
平日（ぐるりん）,20250923,2
平日（ぐるりん）,20251013,2
平日（ぐるりん）,20251103,2
平日（ぐるりん）,20251124,2
平日（ぐるりん）,20260101,2
平日（ぐるりん）,20260112,2
平日（ぐるりん）,20260211,2
平日（ぐるりん）,20260223,2
平日（ぐるりん）,20260320,2
平日（広域）,20250429,2
平日（広域）,20250505,2
平日（広域）,20250506,2
平日（広域）,20250721,2
平日（広域）,20250811,2
平日（広域）,20250915,2
平日（広域）,20250923,2
平日（広域）,20251013,2
平日（広域）,20251103,2
平日（広域）,20251124,2
平日（広域）,20251229,2
平日（広域）,20251230,2
平日（広域）,20251231,2
平日（広域）,20260101,2
平日（広域）,20260102,2
平日（広域）,20260103,2
平日（広域）,20260112,2
平日（広域）,20260211,2
平日（広域）,20260223,2
平日（広域）,20260320,2
