trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
1毎日_06時35分_系統212,06:35:00,06:35:00,19_01,1,佐田上,0,1,1
1毎日_06時35分_系統212,06:36:00,06:36:00,21_01,2,佐田上,0,0,1
1毎日_06時35分_系統212,06:38:00,06:38:00,22_01,3,佐田上,0,0,1
1毎日_06時35分_系統212,06:39:00,06:39:00,23_01,4,佐田上,0,0,1
1毎日_06時35分_系統212,06:41:00,06:41:00,24_01,5,佐田上,0,0,1
1毎日_06時35分_系統212,06:42:00,06:42:00,25_01,6,佐田上,0,0,1
1毎日_06時35分_系統212,06:44:00,06:44:00,26_01,7,佐田上,0,0,1
1毎日_06時35分_系統212,06:45:00,06:45:00,27_01,8,佐田上,0,0,1
1毎日_06時35分_系統212,06:47:00,06:47:00,28_01,9,佐田上,0,0,1
1毎日_06時35分_系統212,06:48:00,06:48:00,29_01,10,佐田上,0,0,1
1毎日_06時35分_系統212,06:49:00,06:49:00,30_02,11,岩田駅前,0,0,1
1毎日_06時35分_系統212,06:50:00,06:50:00,29_02,12,岩田駅前,0,0,1
1毎日_06時35分_系統212,06:51:00,06:51:00,28_02,13,岩田駅前,0,0,1
1毎日_06時35分_系統212,06:53:00,06:53:00,27_02,14,岩田駅前,0,0,1
1毎日_06時35分_系統212,06:54:00,06:54:00,26_02,15,岩田駅前,0,0,1
1毎日_06時35分_系統212,06:56:00,06:56:00,25_02,16,岩田駅前,0,0,1
1毎日_06時35分_系統212,06:57:00,06:57:00,24_02,17,岩田駅前,0,0,1
1毎日_06時35分_系統212,06:59:00,06:59:00,23_02,18,岩田駅前,0,0,1
1毎日_06時35分_系統212,07:00:00,07:00:00,22_02,19,岩田駅前,0,0,1
1毎日_06時35分_系統212,07:02:00,07:02:00,21_01,20,岩田駅前,0,0,1
1毎日_06時35分_系統212,07:03:00,07:03:00,19_01,21,岩田駅前,1,0,1
1毎日_07時03分_系統312,07:03:00,07:03:00,19_01,1,中岩田方面,0,1,1
1毎日_07時03分_系統312,07:06:00,07:06:00,41_01,2,中岩田方面,0,0,1
1毎日_07時03分_系統312,07:07:00,07:07:00,42_01,3,中岩田方面,0,0,1
1毎日_07時03分_系統312,07:08:00,07:08:00,43_01,4,中岩田方面,0,0,1
1毎日_07時03分_系統312,07:11:00,07:11:00,52_01,5,大和病院前,0,0,1
1毎日_07時03分_系統312,07:14:00,07:14:00,32_02,6,大和病院前,0,0,1
1毎日_07時03分_系統312,07:15:00,07:15:00,19_01,7,大和病院前,0,0,1
1毎日_07時03分_系統312,07:16:00,07:16:00,21_01,8,大和病院前,0,0,1
1毎日_07時16分_系統412,07:16:00,07:16:00,21_01,1,市,0,1,1
1毎日_07時16分_系統412,07:17:00,07:17:00,19_01,2,市,0,0,1
1毎日_07時16分_系統412,07:22:00,07:22:00,53_01,3,大和病院前,0,0,1
1毎日_07時16分_系統412,07:23:00,07:23:00,54_01,4,大和病院前,0,0,1
1毎日_07時16分_系統412,07:26:00,07:26:00,19_01,5,大和病院前,0,0,1
1毎日_07時16分_系統412,07:27:00,07:27:00,21_01,6,大和病院前,0,0,1
1毎日_07時27分_系統512,07:27:00,07:27:00,21_01,1,束荷方面,0,1,1
1毎日_07時27分_系統512,07:28:00,07:28:00,19_01,2,束荷方面,0,0,1
1毎日_07時27分_系統512,07:30:00,07:30:00,32_01,3,束荷経由大和病院前,0,0,1
1毎日_07時27分_系統512,07:32:00,07:32:00,33_01,4,束荷経由大和病院前,0,0,1
1毎日_07時27分_系統512,07:34:00,07:34:00,34_01,5,束荷経由大和病院前,0,0,1
1毎日_07時27分_系統512,07:36:00,07:36:00,35_01,6,束荷経由大和病院前,0,0,1
1毎日_07時27分_系統512,07:39:00,07:39:00,36_01,7,束荷経由大和病院前,0,0,1
1毎日_07時27分_系統512,07:41:00,07:41:00,37_01,8,束荷経由大和病院前,0,0,1
1毎日_07時27分_系統512,07:43:00,07:43:00,38_01,9,大和病院前,0,0,1
1毎日_07時27分_系統512,07:44:00,07:44:00,39_01,10,大和病院前,0,0,1
1毎日_07時27分_系統512,07:46:00,07:46:00,40_01,11,大和病院前,0,0,1
1毎日_07時27分_系統512,07:47:00,07:47:00,24_03,12,大和病院前,0,0,1
1毎日_07時27分_系統512,07:49:00,07:49:00,23_02,13,大和病院前,0,0,1
1毎日_07時27分_系統512,07:50:00,07:50:00,22_02,14,大和病院前,0,0,1
1毎日_07時27分_系統512,07:53:00,07:53:00,19_01,15,大和病院前,0,0,1
1毎日_07時27分_系統512,07:54:00,07:54:00,21_01,16,大和病院前,1,0,1
1毎日_07時54分_系統612,07:54:00,07:54:00,21_01,1,光市役所前方面,0,1,1
