stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
1_01,,光駅,,33.973598,131.914662,1_01,,0,
10_01,,イオン光店,,33.979075,131.927275,10_01,,0,
11_01,,土井,,33.986788,131.934132,11_01,,0,
11_02,,土井,,33.986736,131.934134,11_02,,0,
12_01,,光市民ホール前,,33.97422,131.934785,12_01,,0,
12_02,,光市民ホール前,,33.974086,131.935016,12_02,,0,
13_01,,金山,,33.966815,131.944107,13_01,,0,
13_02,,金山,,33.966786,131.943986,13_02,,0,
14_01,,光市役所前,,33.961885,131.943298,14_01,,0,
14_02,,光市役所前,,33.961928,131.94323,14_02,,0,
14_03,,光市役所前,,33.961261,131.94201,14_03,,0,
14_04,,光市役所前,,33.960641,131.942189,14_04,,0,
15_01,,光製鉄前,,33.968638,131.935138,15_01,,0,
15_02,,光製鉄前,,33.969008,131.93466,15_02,,0,
16_01,,アリヴィオ,,33.970723,131.932116,16_01,,0,
16_02,,アリヴィオ,,33.970711,131.932192,16_02,,0,
17_01,,浅江神社下,,33.972919,131.927481,17_01,,0,
17_02,,浅江神社下,,33.972795,131.927369,17_02,,0,
18_01,,浅江ショッピングセンター前,,33.968892,131.926177,18_01,,0,
18_02,,浅江ショッピングセンター前,,33.969236,131.926215,18_02,,0,
19_01,,岩田駅前,,33.981871,131.995403,19_01,,0,
2_01,,光税務署前,,33.972015,131.915065,2_01,,0,
2_02,,光税務署前,,33.971904,131.91501,2_02,,0,
20_01,,大和コミュニティセンター前,,33.981579,131.998339,20_01,,0,
21_01,,大和病院前,,33.982867,131.999414,21_01,,0,
22_01,,海田,,33.986008,132.005712,22_01,,0,
22_02,,海田,,33.985947,132.005717,22_02,,0,
23_01,,周地,,33.987312,132.010037,23_01,,0,
23_02,,周地,,33.987309,132.010201,23_02,,0,
24_01,,源城,,33.991721,132.016165,24_01,,0,
24_02,,源城,,33.991664,132.016025,24_02,,0,
24_03,,源城,,33.992376,132.014971,24_03,,0,
25_01,,須賀社,,33.992729,132.019572,25_01,,0,
25_02,,須賀社,,33.992724,132.019785,25_02,,0,
26_01,,小倉,,33.996626,132.026098,26_01,,0,
26_02,,小倉,,33.996563,132.0261,26_02,,0,
27_01,,十王,,33.997733,132.032265,27_01,,0,
27_02,,十王,,33.997675,132.032294,27_02,,0,
28_01,,佐田下,,33.996039,132.042061,28_01,,0,
28_02,,佐田下,,33.995983,132.042043,28_02,,0,
29_01,,佐田中,,33.995215,132.047132,29_01,,0,
29_02,,佐田中,,33.995155,132.047134,29_02,,0,
3_01,,虹ヶ浜二丁目,,33.970487,131.918137,3_01,,0,
3_02,,虹ヶ浜二丁目,,33.970428,131.918108,3_02,,0,
30_01,,佐田上,,33.994227,132.049194,30_01,,0,
30_02,,佐田上,,33.994334,132.048989,30_02,,0,
31_01,,生野,,33.992991,132.057554,31_01,,0,
32_01,,末常,,33.985154,131.993404,32_01,,0,
32_02,,末常,,33.985184,131.99347,32_02,,0,
33_01,,慶見,,33.99731,131.986175,33_01,,0,
34_01,,小原橋,,34.001451,131.988633,34_01,,0,
35_01,,伊藤公記念公園,,34.008942,131.996317,35_01,,0,
36_01,,黒杭,,34.017179,132.000615,36_01,,0,
37_01,,横尾,,34.012893,132.006927,37_01,,0,
38_01,,束荷コミュニティセンター前,,34.008016,132.006168,38_01,,0,
39_01,,新市,,34.006719,132.007705,39_01,,0,
4_01,,西河原,,33.972461,131.922071,4_01,,0,
4_02,,西河原,,33.972598,131.920538,4_02,,0,
40_01,,稲葉,,33.995234,132.012543,40_01,,0,
41_01,,旧三輪小前,,33.977672,131.996671,41_01,,0,
41_02,,旧三輪小前,,33.977689,131.996591,41_02,,0,
42_01,,宇立,,33.975303,131.994733,42_01,,0,
42_02,,宇立,,33.975342,131.99469,42_02,,0,
43_01,,西八幡,,33.972738,131.989594,43_01,,0,
43_02,,西八幡,,33.972778,131.989532,43_02,,0,
44_01,,上岩田口,,33.971195,131.988753,44_01,,0,
44_02,,上岩田口,,33.971211,131.988673,44_02,,0,
45_01,,石田（市役所線）,,33.965584,131.983834,45_01,,0,
45_02,,石田（市役所線）,,33.965611,131.983773,45_02,,0,
46_01,,鮎帰,,33.959937,131.980424,46_01,,0,
46_02,,鮎帰,,33.959957,131.980324,46_02,,0,
47_01,,光スポーツ公園前,,33.958152,131.964389,47_01,,0,
47_02,,光スポーツ公園前,,33.95822,131.964384,47_02,,0,
48_01,,光高前,,33.961885,131.953242,48_01,,0,
49_01,,スポーツ交流村,,33.949881,131.951617,49_01,,0,
5_01,,筒井,,33.972662,131.924334,5_01,,0,
5_02,,筒井,,33.97222,131.924264,5_02,,0,
50_01,,あいぱーく光前,,33.953412,131.953667,50_01,,0,
51_01,,戸仲北,,33.954481,131.956136,51_01,,0,
52_01,,中岩田,,33.984541,131.986497,52_01,,0,
53_01,,市,,33.973971,132.009663,53_01,,0,
54_01,,水源地前,,33.977307,132.00429,54_01,,0,
55_01,,新町,,33.973429,131.935522,55_01,,0,
55_02,,新町,,33.973031,131.935468,55_02,,0,
56_01,,領家,,33.976297,131.936617,56_01,,0,
56_02,,領家,,33.976831,131.936938,56_02,,0,
57_01,,下大田,,33.980882,131.939682,57_01,,0,
57_02,,下大田,,33.980802,131.939664,57_02,,0,
58_01,,林,,33.982516,131.946819,58_01,,0,
58_02,,林,,33.982423,131.94746,58_02,,0,
59_01,,島田中前,,33.98224,131.94972,59_01,,0,
59_02,,島田中前,,33.982103,131.95016,59_02,,0,
6_01,,木園,,33.97467,131.924627,6_01,,0,
6_02,,木園,,33.974746,131.924639,6_02,,0,
60_01,,石田（広域生活交通）,,33.984036,131.955484,60_01,,0,
60_02,,石田（広域生活交通）,,33.98344,131.954458,60_02,,0,
61_01,,光市民ホール西,,33.97438,131.932982,61_01,,0,
61_02,,光市民ホール西,,33.974454,131.933212,61_02,,0,
62_01,,花園,,33.976368,131.928432,62_01,,0,
62_02,,花園,,33.976425,131.928409,62_02,,0,
63_01,,木ノ下橋上,,33.98413,131.939071,63_01,,0,
63_02,,木ノ下橋上,,33.98419,131.938371,63_02,,0,
64_01,,三井小学校前,,33.987685,131.951528,64_01,,0,
64_02,,三井小学校前,,33.98755,131.951465,64_02,,0,
65_01,,三井五丁目,,33.990175,131.954418,65_01,,0,
65_02,,三井五丁目,,33.990177,131.954486,65_02,,0,
66_01,,岩狩一丁目,,33.993711,131.953245,66_01,,0,
66_02,,岩狩一丁目,,33.993711,131.953324,66_02,,0,
67_01,,岩狩二丁目,,33.995296,131.956347,67_01,,0,
67_02,,岩狩二丁目,,33.995287,131.956271,67_02,,0,
68_01,,三井七丁目,,33.991576,131.956385,68_01,,0,
68_02,,三井七丁目,,33.991548,131.956311,68_02,,0,
69_01,,三島コミュニティセンター前,,33.989786,131.957682,69_01,,0,
69_02,,三島コミュニティセンター前,,33.989753,131.957609,69_02,,0,
7_01,,光駅北口,,33.974612,131.915228,7_01,,0,
7_02,,光駅北口,,33.974742,131.915201,7_02,,0,
7_03,,光駅北口,,33.974709,131.91678,7_03,,0,
7_04,,光駅北口,,33.974841,131.916436,7_04,,0,
70_01,,島田駅前,,33.989561,131.961491,70_01,,0,
70_02,,島田駅前,,33.989561,131.961572,70_02,,0,
71_01,,島田駅,,33.990263,131.960988,71_01,,0,
72_01,,慶周寺,,33.998697,131.967417,72_01,,0,
72_02,,慶周寺,,33.998671,131.967475,72_02,,0,
73_01,,立野,,34.004878,131.971921,73_01,,0,
73_02,,立野,,34.004624,131.971935,73_02,,0,
73_03,,立野,,34.00299,131.971126,73_03,,0,
74_01,,下小周防,,34.01327,131.976397,74_01,,0,
74_02,,下小周防,,34.013232,131.976458,74_02,,0,
75_01,,支所前,,34.017239,131.978377,75_01,,0,
75_02,,支所前,,34.017217,131.978454,75_02,,0,
76_01,,小周防,,34.020478,131.978587,76_01,,0,
76_02,,小周防,,34.020403,131.978703,76_02,,0,
77_01,,小周防Ｂ,,34.021452,131.979717,77_01,,0,
77_02,,小周防Ｂ,,34.020842,131.977744,77_02,,0,
78_01,,下和田,,34.027047,131.985257,78_01,,0,
78_02,,下和田,,34.027015,131.985305,78_02,,0,
79_01,,和田,,34.029442,131.987033,79_01,,0,
79_02,,和田,,34.029673,131.987238,79_02,,0,
8_01,,光総合病院,,33.982668,131.91915,8_01,,0,
80_01,,三丘温泉,,34.033803,131.991163,80_01,,0,
80_02,,三丘温泉,,34.034147,131.991823,80_02,,0,
81_01,,十楽,,34.037321,131.994253,81_01,,0,
81_02,,十楽,,34.037304,131.994314,81_02,,0,
82_01,,小深,,34.040541,131.996102,82_01,,0,
82_02,,小深,,34.040519,131.996169,82_02,,0,
83_01,,兼清,,34.044166,131.997426,83_01,,0,
83_02,,兼清,,34.04414,131.997506,83_02,,0,
84_01,,荒瀬,,34.048511,132.002453,84_01,,0,
84_02,,荒瀬,,34.048456,132.002501,84_02,,0,
85_01,,筏場,,34.054591,132.009156,85_01,,0,
85_02,,筏場,,34.054565,132.009221,85_02,,0,
86_01,,集会所前,,34.0604,132.010726,86_01,,0,
87_01,,八幡所,,34.024052,131.972492,87_01,,0,
87_02,,八幡所,,34.023341,131.972878,87_02,,0,
88_01,,植松,,34.028345,131.97372,88_01,,0,
88_02,,植松,,34.028878,131.97395,88_02,,0,
89_01,,迫,,34.032097,131.975115,89_01,,0,
89_02,,迫,,34.032065,131.975146,89_02,,0,
9_01,,光丘,,33.978879,131.92516,9_01,,0,
9_02,,光丘,,33.978833,131.925241,9_02,,0,
90_01,,安田,,34.033692,131.979521,90_01,,0,
90_02,,安田,,34.033738,131.979596,90_02,,0,
91_01,,宮河内,,34.038395,131.976723,91_01,,0,
91_02,,宮河内,,34.039853,131.975968,91_02,,0,
92_01,,中村,,34.043986,131.971694,92_01,,0,
92_02,,中村,,34.044027,131.97175,92_02,,0,
93_01,,熊毛中前,,34.048527,131.968777,93_01,,0,
93_02,,熊毛中前,,34.049524,131.96834,93_02,,0,
94_01,,ゆめプラザ熊毛,,34.049818,131.969131,94_01,,0,
95_01,,鶴見台団地下,,34.053059,131.972706,95_01,,0,
95_02,,鶴見台団地下,,34.05272,131.972367,95_02,,0,
96_01,,高水駅,,34.055297,131.973272,96_01,,0,
