table_name,field_name,language,translation,record_id,record_sub_id,field_value
agency,agency_name,ja-Hrkt,"ひかりし",6000020352101,,
agency,agency_name,en,"Hikari City",6000020352101,,
stops,stop_name,ja-Hrkt,"ひかりえき",1_01,,
stops,stop_name,ja-Hrkt,"いおんひかりてん",10_01,,
stops,stop_name,ja-Hrkt,"どい",11_01,,
stops,stop_name,ja-Hrkt,"どい",11_02,,
stops,stop_name,ja-Hrkt,"ひかりしみんほーるまえ",12_01,,
stops,stop_name,ja-Hrkt,"ひかりしみんほーるまえ",12_02,,
stops,stop_name,ja-Hrkt,"かなやま",13_01,,
stops,stop_name,ja-Hrkt,"かなやま",13_02,,
stops,stop_name,ja-Hrkt,"ひかりしやくしょまえ",14_01,,
stops,stop_name,ja-Hrkt,"ひかりしやくしょまえ",14_02,,
stops,stop_name,ja-Hrkt,"ひかりしやくしょまえ",14_03,,
stops,stop_name,ja-Hrkt,"ひかりしやくしょまえ",14_04,,
stops,stop_name,ja-Hrkt,"ひかりせいてつまえ",15_01,,
stops,stop_name,ja-Hrkt,"ひかりせいてつまえ",15_02,,
stops,stop_name,ja-Hrkt,"ありヴぃお",16_01,,
stops,stop_name,ja-Hrkt,"ありヴぃお",16_02,,
stops,stop_name,ja-Hrkt,"あさえじんじゃした",17_01,,
stops,stop_name,ja-Hrkt,"あさえじんじゃした",17_02,,
stops,stop_name,ja-Hrkt,"あさえしょっぴんぐせんたーまえ",18_01,,
stops,stop_name,ja-Hrkt,"あさえしょっぴんぐせんたーまえ",18_02,,
stops,stop_name,ja-Hrkt,"いわたえきまえ",19_01,,
stops,stop_name,ja-Hrkt,"ひかりぜいむしょまえ",2_01,,
stops,stop_name,ja-Hrkt,"ひかりぜいむしょまえ",2_02,,
stops,stop_name,ja-Hrkt,"やまとこみゅにてぃせんたーまえ",20_01,,
stops,stop_name,ja-Hrkt,"やまとびょういんまえ",21_01,,
stops,stop_name,ja-Hrkt,"かいた",22_01,,
stops,stop_name,ja-Hrkt,"かいた",22_02,,
stops,stop_name,ja-Hrkt,"しゅうじ",23_01,,
stops,stop_name,ja-Hrkt,"しゅうじ",23_02,,
stops,stop_name,ja-Hrkt,"げんじょう",24_01,,
stops,stop_name,ja-Hrkt,"げんじょう",24_02,,
stops,stop_name,ja-Hrkt,"げんじょう",24_03,,
stops,stop_name,ja-Hrkt,"すがしゃ",25_01,,
stops,stop_name,ja-Hrkt,"すがしゃ",25_02,,
stops,stop_name,ja-Hrkt,"こぐら",26_01,,
stops,stop_name,ja-Hrkt,"こぐら",26_02,,
stops,stop_name,ja-Hrkt,"じゅうおう",27_01,,
stops,stop_name,ja-Hrkt,"じゅうおう",27_02,,
stops,stop_name,ja-Hrkt,"さだしも",28_01,,
stops,stop_name,ja-Hrkt,"さだしも",28_02,,
stops,stop_name,ja-Hrkt,"さだなか",29_01,,
stops,stop_name,ja-Hrkt,"さだなか",29_02,,
stops,stop_name,ja-Hrkt,"にじがはまにちょうめ",3_01,,
stops,stop_name,ja-Hrkt,"にじがはまにちょうめ",3_02,,
stops,stop_name,ja-Hrkt,"さだかみ",30_01,,
stops,stop_name,ja-Hrkt,"さだかみ",30_02,,
stops,stop_name,ja-Hrkt,"いくの",31_01,,
stops,stop_name,ja-Hrkt,"すえつね",32_01,,
stops,stop_name,ja-Hrkt,"すえつね",32_02,,
stops,stop_name,ja-Hrkt,"けいみ",33_01,,
stops,stop_name,ja-Hrkt,"こはらばし",34_01,,
stops,stop_name,ja-Hrkt,"いとうこうきねんこうえん",35_01,,
stops,stop_name,ja-Hrkt,"くろくい",36_01,,
stops,stop_name,ja-Hrkt,"よこお",37_01,,
stops,stop_name,ja-Hrkt,"つかりこみゅにてぃせんたーまえ",38_01,,
stops,stop_name,ja-Hrkt,"しんいち",39_01,,
stops,stop_name,ja-Hrkt,"にしがわら",4_01,,
stops,stop_name,ja-Hrkt,"にしがわら",4_02,,
stops,stop_name,ja-Hrkt,"いなば",40_01,,
