公営駐輪場_全国地方公共団体コード,施設_ID,公営駐輪場_ID,公営駐輪場_名称,公営駐輪場_名称（カナ）,公営駐輪場_名称（英字）,公営駐輪場_説明,緯度,経度,公営駐輪場_座標参照系,公営駐輪場_座標参照系コード,公営駐輪場_屋内外,公営駐輪場_最大駐輪台数,公営駐輪場_住所
352012,,cyclepark001,plan☆do下関駅南サイクルポート,プランドゥシモノセキエキミナミサイクルポート,,,33.94900269,130.9224741,,,,264,下関市竹崎町四丁目1番37
352012,,cyclepark002,plan☆do下関駅北サイクルポート,プランドゥシモノセキエキキタサイクルポート,,,33.95101156,130.9228799,,,,436,下関市竹崎町四丁目1番3
352012,,cyclepark003,plan☆do下関駅バイクポート,プランドゥシモノセキエキバイクポート,,,33.94828631,130.9220097,,,,156,下関市竹崎町四丁目1番71
352012,,cyclepark004,下関市綾羅木駅前自転車駐車場,シモノセキシアヤラギエキマエジテンシャチュウシャジョウ,,,34.00451102,130.9263856,,,,,下関市綾羅木本町二丁目6番7
352012,,cyclepark005,下関市長府駅南自転車駐車場,シモノセキシチョウフエキミナミジテンシャチュウシャジョウ,,,34.01940468,130.9999599,,,,,下関市長府松小田本町2番37
352012,,cyclepark006,下関市長府駅北自転車駐車場,シモノセキシチョウフエキキタジテンシャチュウシャジョウ,,,34.02020782,130.9998543,,,,,下関市長府松小田北町5番27
352012,,cyclepark007,下関市安岡駅前自転車駐車場,シモノセキシヤスオカエキマエジテンシャチュウシャジョウ,,,34.02501685,130.9163753,,,,,下関市安岡駅前一丁目157番2
352012,,cyclepark008,下関市小月駅前自転車駐車場,シモノセキシオヅキエキマエジテンシャチュウシャジョウ,,,34.06780168,131.0320737,,,,,下関市小月駅前一丁目1172番3
352012,,cyclepark009,下関市幡生駅東自転車駐車場,シモノセキシハタブエキヒガシジテンシャチュウシャジョウ,,,33.97940899,130.926769,,,,,下関市幡生本町10014番96
352012,,cyclepark010,下関市幡生駅西自転車駐車場,シモノセキシハタブエキニシジテンシャチュウシャジョウ,,,33.97990544,130.9258995,,,,,下関市幡生新町93番27
352012,,cyclepark011,下関市吉見駅前自転車駐車場,シモノセキシヨシミエキマエジテンシャチュウシャジョウ,,,34.07026505,130.9030477,,,,,下関市吉見本町一丁目1269番7
352012,,cyclepark012,下関市新下関駅東自転車駐車場,シモノセキシシンシモノセキエキヒガシジテンシャチュウシャジョウ,,,34.00835527,130.9495741,,,,,下関市秋根南町一丁目1番2
352012,,cyclepark013,下関市新下関駅西自転車駐車場,シモノセキシシンシモノセキエキニシジテンシャチュウシャジョウ,,,34.00750895,130.9487294,,,,,下関市秋根南町一丁目1番2
352012,,cyclepark014,下関市新下関駅南自転車駐車場,シモノセキシシンシモノセキエキミナミジテンシャチュウシャジョウ,,,34.00577967,130.9492154,,,,,下関市秋根南町一丁目761番2
352012,,cyclepark015,下関市梶栗郷台地駅東自転車駐車場,シモノセキシカジクリゴウダイチエキヒガシジテンシャチュウシャジョウ,,,34.01430155,130.9236098,,,,,下関市綾羅木新町三丁目950番11
352012,,cyclepark016,下関市梶栗郷台地駅西自転車駐車場,シモノセキシカジクリゴウダイチエキニシジテンシャチュウシャジョウ,,,34.01468889,130.9233483,,,,,下関市梶栗町四丁目950番4
352012,,cyclepark017,下関市梅ケ峠駅前自転車駐車場,シモノセキシウメガトウエキマエジテンシャチュウシャジョウ,,,34.10190051,130.9003422,,,,,下関市豊浦町大字厚母郷字梅ケ峠2番地1
352012,,cyclepark018,下関市湯玉駅前自転車駐車場,シモノセキシユタマエキマエジテンシャチュウシャジョウ,,,34.20885408,130.9323146,,,,,下関市豊浦町大字宇賀7437番地2
352012,,cyclepark019,下関市小串駅前自転車駐車場,シモノセキシコグシエキマエジテンシャチュウシャジョウ,,,34.16960656,130.9276739,,,,,下関市豊浦町大字小串10008番地338
352012,,cyclepark020,下関市川棚温泉駅前自転車駐車場,シモノセキシカワタナオンセンエキマエジテンシャチュウシャジョウ,,,34.14600782,130.9220985,,,,,下関市豊浦町大字川棚7097番地4
352012,,cyclepark021,下関市黒井村駅前自転車駐車場,シモノセキシクロイムラエキマエジテンシャチュウシャジョウ,,,34.12732872,130.912572,,,,,下関市豊浦町大字黒井2276番地9
,,,,,,,,,,,,,
,,,,,,,,,,,,,
