赤ちゃんの駅_全国地方公共団体コード,施設_ID,赤ちゃんの駅_ID,赤ちゃんの駅_名称,赤ちゃんの駅_名称（カナ）,赤ちゃんの駅_名称（英字）,赤ちゃんの駅_説明,赤ちゃんの駅_緯度,赤ちゃんの駅_経度,赤ちゃんの駅_座標参照系,赤ちゃんの駅_座標参照系コード,赤ちゃんの駅_施設区分,赤ちゃんの駅_お湯の有無,,
352152,BSOAN0000001,BSOAN0000001,周南市立中央図書館,,,赤ちゃん向けの施設です,34.0533662,131.8097697,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000002,BSOAN0000002,周南市役所本庁舎,,,赤ちゃん向けの施設です,34.0551184,131.8061853,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000003,BSOAN0000003,周南市徳山保健センター,,,赤ちゃん向けの施設です,34.05457132,131.80756295,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000004,BSOAN0000004,山口県周南総合庁舎,,,赤ちゃん向けの施設です,34.051709,131.812727,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000005,BSOAN0000005,周南市文化会館,,,赤ちゃん向けの施設です,34.058148,131.8156478,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000006,BSOAN0000006,周南市立徳山動物園,,,赤ちゃん向けの施設です,34.05805,131.817547,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000007,BSOAN0000007,周南市美術博物館,,,赤ちゃん向けの施設です,34.056954,131.814633,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000008,BSOAN0000008,周南市尚白園,,,赤ちゃん向けの施設です,34.0651505,131.79840007,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000009,BSOAN0000009,子育て交流センター　ぞうさんの家,,,赤ちゃん向けの施設です,34.0446323,131.8043339,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000010,BSOAN0000010,山口県周南児童相談所,,,赤ちゃん向けの施設です,34.051771,131.814716,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000011,BSOAN0000011,周南市総合スポーツセンター,,,赤ちゃん向けの施設です,34.03973731,131.83230021,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000012,BSOAN0000012,周南市庭球場,,,赤ちゃん向けの施設です,34.035648,131.833682,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000013,BSOAN0000013,周南市交通教育センター,,,赤ちゃん向けの施設です,34.0410166,131.8353321,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000014,BSOAN0000014,周南市東福祉館,,,赤ちゃん向けの施設です,34.03225208,131.84161376,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000015,BSOAN0000015,周南市中須支所・市民センター,,,赤ちゃん向けの施設です,34.11386036,131.91693211,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000016,BSOAN0000016,にこにこセンター,,,赤ちゃん向けの施設です,34.0680675,131.7826497,世界測地系,EPSG:4326,市区町村,,,
