赤ちゃんの駅_全国地方公共団体コード,施設_ID,赤ちゃんの駅_ID,赤ちゃんの駅_名称,赤ちゃんの駅_名称（カナ）,赤ちゃんの駅_名称（英字）,赤ちゃんの駅_説明,赤ちゃんの駅_緯度,赤ちゃんの駅_経度,赤ちゃんの駅_座標参照系,赤ちゃんの駅_座標参照系コード,赤ちゃんの駅_施設区分,赤ちゃんの駅_お湯の有無,赤ちゃんの駅_授乳スペースの有無,赤ちゃんの駅_おむつ替えの場所の有無
352039,,DZ2199990001,仁保つどいの広場「いっぽ・仁保・さんぽ」,,,,34.210919,131.560774,,,,有,有,有
352039,,DZ2199990002,宮野つどいの広場　あのね,,,,34.200147,131.50919,,,,有,有,有
352039,,DZ2199990003,美容室  toi toi toi,,,,34.188695,131.659653,,,,有,有,有
352039,,DZ2199990004,大殿子育てひろば「キラ◇きら」,,,,34.134468,131.452391,,,,有,有,有
352039,,DZ2199990005,山口井筒屋　山口店　子供服売場,,,,34.177593,131.478608,,,,有,有,有
352039,,DZ2199990006,株式会社　徳山コーヒーボーイ　山口店,,,,34.174857,131.475982,,,,有,無,無
352039,,DZ2199990007,山口市市民活動支援センター「さぽらんて」,,,,34.175386,131.476248,,,,有,無,無
352039,,DZ2199990008,ほっとさろん西門前「てとてと」,,,,34.174643,131.475094,,,,有,有,有
352039,,DZ2199990009,株式会社　佐藤商会,,,,34.178146,131.475435,,,,有,無,有
352039,,DZ2199990010,山口県立美術館,,,,34.179496,131.474514,,,,有,有,有
352039,,DZ2199990011,山口銀行山口支店,,,,34.174007,131.480358,,,,無,無,有
352039,,DZ2199990012,進物の大進　山口店,,,,34.169937,131.47606,,,,有,有,有
352039,,DZ2199990013,ほっとさろん中市「まちのえき」,,,,34.178613,131.479348,,,,有,有,有
352039,,DZ2199990014,株式会社アクア設備,,,,34.17246,131.472391,,,,無,‐,‐
352039,,DZ2199990015,NHK山口放送局,,,,34.170181,131.468381,,,,有,有,有
352039,,DZ2199990016,山口県婦人教育文化会館（山口市働く婦人の家）,,,,34.168178,131.457665,,,,有,無,有
352039,,DZ2199990017,子育て支援交流広場　ちゃ☆ちゃ☆ちゃ,,,,34.173166,131.453721,,,,有,有,有
352039,,DZ2199990018,プリムールあおい,,,,34.160425,131.450703,,,,有,有,有
352039,,DZ2199990019,写真スタジオ Mi Shot,,,,34.171568,131.456118,,,,有,有,有
352039,,DZ2199990020,維新大晃アリーナ,,,,34.158034,131.437426,,,,有,有,有
352039,,DZ2199990021,維新みらいふスタジアム,,,,34.157536,131.437501,,,,有,有,有
352039,,DZ2199990022,Hair Salon LOLO(ヘアーサロン　ロロ）,,,,34.163269,131.449364,,,,有,有,有
352039,,DZ2199990023,おんせんの森,,,,34.164099,131.453273,,,,有,有,有
352039,,DZ2199990024,ポーラ化粧品Ｒｅｅショップ,,,,34.162321,131.450123,,,,有,‐,‐
352039,,DZ2199990025,山口日産自動車株式会社山口大内店,,,,34.16133355,131.4894624,,,,有,有,有
352039,,DZ2199990026,みほり峠大内店,,,,34.15497115,131.5046508,,,,有,無,有
352039,,DZ2199990027,花咲薬局,,,,34.15306704,131.5156044,,,,有,有,有
352039,,DZ2199990028,株式会社ヒマラヤ山口店,,,,34.15448791,131.5056823,,,,無,無,有
352039,,DZ2199990029,たむら内科医院,,,,34.15954745,131.5152953,,,,無,有,有
352039,,DZ2199990030,子育てアカデミーYAMAPI（やまぴー）,,,,34.14683426,131.4597861,,,,有,有,有
352039,,DZ2199990031,セブンイレブン山口上平井店,,,,34.15737312,131.4653065,,,,有,無,有
352039,,DZ2199990032,フジグラン山口,,,,34.13787294,131.4363296,,,,有,有,有
352039,,DZ2199990033,エディオン山口本店,,,,34.16448699,131.4718852,,,,無,有,有
352039,,DZ2199990034,ミスターマックス山口店,,,,34.13672124,131.4333276,,,,無,有,有
352039,,DZ2199990035,サンパークあじす,,,,34.0090161,131.3509538,,,,有,有,有
352039,,DZ2199990036,賀宝の里白松苑,,,,34.04986087,131.350201,,,,有,有,有
352039,,DZ2199990037,助産院ローズベビーサロン,,,,34.08988581,131.4034732,,,,有,有,有
352039,,DZ2199990038,LIXIL山口ショールーム,,,,34.08740514,131.3989377,,,,有,有,有
352039,,DZ2199990039,ハートクリニック新山口,,,,34.08807869,131.400563,,,,有,有,有
352039,,DZ2199990040,やまぐち南整骨院,,,,34.08662084,131.3982308,,,,有,有,有
