警察署,本票番号,事故内容,死者数,負傷者数,路線,市町村名,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,信号機,一時停止規制標識（当事者A）,一時停止規制表示（当事者A）,一時停止規制標識（当事者B）,一時停止規制表示（当事者B）,車道幅員,道路線形,衝突地点,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,緯度,経度,曜日,祝日
防府,0023,負傷,000,001,市道,防府市,2019,01,01,02,25,5夜,曇,市街地,舗装　乾燥,その他,施設なし,対象外当事者,その他,対象外当事者,その他,一般交通の場所,その他,単独（交差点付近を含む）,人対車両,65～74歳,01～24歳,普通乗用,歩行者,事業用,対象外当事者,損傷なし,負傷,34.04571222,131.5815319,火曜,当日
岩国,0021,負傷,000,001,国道188号,岩国市,2019,01,01,06,51,6夜明,晴,市街地,舗装　乾燥,交差点付近,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,人対車両,75歳以上,01～24歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.16905528,132.2229361,火曜,当日
山口,0038,負傷,000,002,国道９号,山口市,2019,01,01,09,37,2昼,曇,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,45～54歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.15226083,131.4309442,火曜,当日
下関,0027,負傷,000,001,県道,下関市,2019,01,01,17,40,4夜暮,曇,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　小,直路,交差点内,車両相互,45～54歳,01～24歳,軽乗用,自転車,自家用,対象外当事者,損傷なし,負傷,34.00852333,130.9503075,火曜,当日
周南,0008,負傷,000,002,市道,周南市,2019,01,01,17,54,4夜暮,曇,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　中,直路,交差点内,人対車両,45～54歳,01～24歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.04793667,131.8077894,火曜,当日
防府,0012,負傷,000,001,国道２号,防府市,2019,01,02,05,35,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,25～34歳,55～64歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.06300167,131.5469992,水曜,その他
高速隊,0001,負傷,000,002,高速道路,防府市,2019,01,02,15,50,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,25～34歳,55～64歳,普通乗用,普通乗用,自家用,自家用,損傷なし,損傷なし,34.07353111,131.5755908,水曜,その他
下関,0023,負傷,000,001,県道,下関市,2019,01,02,17,14,3昼暮,晴,非市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,車両相互,55～64歳,35～44歳,普通乗用,小型二輪　751cc以上,自家用,自家用,損傷なし,負傷,34.01764056,130.9451281,水曜,その他
柳井,0004,負傷,000,001,国道437号,柳井市,2019,01,02,17,18,4夜暮,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,65～74歳,55～64歳,軽乗用,軽乗用,自家用,自家用,損傷なし,損傷なし,33.96372472,132.1850094,水曜,その他
防府,0015,負傷,000,003,県道,防府市,2019,01,02,17,25,4夜暮,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,車両相互,01～24歳,35～44歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.06129972,131.5575519,水曜,その他
周南,0026,負傷,000,001,国道２号,周南市,2019,01,02,18,05,4夜暮,晴,市街地,舗装　乾燥,直路,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,45～54歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.07696083,131.7587594,水曜,その他
山口,0025,負傷,000,002,国道９号,山口市,2019,01,02,18,23,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,25～34歳,55～64歳,普通乗用,軽貨物,自家用,自家用,負傷,損傷なし,34.13503361,131.4226875,水曜,その他
柳井,0005,負傷,000,001,県道,柳井市,2019,01,02,23,30,5夜,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,55～64歳,45～54歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.99841722,132.1302728,水曜,その他
長府,0002,負傷,000,001,県道,下関市,2019,01,03,08,00,1昼明,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,65～74歳,25～34歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.04848306,131.0095197,木曜,その他
山口,0022,負傷,000,002,国道262号,山口市,2019,01,03,11,37,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,25～34歳,大型貨物,軽乗用,事業用,自家用,損傷なし,負傷,34.11822611,131.5316169,木曜,その他
周南,0015,負傷,000,004,国道２号,周南市,2019,01,03,12,20,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,25～34歳,01～24歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.04563111,131.8351122,木曜,その他
高速隊,0005,負傷,000,003,高速道路,岩国市,2019,01,03,14,40,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,55～64歳,35～44歳,普通乗用,軽乗用,自家用,自家用,損傷なし,損傷なし,34.17892111,132.1682106,木曜,その他
高速隊,0006,負傷,000,003,高速道路,岩国市,2019,01,03,14,40,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,55～64歳,35～44歳,普通乗用,軽乗用,自家用,自家用,損傷なし,損傷なし,34.17894583,132.1682367,木曜,その他
高速隊,0004,負傷,000,003,高速道路,岩国市,2019,01,03,14,40,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,55～64歳,25～34歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.17890167,132.1681775,木曜,その他
防府,0040,負傷,000,003,国道２号,防府市,2019,01,03,14,49,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,35～44歳,45～54歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.04900694,131.6363256,木曜,その他
高速隊,0003,負傷,000,003,高速道路,岩国市,2019,01,03,14,52,2昼,晴,非市街地,舗装　乾燥,トンネル,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,01～24歳,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,損傷なし,34.16112972,132.1534917,木曜,その他
下関,0002,負傷,000,001,市道,下関市,2019,01,03,16,18,3昼暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m未満,直路,単独（交差点付近を含む）,人対車両,35～44歳,01～24歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,33.97477083,130.9244933,木曜,その他
防府,0033,負傷,000,002,市道,防府市,2019,01,03,17,05,3昼暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,車両相互,01～24歳,45～54歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.05529639,131.5909947,木曜,その他
下関,0015,負傷,000,001,国道191号,下関市,2019,01,03,17,48,4夜暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,人対車両,35～44歳,35～44歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.09997417,130.9006881,木曜,その他
下関,0037,負傷,000,002,国道191号,下関市,2019,01,03,18,11,4夜暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,65～74歳,01～24歳,軽乗用,軽二輪　126～250cc,自家用,自家用,損傷なし,負傷,34.03415361,130.91314,木曜,その他
下関,0229,負傷,000,001,市道,下関市,2019,01,04,03,43,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,65～74歳,55～64歳,普通乗用,普通乗用,事業用,事業用,損傷なし,負傷,33.95223472,130.9294061,金曜,その他
宇部,0021,負傷,000,001,国道190号,宇部市,2019,01,04,09,37,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　19.5m以上,直路,単独（交差点付近を含む）,人対車両,35～44歳,75歳以上,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,33.95130889,131.24649,金曜,その他
宇部,0018,負傷,000,002,市道,宇部市,2019,01,04,13,18,2昼,曇,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,35～44歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.98591,131.2598111,金曜,その他
山陽小野田,0005,負傷,000,004,国道190号,山陽小野田市,2019,01,04,14,24,2昼,曇,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,車両相互,01～24歳,25～34歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.01074444,131.1688344,金曜,その他
山陽小野田,0004,負傷,000,003,国道190号,山陽小野田市,2019,01,04,14,24,2昼,曇,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,車両相互,25～34歳,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.01077139,131.1687892,金曜,その他
山口,0185,負傷,000,001,市道,山口市,2019,01,04,17,06,3昼暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　3.5m以上,直路,単独（交差点付近を含む）,人対車両,55～64歳,55～64歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.17111139,131.4493922,金曜,その他
下関,0024,負傷,000,001,市道,下関市,2019,01,04,18,08,4夜暮,曇,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　小,直路,交差点内,人対車両,45～54歳,45～54歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.01329361,130.9481147,金曜,その他
下関,0011,負傷,000,002,市道,下関市,2019,01,04,18,50,5夜,雨,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　標準　反射式,表示あり,交差点　中　小,直路,交差点内,車両相互,45～54歳,35～44歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.99898639,130.9610769,金曜,その他
防府,0010,負傷,000,001,国道２号,防府市,2019,01,04,19,02,5夜,曇,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,45～54歳,35～44歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.04812,131.5123767,金曜,その他
防府,0026,負傷,000,002,県道,防府市,2019,01,04,22,34,5夜,曇,市街地,舗装　乾燥,交差点付近,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,車両相互,35～44歳,55～64歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.05501722,131.5598797,金曜,その他
