警察署,本票番号,事故内容,死者数,負傷者数,路線,市町村名,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,信号機,一時停止規制標識（当事者A）,一時停止規制表示（当事者A）,一時停止規制標識（当事者B）,一時停止規制表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,緯度,経度,曜日,祝日
下関,0012,負傷,000,001,市道,下関市,2020,01,01,09,30,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示なし,標識　規制なし,表示なし,交差点　小　小,直路,交差点内,規制なし,車両相互,55～64歳,45～54歳,普通乗用,原付二種　51～125cc,自家用,自家用,損傷なし,負傷,34.00728139,130.9537544,水曜,当日
防府,0020,負傷,000,001,県道,防府市,2020,01,01,10,16,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　中,直路,交差点内,規制なし,車両相互,55～64歳,75歳以上,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.05464917,131.5640697,水曜,当日
柳井,0003,負傷,000,002,町道,田布施町,2020,01,01,14,58,2昼,晴,非市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　規制なし,表示なし,交差点　中　中,直路,交差点内,規制なし,車両相互,65～74歳,55～64歳,軽乗用,小型二輪　751cc以上,自家用,自家用,負傷,負傷,33.93174111,132.0378406,水曜,当日
長門,0001,負傷,000,001,国道316号,長門市,2020,01,01,16,44,3昼暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,75歳以上,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.36737278,131.1822189,水曜,当日
長府,0009,負傷,000,002,市道,下関市,2020,01,01,18,43,5夜,晴,市街地,舗装　乾燥,直路,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.02308167,131.0053161,水曜,当日
周南,0030,負傷,000,001,国道315号,周南市,2020,01,01,18,49,5夜,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,45～54歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.119105,131.8532017,水曜,当日
山口,0019,負傷,000,001,国道９号,山口市,2020,01,02,13,15,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,55～64歳,軽乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.17188306,131.4549317,木曜,その他
防府,0010,負傷,000,005,市道,防府市,2020,01,02,15,41,2昼,晴,市街地,舗装　乾燥,直路,点灯３灯式,対象外当事者,その他,対象外当事者,その他,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.05448056,131.5352611,木曜,その他
長府,0003,負傷,000,001,国道２号,下関市,2020,01,02,16,03,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,35～44歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.02540694,131.0070178,木曜,その他
萩,0001,負傷,000,001,国道191号,萩市,2020,01,02,16,18,3昼暮,晴,非市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　小,直路,交差点内,規制なし,人対車両,45～54歳,01～24歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.38637583,131.3565192,木曜,その他
