警察署,本票番号,事故内容,死者数,負傷者数,路線,市町村名,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,信号機,一時停止規制標識（当事者A）,一時停止規制表示（当事者A）,一時停止規制標識（当事者B）,一時停止規制表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,緯度,経度,曜日,祝日
周南,4,負傷,0,1,その他,周南市,2023,1,1,11,21,2昼,晴,市街地,舗装　乾燥,その他,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,一般交通の場所,一般交通の場所,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,25～34歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.05352917,131.8286758,日曜,当日
下関,74,負傷,0,1,市道,下関市,2023,1,1,12,20,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示あり,標識　規制なし,表示なし,交差点　中　小,直路,単独（交差点付近を含む）,規制なし,車両相互,35～44歳,35～44歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.01350278,130.9204556,日曜,当日
長府,1,負傷,0,1,県道,下関市,2023,1,1,13,51,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,45～54歳,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,34.00948556,130.9810908,日曜,当日
下松,11,負傷,0,1,市道,下松市,2023,1,1,14,26,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　標準　反射式,表示なし,標識　規制なし,表示なし,交差点　中　小,直路,交差点内,規制なし,車両相互,35～44歳,45～54歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,34.0154775,131.8590764,日曜,当日
下松,2,負傷,0,1,市道,下松市,2023,1,2,8,31,2昼,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　小　小,直路,交差点内,規制なし,人対車両,45～54歳,35～44歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,負傷,34.03547028,131.8784139,月曜,当日
山口,3,負傷,0,2,県道,山口市,2023,1,2,9,6,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示あり,標識　規制なし,表示あり,交差点　中　小,直路,交差点内,規制なし,車両相互,65～74歳,75歳以上,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,34.15785889,131.4595864,月曜,当日
下関,17,負傷,0,1,県道,下関市,2023,1,2,11,21,2昼,晴,市街地,舗装　乾燥,交差点付近,点灯３灯式,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,45～54歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,33.96791472,130.94056,月曜,当日
宇部,5,負傷,0,1,県道,宇部市,2023,1,2,11,52,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,25～34歳,普通乗用,普通乗用,自家用,自家用,損傷なし,負傷,33.93727694,131.2778294,月曜,当日
宇部,7,負傷,0,2,国道190号,宇部市,2023,1,2,12,53,2昼,晴,非市街地,舗装　乾燥,交差点付近,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　13.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,25～34歳,55～64歳,普通乗用,軽乗用,自家用,自家用,負傷,損傷なし,33.95199611,131.2448786,月曜,当日
柳井,7,負傷,0,2,県道,上関町,2023,1,3,12,57,2昼,晴,市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,75歳以上,普通乗用,軽乗用,自家用,自家用,損傷なし,負傷,33.83715778,132.1079092,火曜,その他
