警察署,本票番号,事故内容,死者数,負傷者数,路線,市町村名,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,信号機,一時停止規制標識（当事者A）,一時停止規制表示（当事者A）,一時停止規制標識（当事者B）,一時停止規制表示（当事者B）,車道幅員,道路線形,衝突地点,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,緯度,経度,曜日,祝日
岩国,0005,死亡,001,000,国道188号,岩国市,2019,01,07,18,31,5夜,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　中,カーブ左,交差点内,人対車両,75歳以上,75歳以上,軽貨物,歩行者,自家用,対象外当事者,損傷なし,死亡,34.07009583,132.2063133,月曜,その他
周南,0012,死亡,001,000,国道２号,周南市,2019,01,16,13,45,2昼,雨,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,カーブ右,単独（交差点付近を含む）,車両単独,75歳以上,不明,軽乗用,物件等,自家用,対象外当事者,損傷なし,対象外当事者,34.08096222,131.7700083,水曜,その他
美祢,0005,死亡,001,000,国道435号,美祢市,2019,01,19,18,17,4夜暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,直路,単独（交差点付近を含む）,車両相互,55～64歳,01～24歳,普通乗用,小型二輪　751cc以上,自家用,自家用,損傷なし,死亡,34.17130361,131.2353575,土曜,その他
岩国,0029,死亡,001,000,国道188号,岩国市,2019,02,04,06,34,6夜明,晴,市街地,舗装　湿潤,直路,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,直路,単独（交差点付近を含む）,人対車両,45～54歳,75歳以上,普通乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.15909583,132.2219953,月曜,その他
岩国,0037,死亡,001,000,国道２号,岩国市,2019,02,12,07,42,1昼明,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　中,直路,交差点内,人対車両,25～34歳,01～24歳,準中型貨物,歩行者,自家用,対象外当事者,損傷なし,死亡,34.09614028,132.0766761,火曜,その他
長府,0023,死亡,001,000,国道491号,下関市,2019,02,16,19,55,5夜,晴,市街地,舗装　乾燥,交差点,点灯押ボ式,標識　規制なし,表示なし,対象外当事者,その他,交差点　大　中,直路,交差点内,人対車両,25～34歳,65～74歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.07407444,131.0374972,土曜,その他
防府,0052,死亡,001,000,県道,防府市,2019,02,26,14,05,2昼,晴,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　5.5m以上,カーブ右,単独（交差点付近を含む）,車両単独,75歳以上,不明,軽乗用,物件等,自家用,対象外当事者,死亡,対象外当事者,34.09413611,131.5836164,火曜,その他
宇部,0060,死亡,001,000,国道490号,宇部市,2019,02,27,19,28,5夜,雨,市街地,舗装　湿潤,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　中,直路,交差点内,車両相互,35～44歳,65～74歳,軽乗用,自転車,自家用,対象外当事者,損傷なし,死亡,33.94908222,131.2527283,水曜,その他
高速隊,0016,死亡,001,000,宇部有料,山口市,2019,03,13,03,58,5夜,曇,非市街地,舗装　湿潤,カーブ,施設なし,対象外当事者,その他,対象外当事者,その他,単路　13.0m以上,カーブ右,単独（交差点付近を含む）,車両単独,35～44歳,不明,軽二輪　126～250cc,物件等,自家用,対象外当事者,死亡,対象外当事者,34.00930639,131.3219314,水曜,その他
防府,0076,死亡,001,000,市道,防府市,2019,03,13,09,03,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,その他,交差点　中　中,直路,交差点内,人対車両,65～74歳,75歳以上,軽貨物,歩行者,自家用,対象外当事者,損傷なし,死亡,34.04539444,131.5582247,水曜,その他
