警察署,本票番号,事故内容,死者数,負傷者数,路線,市町村名,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,信号機,一時停止規制標識（当事者A）,一時停止規制表示（当事者A）,一時停止規制標識（当事者B）,一時停止規制表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,緯度,経度,曜日,祝日
萩,0002,死亡,001,000,市道,萩市,2022,01,05,08,50,2昼,曇,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,車両単独,75歳以上,不明,原付一種,相手なし,自家用,対象外当事者,死亡,対象外当事者,34.42065833,131.3977789,水曜,その他
宇部,0023,死亡,001,000,市道,宇部市,2022,01,28,14,05,2昼,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　中,直線,交差点内,規制なし,車両相互,55～64歳,65～74歳,大型貨物,自転車,事業用,自転車,損傷なし,死亡,33.94284778,131.2504267,金曜,その他
美祢,0003,死亡,002,000,国道490号,美祢市,2022,01,29,11,39,2昼,曇,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直線,単独（交差点付近を含む）,規制なし,車両相互,55～64歳,65～74歳,大型貨物,普通乗用,事業用,自家用,損傷なし,死亡,34.27960583,131.3576911,土曜,その他
宇部,0048,死亡,001,000,市道,宇部市,2022,02,27,20,17,5夜,晴,市街地,舗装　乾燥,交差点,点灯押ボ式,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　中　小,直線,交差点内,規制なし,人対車両,35～44歳,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,33.94919861,131.2910781,日曜,その他
山口南,0010,死亡,001,000,県道,山口市,2022,03,02,19,02,4夜暮,晴,市街地,舗装　乾燥,交差点,施設なし,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　中　小,直線,交差点内,規制なし,人対車両,45～54歳,75歳以上,普通乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.09653139,131.3951447,水曜,その他
柳井,0013,死亡,001,000,県道,田布施町,2022,03,14,07,25,1昼明,曇,市街地,舗装　湿潤,交差点付近,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直線,単独（交差点付近を含む）,規制なし,人対車両,55～64歳,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,33.95482556,132.0536425,月曜,その他
周南,0054,死亡,001,000,国道315号,周南市,2022,04,18,12,52,2昼,曇,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,規制なし,人対車両,01～24歳,75歳以上,普通乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.21078056,131.8156181,月曜,その他
防府,0066,死亡,001,000,一般の交通の用に供するその他の道路,防府市,2022,04,23,21,30,5夜,曇,非市街地,舗装　乾燥,その他,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,一般交通の場所,一般交通の場所,単独（交差点付近を含む）,規制なし,車両単独,65～74歳,不明,軽乗用,相手なし,自家用,対象外当事者,死亡,対象外当事者,34.03994667,131.5897044,土曜,その他
周南,0062,死亡,001,000,国道315号,周南市,2022,04,25,10,46,2昼,晴,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,カーブ右,単独（交差点付近を含む）,規制なし,車両相互,65～74歳,65～74歳,普通乗用,軽乗用,自家用,自家用,損傷なし,死亡,34.21190472,131.81662,月曜,その他
高速隊,0012,死亡,001,000,高速道路,山口市,2022,05,03,17,15,2昼,晴,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　13.0m以上,カーブ右,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,45～54歳,中型貨物,小型二輪　751cc以上,事業用,自家用,損傷なし,死亡,34.12885917,131.4223622,火曜,当日
