警察署,本票番号,事故内容,死者数,負傷者数,路線,市町村名,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,信号機,一時停止規制標識（当事者A）,一時停止規制表示（当事者A）,一時停止規制標識（当事者B）,一時停止規制表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,緯度,経度,曜日,祝日
柳井,5,死亡,1,0,県道,柳井市,2023,1,11,19,3,5夜,晴,市街地,舗装　乾燥,橋,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,75歳以上,普通乗用,原付二種　51～125cc,自家用,自家用,損傷なし,死亡,33.9698625,132.1003072,水曜,その他
長府,7,死亡,1,0,国道２号,下関市,2023,1,17,6,37,6夜明,晴,市街地,舗装　湿潤,交差点,点灯押ボ式,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　大　中,直路,交差点内,規制なし,人対車両,35～44歳,55～64歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.02470361,131.0064222,火曜,その他
光,10,死亡,1,0,国道188号,光市,2023,1,26,15,44,2昼,曇,市街地,舗装　湿潤,交差点付近,点灯押ボ式,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,45～54歳,準中型貨物,普通乗用,自家用,自家用,損傷なし,死亡,33.97239944,131.9217842,木曜,その他
山陽小野田,10,死亡,1,0,国道316号,山陽小野田市,2023,2,7,6,45,6夜明,曇,非市街地,舗装　湿潤,交差点,施設なし,標識　規制なし,表示なし,標識　標準　反射式,表示あり,交差点　中　中,直路,交差点内,規制なし,車両相互,25～34歳,75歳以上,軽乗用,軽車両その他,自家用,対象外当事者,損傷なし,死亡,34.10192944,131.1799394,火曜,その他
高速隊,8,死亡,1,0,高速道路,美祢市,2023,2,18,21,8,5夜,雨,非市街地,舗装　湿潤,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　13.0m以上,カーブ右,単独（交差点付近を含む）,規制なし,車両単独,01～24歳,不明,普通乗用,物件等,自家用,対象外当事者,損傷なし,対象外当事者,34.1167575,131.1981047,土曜,その他
防府,29,死亡,1,0,市道,防府市,2023,2,22,23,4,5夜,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　中　小,直路,交差点内,規制なし,人対車両,01～24歳,55～64歳,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.05650389,131.5734958,水曜,前日
長門,7,死亡,1,0,国道191号,長門市,2023,2,25,9,48,2昼,雨,市街地,舗装　湿潤,交差点,点灯押ボ式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　中,直路,交差点内,規制なし,車両相互,65～74歳,75歳以上,普通乗用,自転車,自家用,自転車,損傷なし,死亡,34.37035806,131.1842214,土曜,その他
柳井,33,死亡,1,0,市道,柳井市,2023,2,28,22,45,5夜,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,車両単独,65～74歳,不明,自転車,相手なし,自転車,対象外当事者,死亡,対象外当事者,33.97638194,132.1019408,火曜,その他
柳井,32,死亡,1,0,県道,平生町,2023,3,2,18,32,4夜暮,晴,非市街地,舗装　乾燥,交差点付近,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,人対車両,35～44歳,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,33.94723611,132.0634631,木曜,その他
下関,46,死亡,1,0,市道,下関市,2023,3,3,14,58,2昼,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,車両単独,65～74歳,不明,普通乗用,物件等,自家用,対象外当事者,死亡,対象外当事者,33.96014056,130.9177522,金曜,その他
長府,24,死亡,1,0,国道２号,下関市,2023,3,13,6,35,1昼明,晴,非市街地,舗装　乾燥,交差点付近,点灯３灯式,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,カーブ左,単独（交差点付近を含む）,規制なし,車両相互,45～54歳,55～64歳,普通乗用,軽乗用,自家用,自家用,損傷なし,死亡,34.0583825,131.0305997,月曜,その他
光,19,死亡,1,0,国道188号,光市,2023,3,15,11,18,2昼,晴,市街地,舗装　乾燥,交差点,点灯押ボ式,標識　規制なし,表示なし,標識　規制なし,表示なし,交差点　大　中,直路,交差点内,規制なし,車両相互,65～74歳,75歳以上,普通乗用,駆動補助装置付自転車,自家用,自転車,損傷なし,死亡,33.94004778,131.967835,水曜,その他
美祢,5,死亡,1,0,国道316号,美祢市,2023,3,27,18,59,4夜暮,晴,非市街地,舗装　乾燥,交差点付近,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,直路,単独（交差点付近を含む）,規制なし,人対車両,45～54歳,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.18251361,131.2112175,月曜,その他
萩,8,死亡,1,0,市道,萩市,2023,4,4,15,58,2昼,晴,市街地,舗装　乾燥,交差点付近,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,人対車両,75歳以上,75歳以上,普通乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.40921583,131.3868697,火曜,その他
山口,66,死亡,1,0,県道,山口市,2023,5,4,13,7,2昼,曇,非市街地,舗装　乾燥,交差点付近,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,規制なし,車両単独,55～64歳,不明,小型二輪　751cc以上,物件等,自家用,対象外当事者,死亡,対象外当事者,34.34412778,131.7164369,木曜,当日
山口,84,死亡,1,0,県道,山口市,2023,6,12,0,35,5夜,曇,市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,カーブ右,単独（交差点付近を含む）,規制なし,人対車両,25～34歳,55～64歳,普通乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.15825972,131.491775,月曜,その他
萩,22,死亡,1,0,市道,萩市,2023,7,16,18,22,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,車両単独,65～74歳,不明,軽貨物,物件等,自家用,対象外当事者,死亡,対象外当事者,34.42542833,131.5125814,日曜,前日
柳井,74,死亡,1,0,その他,柳井市,2023,8,5,15,3,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,車両単独,75歳以上,不明,小型特殊農耕,相手なし,対象外当事者,対象外当事者,死亡,対象外当事者,34.01753861,132.1161478,土曜,その他
光,52,死亡,1,2,国道188号,光市,2023,8,14,19,51,4夜暮,晴,市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,25～34歳,普通乗用,軽乗用,自家用,自家用,負傷,死亡,33.97282611,131.9185061,月曜,その他
萩,27,死亡,1,0,国道315号,阿武町,2023,8,21,10,22,2昼,晴,非市街地,舗装　乾燥,カーブ,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　5.5m以上,カーブ左,単独（交差点付近を含む）,規制なし,人対車両,65～74歳,75歳以上,軽乗用,歩行者,自家用,対象外当事者,損傷なし,死亡,34.55081694,131.5986825,月曜,その他
岩国,140,死亡,1,1,市道,岩国市,2023,9,3,16,28,2昼,晴,非市街地,舗装　乾燥,踏切,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　3.5m未満,直路,単独（交差点付近を含む）,規制なし,列車,35～44歳,35～44歳,軽乗用,列車,自家用,対象外当事者,死亡,損傷なし,34.09066889,132.0334764,日曜,その他
山口南,89,死亡,1,0,国道２号,山口市,2023,9,16,8,0,2昼,晴,非市街地,舗装　乾燥,直路,施設なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,単路　9.0m以上,直路,単独（交差点付近を含む）,規制なし,車両相互,01～24歳,35～44歳,軽乗用,小型二輪　251～400cc,自家用,自家用,損傷なし,死亡,34.08753806,131.4309589,土曜,その他
下関,225,死亡,1,2,国道191号,下関市,2023,9,30,2,36,5夜,晴,市街地,舗装　乾燥,交差点,点灯３灯式,標識　規制なし,表示なし,対象外当事者,対象外当事者,交差点　中　中,カーブ左,単独（交差点付近を含む）,規制なし,車両単独,01～24歳,不明,普通乗用,物件等,自家用,対象外当事者,負傷,対象外当事者,34.06977306,130.9031361,土曜,その他
